detection_id,B,G,R,nB,nG,nR,Compactness
433042508,8.074,8.2502,7.4898,0.3988,0.4063,0.2576,0.13226261511265314
433042520,4.005,4.3094,5.8434,0.0151,0.0156,0.0213,0.09447856694680049
433042524,8.218,8.4263,7.5645,0.0004,0.0006,0.0128,0.09665858053229819
433042560,2.3885,2.5478,3.183,0.0197,0.0241,0.0165,0.18475840065665078
433042561,2.8703,2.8663,3.7073,0.0382,0.0375,0.031,0.18751471302418415
433042562,2.7765,2.9602,3.6981,0.0308,0.0326,0.0344,0.1903544897796419
433042565,2.644,2.6265,3.5723,0.036,0.0366,0.0334,0.20262892686416292
433042608,4.3179,4.4932,5.6677,0.0755,0.0781,0.0758,0.12081909724428652
433042609,2.2162,2.3983,3.6062,0.0086,0.011,0.0164,0.14442151192814084
433042613,2.2677,2.362,3.215,0.0287,0.0307,0.0265,0.1721088567938853
433042618,5.337,5.5696,5.3731,0.0732,0.0764,0.0671,0.16752101074657041
433042629,0.9187,1.0111,2.0004,0.0024,0.0026,0.007,0.2059488517353309
433042631,5.2524,5.5124,5.4278,0.2868,0.3036,0.1803,0.13657449043501094
433042633,2.9469,2.9356,3.7671,0.0063,0.0064,0.0104,0.15322506464696445
433042635,4.5439,4.4799,4.6034,0.0413,0.0438,0.0295,0.16752101074657041
433042636,3.8145,4.5634,7.7875,0.0552,0.062,0.0819,0.12953615542145414
433042645,25.441,25.5668,18.3687,0.9364,0.9346,0.5053,0.056098740702361524
433042649,5.2252,5.3721,5.7662,0.1691,0.1729,0.1172,0.13226261511265314
433042651,5.0781,5.2278,5.1662,0.0558,0.0576,0.0477,0.1495779344429456
433042672,23.1712,23.3665,19.568,1.1638,1.156,0.6864,0.05660411406725943
433042673,7.8311,7.9626,7.6816,1.4639,1.4971,0.9208,0.12821464331793822
433042677,8.9635,9.0379,8.6958,0.6282,0.6319,0.4047,0.10832258979485408
433042699,3.1129,3.2235,6.8886,0.0331,0.0394,0.0588,0.08321729873508964
433042700,0.3851,0.4556,3.4303,0.0066,0.0061,0.0298,0.10471236017896915
433042710,12.9599,14.0291,13.5289,0.0139,0.0165,0.0354,0.05710894925508851
433042717,6.5745,6.776,8.8205,0.0525,0.0537,0.0629,0.09239471398211957
433042718,6.6857,7.0488,9.127,0.039,0.0398,0.0489,0.08606693785815557
433042740,0.6989,0.7539,2.2146,0.007,0.0075,0.0104,0.18751471302418415
433042741,4.4624,4.7933,4.1802,0.0061,0.0074,0.0095,0.18751471302418415
433042743,0.7554,0.7672,2.365,0.0062,0.0065,0.0097,0.18751471302418415
433042744,4.2925,4.5688,4.0501,0.0008,0.0021,0.0063,0.19328157927359077
433042746,0.8371,0.8723,2.3168,0.0,0.0,0.0063,0.19328157927359077
433042747,4.3004,4.5304,3.9763,0.0002,0.0007,0.0062,0.1963000700655754
433042748,2.2303,2.298,3.1705,0.0547,0.0548,0.0572,0.19328157927359077
433042751,4.4692,4.6738,4.0409,0.0,0.0005,0.0062,0.1963000700655754
433042752,2.6159,2.6675,3.5742,0.0923,0.0923,0.0778,0.1963000700655754
433042754,4.5301,4.8763,4.0017,0.0061,0.0064,0.01,0.1963000700655754
433042755,2.7053,2.9351,4.1412,0.0567,0.065,0.0586,0.19941430995731257
433042756,1.7959,1.8227,3.1011,0.0232,0.0231,0.0304,0.19941430995731257
433042757,4.2189,4.4971,3.9346,0.0006,0.0019,0.0066,0.19941430995731257
433042758,2.0735,2.1877,3.5882,0.1168,0.1249,0.1229,0.1963000700655754
433042759,1.7385,1.7839,2.5632,0.0597,0.0611,0.0403,0.19941430995731257
433042760,2.3415,2.3172,3.2133,0.0315,0.0317,0.0279,0.19941430995731257
433042761,4.2384,4.4495,3.962,0.0007,0.0046,0.0066,0.20262892686416292
433042764,1.9321,1.9148,2.885,0.0146,0.0147,0.0167,0.19941430995731257
433042765,4.222,4.4979,3.8663,0.0007,0.0016,0.0068,0.19941430995731257
433042766,1.3629,1.3301,2.423,0.0115,0.012,0.0134,0.19941430995731257
433042767,4.1742,4.502,3.83,0.0007,0.002,0.0067,0.19941430995731257
433042769,4.0274,4.3261,3.7067,0.0005,0.0019,0.0063,0.2059488517353309
433042773,3.9095,4.2001,3.5929,0.0022,0.0028,0.0078,0.2093793437612272
433042774,1.6914,1.7925,2.6797,0.0045,0.005,0.0076,0.2093793437612272
433042775,4.1312,4.4739,3.766,0.0266,0.028,0.0237,0.2093793437612272
433042783,3.5998,3.8854,3.2792,0.0016,0.0165,0.0055,0.22039234176969208
433042784,3.4195,3.4677,3.5303,0.012,0.012,0.0055,0.22039234176969208
433042788,3.5378,3.6266,3.4977,0.0093,0.0085,0.0055,0.22039234176969208
433042789,3.692,4.0138,3.389,0.0017,0.0031,0.0055,0.22039234176969208
433042790,3.5066,3.6569,3.504,0.0067,0.0077,0.0055,0.22039234176969208
433042791,3.6363,3.9415,3.3889,0.0031,0.0051,0.0055,0.22039234176969208
433042792,2.9296,2.9085,2.8951,0.0712,0.0706,0.0425,0.224325293611701
433042793,3.6028,3.8733,3.3756,0.003,0.0043,0.0055,0.22039234176969208
433042796,3.6386,3.7343,3.6263,0.0007,0.0005,0.0055,0.22039234176969208
433042797,3.6032,3.9001,3.4098,0.0011,0.0028,0.0055,0.22039234176969208
433042798,3.6677,3.762,3.6629,0.0001,0.0003,0.0055,0.22039234176969208
433042800,3.5661,3.895,3.3286,0.0005,0.0013,0.0054,0.224325293611701
433042801,2.1049,2.2594,2.5232,0.0877,0.0947,0.0536,0.224325293611701
433042802,3.639,3.944,3.3681,0.0,0.0006,0.0055,0.22039234176969208
433042803,2.0983,2.2441,2.5927,0.0256,0.0271,0.0184,0.22039234176969208
433042806,3.6299,3.9187,3.4336,0.0,0.0003,0.0054,0.224325293611701
433042807,3.4835,3.6919,3.3949,0.0,0.0005,0.0054,0.224325293611701
433042808,1.3771,1.3292,2.3153,0.0156,0.0145,0.0157,0.224325293611701
433042809,1.8131,1.9303,2.3194,0.0143,0.0158,0.0116,0.224325293611701
433042810,3.5978,3.7938,3.3019,0.0,0.0002,0.0054,0.224325293611701
433042811,1.1321,1.1547,2.2882,0.016,0.0149,0.0161,0.22039234176969208
433042812,3.4333,3.6202,3.444,0.0004,0.0012,0.0059,0.22039234176969208
433042813,1.3186,1.2677,2.417,0.0191,0.0182,0.0192,0.22039234176969208
433042815,3.6219,3.8537,3.4516,0.0016,0.002,0.0074,0.22039234176969208
433042817,1.876,1.9784,2.324,0.0063,0.0071,0.007,0.22039234176969208
433042818,3.4969,3.7097,3.3187,0.0027,0.0029,0.0073,0.22039234176969208
433042819,1.553,1.4784,2.4766,0.0384,0.0373,0.0323,0.21659487670178934
433042820,1.6467,1.7701,2.2017,0.0318,0.0338,0.0186,0.21659487670178934
433042822,2.4109,2.3308,2.9762,0.0426,0.0397,0.0341,0.224325293611701
433042854,3.4725,3.6733,3.3584,0.0,0.0,0.0061,0.19941430995731257
433042855,1.1967,1.1621,3.1412,0.0044,0.0049,0.012,0.12821464331793822
433042859,8.8308,9.0447,8.7382,0.4689,0.4798,0.3023,0.09592081711552267
433042860,9.2225,9.7551,7.9977,0.2828,0.2958,0.1591,0.0937735836449438
433042864,0.9665,0.8914,1.8325,0.0374,0.0374,0.0248,0.23262772230212783
433042869,24.1598,24.6305,20.3351,0.7352,0.754,0.4597,0.06444121395927624
433042880,1.131,1.0988,2.0245,0.0152,0.0157,0.0101,0.2093793437612272
433042882,3.9697,4.1834,3.5682,0.0369,0.0378,0.0152,0.16317136358672749
433042884,14.916,15.0634,12.0166,0.0619,0.0599,0.0317,0.09740778003073822
433042885,11.7698,12.7795,8.4969,0.0745,0.0757,0.0169,0.08849111644335216
433042886,16.0718,17.2127,12.2928,0.0501,0.058,0.0674,0.11119795425652645
433042888,12.9078,12.9668,10.3312,0.0632,0.0599,0.0268,0.11743226366213184
433042900,2.9015,2.9212,4.2847,0.0172,0.0173,0.0097,0.1336693370934263
433042901,3.8087,4.0077,3.5216,0.0,0.0,0.0062,0.1963000700655754
433042902,4.8407,4.9399,4.6109,0.5209,0.5299,0.3312,0.20262892686416292
433042903,2.7993,2.8205,3.3534,0.0187,0.019,0.0123,0.2093793437612272
433042904,3.697,3.8703,3.4086,0.0,0.0001,0.006,0.20262892686416292
433042907,10.2968,10.9778,9.6709,0.021,0.0253,0.0384,0.08433420746488306
433042908,8.1515,8.5714,8.1857,0.0378,0.0477,0.0351,0.09105580497377844
433042909,12.8465,14.5985,13.068,0.1493,0.1779,0.1111,0.0589957324588329
433042911,11.1022,12.1294,10.2841,0.024,0.0333,0.0383,0.10832258979485408
433042914,2.1197,2.2573,3.9159,0.0067,0.0072,0.0138,0.16108014280507627
433042916,4.2184,4.3354,5.2103,0.0327,0.0312,0.028,0.13657449043501094
433042917,1.8972,2.059,2.4084,0.0161,0.0169,0.0104,0.1963000700655754
433042920,4.0857,4.156,5.1546,0.0313,0.029,0.0251,0.1336693370934263
433042925,2.4944,2.5919,3.1103,0.0407,0.0415,0.0241,0.16108014280507627
