detection_id,B,G,R,nB,nG,nR,Compactness
429045814,23.1646,25.6716,38.4774,0.1085,0.1282,0.2443,0.06346488289866778
429045819,23.3666,25.0549,38.1668,0.4235,0.4866,0.6799,0.0595549083537657
429045826,22.8573,24.7752,37.4103,0.3531,0.4206,0.6,0.05686023067241032
429045827,26.0533,28.1482,41.7318,0.2608,0.3101,0.4728,0.05279893651282317
429045828,26.226,28.4783,42.2927,0.189,0.2397,0.3947,0.05463535211139932
429045829,26.0068,28.0384,41.599,0.1618,0.2023,0.3443,0.058176383157876974
429045896,13.2014,14.4675,23.3597,0.2069,0.2324,0.3264,0.05790830079919458
429045898,7.7924,8.5628,15.8175,0.1126,0.1274,0.1886,0.06041383338136221
429045905,11.6922,12.4456,19.8913,0.0781,0.0894,0.1391,0.06648685222060789
429045906,8.2107,8.8667,14.4136,0.0807,0.0885,0.1337,0.08377203058083679
429045907,8.4253,9.0505,14.6019,0.0887,0.096,0.1396,0.08433420746488306
429045908,9.6758,10.7465,16.1266,0.0846,0.1,0.1287,0.09105580497377844
429045909,8.7406,9.7303,14.7501,0.0686,0.0861,0.1097,0.09740778003073822
429045910,8.739,9.702,14.7695,0.0791,0.0963,0.1199,0.09447856694680049
429045912,14.2498,13.0987,18.2101,0.463,0.4192,0.4859,0.09894156757337469
429045914,14.9527,13.9468,19.3832,0.4352,0.4019,0.4819,0.10133499999681532
429045919,20.11,19.815,30.317,0.2483,0.2456,0.3699,0.07479714303071543
429045921,18.1352,17.8981,27.7543,0.1373,0.1342,0.2364,0.07305779571290515
429045922,19.635,19.3496,30.136,0.2252,0.2226,0.3538,0.07059533429497317
429045923,24.052,23.3518,34.8707,0.5328,0.5151,0.6914,0.06510896233025722
429045924,23.6464,22.674,34.466,0.6629,0.6278,0.864,0.07020097205976435
429045925,16.7827,16.7869,25.9437,0.2674,0.2667,0.3866,0.06981099120988524
429045926,14.4024,14.3827,22.5492,0.1271,0.1268,0.2027,0.07221810771057427
429045927,12.3553,11.9902,19.0662,0.202,0.1909,0.2809,0.08106994029334431
429045929,11.5869,11.4252,17.9252,0.228,0.2273,0.303,0.08606693785815557
429045930,16.9572,16.7348,25.0357,0.5273,0.5252,0.7052,0.08975514439115811
429045931,21.5316,20.7457,31.1687,0.4806,0.462,0.6016,0.06444121395927624
429045996,48.0512,43.2647,58.8471,0.8524,0.7611,0.9972,0.049668666921834095
429045999,28.4513,25.1098,34.7331,0.4365,0.3875,0.5046,0.07263552511680024
429046003,17.4611,17.2417,23.839,0.8063,0.8016,0.952,0.08849111644335216
429046017,29.9981,33.1456,55.1324,0.7849,0.8607,1.389,0.06100034753906654
429046018,50.5155,56.6852,84.9643,0.9549,1.1441,1.7735,0.04569528448132631
429046021,41.3396,46.7683,75.9515,1.0886,1.2336,1.958,0.05302170881884524
429046022,48.6506,53.3932,83.7773,0.3127,0.3535,0.6792,0.048146301614186766
429046035,39.5549,35.2195,43.2142,0.0464,0.0395,0.0603,0.06100034753906654
429046092,9.011,9.6232,16.8178,0.2923,0.3131,0.4047,0.06190178642991358
429046097,7.8143,7.0093,11.9244,0.2922,0.2635,0.3259,0.08849111644335216
429046104,17.0801,16.4023,24.0791,0.1922,0.1882,0.2395,0.05686023067241032
429046106,17.7643,16.8167,24.0174,0.2493,0.2295,0.2832,0.0607056738604871
429046112,17.8686,15.1294,15.3553,0.8158,0.6864,0.5663,0.10648688664370398
429046113,19.6844,16.645,16.7104,0.8599,0.7227,0.5965,0.10299600257653854
429046114,21.4017,18.1363,17.9882,0.8782,0.7375,0.6049,0.09816868357674101
429046115,23.4796,19.9142,19.9058,0.8108,0.692,0.5761,0.09239471398211957
429046116,29.4425,25.1375,25.1841,1.1861,1.0051,0.8481,0.07479714303071543
429046117,31.2738,26.6527,27.2483,1.1965,1.0029,0.8707,0.06866661880204716
429046118,32.2603,27.5294,28.1635,1.3502,1.1394,0.9849,0.06648685222060789
429046119,31.4319,26.7352,28.1426,1.1203,0.9396,0.8199,0.06190178642991358
429046121,33.8755,28.5193,31.0267,1.224,1.0173,0.9225,0.0589957324588329
429046122,32.9881,27.925,30.3177,1.1135,0.9283,0.8403,0.0607056738604871
429046123,33.3354,28.1803,30.6027,1.0719,0.8914,0.8092,0.0607056738604871
429046124,33.6918,28.6089,31.1691,1.4676,1.2264,1.1083,0.05790830079919458
429046126,32.3392,27.3969,29.8559,1.471,1.2386,1.119,0.06041383338136221
429046127,31.4806,26.6068,29.0428,1.3817,1.1514,1.0534,0.06314598028335774
429046134,31.0615,26.4876,28.2553,1.5846,1.3389,1.1968,0.06829345312829196
429046135,32.2325,27.6252,29.437,1.4271,1.2154,1.0777,0.06544805286939072
429046186,31.4589,27.0056,28.8817,1.2524,1.063,0.9352,0.06510896233025722
429046188,28.6529,24.6088,26.5607,1.1157,0.9506,0.842,0.06981099120988524
429046189,28.194,24.2311,26.2527,1.0917,0.9297,0.8273,0.06981099120988524
429046208,31.5225,26.9431,28.3981,2.1531,1.8236,1.5878,0.06220821570931003
429046209,31.3467,26.8353,28.0834,1.7837,1.5137,1.3201,0.06411244968272661
429046210,31.387,26.817,27.6074,1.5987,1.3597,1.1745,0.07099415216660818
429046212,29.7696,25.4079,26.0855,2.094,1.7605,1.5289,0.07391723900466864
429046213,27.1002,23.1848,23.9446,1.8025,1.5315,1.3166,0.07953076456813789
429046214,26.475,22.6108,23.3348,1.7807,1.5141,1.2988,0.08055030487456037
429046215,26.3639,22.6213,23.1706,1.767,1.5091,1.2785,0.08003728818317192
429046216,25.4693,21.7273,22.2352,2.4996,2.0994,1.7911,0.08212958633865283
429046217,21.9551,18.8405,19.2594,2.2955,1.9581,1.6669,0.09239471398211957
429046218,20.5723,17.6316,18.4157,1.7996,1.5284,1.3137,0.08975514439115811
429046220,20.6269,17.6772,18.621,1.6084,1.3651,1.1787,0.08606693785815557
429046221,21.1217,18.1006,19.0487,1.2713,1.0807,0.9335,0.08548150399146558
429046222,21.1579,18.0973,19.3879,1.3392,1.1348,0.9941,0.0815963233535219
429046223,21.738,18.5799,19.7577,1.3767,1.1634,1.018,0.08212958633865283
429046224,22.4086,19.273,20.1015,1.3555,1.1608,0.9812,0.07903061153879146
429046225,22.7088,19.5364,19.8623,1.457,1.2477,1.0482,0.08787235948346774
429046226,23.0981,19.819,20.1785,1.4583,1.2476,1.0496,0.08787235948346774
429046227,24.9302,21.4652,21.4502,1.7539,1.505,1.2553,0.08787235948346774
429046228,23.6307,20.2985,21.035,1.5032,1.2914,1.0827,0.07804894248762141
429046229,23.1029,19.8954,20.5994,1.2761,1.0966,0.9161,0.07903061153879146
429046230,22.3993,19.2472,19.9483,0.9459,0.8145,0.6783,0.08003728818317192
429046231,20.2126,17.4104,17.8059,0.8626,0.741,0.6078,0.08975514439115811
429046232,19.4944,16.7935,17.8712,0.567,0.4863,0.405,0.07662132709270902
429046288,16.6,15.1641,23.0758,0.5423,0.4954,0.6356,0.07263552511680024
429046289,17.0633,15.6154,23.4234,0.4467,0.406,0.5214,0.07479714303071543
429046290,13.3879,12.2263,18.8685,0.4585,0.4197,0.5395,0.08490398027194407
429046292,18.7599,17.4065,22.5338,0.4061,0.3687,0.4264,0.09665858053229819
429046293,18.7209,17.0746,22.2007,0.5491,0.4952,0.5673,0.09816868357674101
429046295,16.1156,14.7523,19.3034,0.4269,0.3903,0.4536,0.11634512054520679
429046296,17.6241,16.5055,21.417,0.4784,0.4407,0.5125,0.10926437976474195
429046302,16.1892,15.1575,19.9493,0.4984,0.4647,0.5329,0.09740778003073822
429046309,31.3262,26.3039,26.9481,1.4097,1.1892,1.0378,0.07391723900466864
429046311,28.313,24.0138,25.2473,1.0925,0.9226,0.7987,0.06648685222060789
429046312,26.9176,22.8736,24.6224,0.7862,0.6643,0.5807,0.06251769380643689
