detection_id,B,G,R,nB,nG,nR,Compactness
131185476,37.4788,32.5372,22.6092,1.0711,0.8986,0.4886,0.06829345312829196
131185650,29.3952,25.6547,18.3441,0.5384,0.4395,0.256,0.08321729873508964
131185818,26.3268,22.9967,16.5928,0.6178,0.5153,0.2972,0.08787235948346774
131185997,21.7236,19.0293,14.1174,0.4875,0.4043,0.2347,0.09239471398211957
131186169,19.8288,17.3008,12.8154,0.5316,0.4402,0.2478,0.10133499999681532
131186343,18.6712,16.3572,12.1577,0.4747,0.4069,0.2271,0.1038470904936626
131186517,18.0525,15.3761,11.543,0.5492,0.4513,0.2694,0.10471236017896915
131190003,16.0371,13.1666,13.8132,0.0862,0.0674,0.0668,0.0675591583065621
131191891,7.4694,7.6388,13.9208,0.1194,0.1258,0.1491,0.04986575853700407
131192067,8.2221,8.4801,14.8265,0.2575,0.2619,0.2844,0.048331474165630606
131192401,8.9385,9.2121,15.7693,0.1805,0.1859,0.2073,0.046541470193173916
131205477,16.8769,13.7297,8.9657,0.107,0.0659,0.0183,0.11219063124580061
131205659,17.7398,14.48,9.5591,0.1075,0.0712,0.0165,0.10559216905199818
131206378,19.2918,15.9454,10.0491,0.1367,0.1204,0.0226,0.1021587506273488
131206909,19.0744,15.688,10.1967,0.1256,0.1083,0.0182,0.09894156757337469
131207095,19.8432,16.3455,10.6971,0.1268,0.1096,0.0192,0.09239471398211957
131207275,19.0116,15.8714,10.6994,0.1255,0.1064,0.0202,0.09447856694680049
131207446,19.4008,16.1768,10.7611,0.1364,0.1156,0.0268,0.09592081711552267
131209263,22.1877,17.9089,12.6686,0.183,0.1467,0.0403,0.0815963233535219
131209445,20.7202,16.7293,12.0387,0.1448,0.1134,0.0203,0.08377203058083679
131209630,23.8231,19.8372,15.5274,0.2589,0.2202,0.0957,0.06829345312829196
131209816,22.784,19.0586,14.7551,0.2268,0.1857,0.0658,0.07180546030797123
131209997,22.8685,19.0548,14.8332,0.2591,0.2139,0.0859,0.07263552511680024
131210362,21.427,18.312,14.4319,0.2646,0.2186,0.1084,0.06477336728387235
131210907,15.7264,13.0891,9.2325,0.1871,0.1421,0.0498,0.09519422993221213
