detection_id,B,G,R,nB,nG,nR,Compactness
430676468,22.3536,22.4656,29.8735,0.2968,0.3029,0.3652,0.058176383157876974
430676471,14.1347,14.2474,18.4808,0.3268,0.3311,0.375,0.10832258979485408
430676472,15.9591,15.9688,20.3688,0.2008,0.2019,0.231,0.11119795425652645
430676473,19.5922,19.8536,25.5442,0.489,0.4948,0.5684,0.08321729873508964
430676474,14.2164,14.5491,19.2435,0.2888,0.2959,0.3435,0.09972671719555438
430676475,15.3921,15.6502,20.2907,0.3562,0.3604,0.4207,0.10739689511380088
430676477,15.0935,15.2341,19.59,0.2491,0.2526,0.2995,0.10832258979485408
430676478,16.0887,16.2718,22.072,0.3001,0.3028,0.3504,0.07479714303071543
430676479,15.6088,15.5979,19.8661,0.2126,0.2105,0.2505,0.10471236017896915
430676480,13.629,13.5787,17.6571,0.2369,0.2384,0.275,0.1038470904936626
430676481,14.0883,14.2256,19.2998,0.3826,0.3887,0.452,0.08490398027194407
430676482,14.6846,14.2747,18.8662,0.1489,0.1411,0.1803,0.10133499999681532
430676484,16.7615,16.302,22.0201,0.179,0.1685,0.2162,0.08212958633865283
430676485,11.8641,11.1893,15.5696,0.134,0.1278,0.1642,0.11423011752805243
430676486,15.9417,16.3243,20.7355,0.1773,0.185,0.2221,0.10832258979485408
430676487,12.4222,11.9933,16.7467,0.1356,0.1303,0.1675,0.10052442674077641
430676488,13.2419,13.2004,17.2438,0.2069,0.2086,0.2465,0.10052442674077641
430676489,11.0088,10.4333,15.5775,0.1477,0.1382,0.1833,0.09105580497377844
430676492,11.885,11.9306,17.3073,0.1403,0.1423,0.1816,0.07662132709270902
430676493,11.6165,11.7977,17.9124,0.3131,0.3218,0.395,0.0675591583065621
430676494,9.9881,10.0327,15.4333,0.3381,0.3414,0.4111,0.0752449975094086
430676495,13.5481,13.4893,18.8106,0.2409,0.2398,0.2878,0.08548150399146558
430676496,9.3595,9.3738,14.357,0.2796,0.2799,0.336,0.08266986501266944
430676497,16.1682,15.6426,23.5541,0.1279,0.121,0.1558,0.041887433508339206
430676498,20.5203,20.8392,27.4578,0.2452,0.2492,0.3028,0.06444121395927624
430676499,12.772,12.4559,17.3597,0.2704,0.2623,0.3036,0.07804894248762141
430676505,20.6492,20.7899,26.9886,0.3494,0.3479,0.3961,0.07804894248762141
430676506,11.3115,11.452,15.5897,0.3671,0.366,0.4147,0.10052442674077641
430676508,15.8001,16.1777,21.1349,0.2727,0.28,0.3281,0.08911864874469005
430676509,9.8955,9.4496,14.2952,0.4452,0.4221,0.4851,0.07903061153879146
430676511,10.0874,9.5831,14.6478,0.1448,0.1404,0.1854,0.08377203058083679
430676512,7.723,7.2871,11.0934,0.186,0.1816,0.2216,0.10739689511380088
430676513,18.2387,18.4822,23.5223,0.29,0.2942,0.3421,0.09592081711552267
430676516,15.4457,15.7074,20.3075,0.2182,0.2233,0.2584,0.09740778003073822
430676517,18.8246,19.0644,24.6726,0.2653,0.2695,0.3109,0.08321729873508964
430676518,21.3572,21.5811,28.0555,0.3882,0.3951,0.4589,0.07479714303071543
430676519,13.3164,13.5312,18.1903,0.3619,0.37,0.4241,0.09665858053229819
430676520,13.1698,13.1938,17.9113,0.2618,0.2597,0.3074,0.09447856694680049
430676522,16.8128,16.8272,21.7661,0.35,0.3509,0.404,0.0937735836449438
430676523,8.7699,8.5846,13.2247,0.0758,0.0739,0.0991,0.0752449975094086
430676524,13.8989,14.2523,19.4355,0.2341,0.2405,0.2849,0.08266986501266944
430676526,17.4113,17.5432,24.231,0.3741,0.3826,0.4562,0.06544805286939072
430676527,6.9341,6.3626,9.7534,0.1806,0.1678,0.193,0.10299600257653854
430676531,13.4889,13.41,17.6109,0.2949,0.2907,0.3417,0.10559216905199818
430676532,17.7457,17.9562,23.0575,0.3001,0.3024,0.3642,0.09447856694680049
430676533,15.3277,15.4879,20.2007,0.2826,0.2861,0.3352,0.10471236017896915
430676534,12.8005,12.8344,17.2806,0.1514,0.151,0.1808,0.08975514439115811
430676536,9.5498,9.5819,13.9669,0.2876,0.2911,0.3339,0.08726219508235135
430676538,15.6723,15.7762,20.642,0.2868,0.2893,0.3321,0.09519422993221213
430676540,21.6927,22.221,29.008,0.3686,0.3819,0.443,0.06411244968272661
430676546,6.8734,6.2556,10.0211,0.1003,0.0938,0.1116,0.09816868357674101
430676547,7.4167,6.8834,10.7489,0.2423,0.2214,0.256,0.09307904275505513
430676548,12.0053,11.5956,17.8123,0.6816,0.6445,0.758,0.06579069379816853
430676550,16.4953,16.0533,23.2626,1.2766,1.2112,1.3906,0.06041383338136221
430676551,12.4771,12.0677,17.1398,0.7154,0.6866,0.6563,0.056098740702361524
430676552,20.4979,20.2871,25.8888,0.3804,0.3675,0.4208,0.0815963233535219
