detection_id,B,G,R,nB,nG,nR,Compactness
432648766,3.9936,10.1287,9.4244,0.0531,0.1181,0.0809,0.06159836113714365
432648768,4.2682,9.7652,9.0239,0.1007,0.197,0.1194,0.0675591583065621
432648771,3.9604,9.7167,9.8879,0.1232,0.2425,0.1437,0.05660411406725943
432648778,3.465,3.9666,4.637,0.0,0.0038,0.0173,0.07180546030797123
432648819,6.8627,13.5079,10.5773,0.123,0.2868,0.1551,0.10052442674077641
432648896,0.3958,1.5576,3.6294,0.0,0.037,0.0141,0.08787235948346774
432648920,21.6338,16.6117,7.6371,0.6004,0.4312,0.1433,0.08849111644335216
432649001,20.9418,18.9734,8.1951,0.1266,0.0884,0.0271,0.08911864874469005
432649004,21.3916,16.8399,6.8855,0.3835,0.3035,0.0532,0.06866661880204716
432649005,20.6593,17.4983,6.7895,0.3098,0.2722,0.0435,0.06942531913488556
432649006,20.2804,15.881,6.0908,0.2322,0.1776,0.0324,0.07221810771057427
432649007,21.8638,18.1067,7.0921,0.2265,0.1918,0.0335,0.06041383338136221
432649013,23.2001,19.5656,7.2351,0.2924,0.2503,0.0447,0.0675591583065621
432649015,23.7396,19.414,7.8364,0.5533,0.461,0.0837,0.07221810771057427
432649016,27.2163,23.2322,8.718,0.1978,0.1863,0.0232,0.07391723900466864
432649017,19.8407,16.7913,7.3177,0.2795,0.2461,0.0458,0.07391723900466864
432649018,14.4159,12.7069,5.3608,0.1414,0.1269,0.0241,0.08266986501266944
432649019,15.1999,12.4801,5.7878,0.112,0.0923,0.0318,0.08606693785815557
432649020,9.4912,7.8925,3.8858,0.0705,0.0537,0.0162,0.09447856694680049
432649021,14.0751,11.4896,5.5367,0.0963,0.0706,0.0223,0.10052442674077641
432649023,15.5652,12.839,6.0144,0.2365,0.1864,0.0508,0.09447856694680049
432649025,11.237,9.0917,4.5487,0.1068,0.0814,0.0253,0.11527791973048969
432649027,15.6401,13.3813,5.6506,0.2242,0.1963,0.0435,0.09307904275505513
432649028,20.3521,16.8635,7.1265,0.1801,0.1288,0.0451,0.08726219508235135
432649029,32.6121,28.2034,10.6807,0.1864,0.0883,0.0296,0.07615699026400004
432649030,36.4643,31.089,11.442,0.2872,0.1545,0.041,0.0752449975094086
432649032,22.1028,40.6802,29.0869,0.2979,0.6061,0.375,0.05660411406725943
432649033,53.0354,46.2308,17.0946,0.5136,0.3295,0.0879,0.05635029433027713
432649034,30.5669,27.4493,11.0358,0.1586,0.0759,0.0261,0.06314598028335774
432649035,10.4575,9.0008,3.8284,0.1121,0.0994,0.0225,0.10648688664370398
432649036,20.6075,17.0315,6.9847,0.2549,0.1996,0.0403,0.08666044549832956
432649039,4.9102,10.7494,8.5249,0.065,0.2193,0.0722,0.06510896233025722
432649044,3.0539,7.5598,7.4044,0.0779,0.2483,0.0891,0.06159836113714365
432649045,35.7237,30.8771,12.8194,0.3053,0.2457,0.0452,0.058176383157876974
432649049,1.7423,5.4701,8.4985,0.0108,0.1555,0.039,0.042310529255340984
432649050,28.9421,28.0371,12.9539,0.2725,0.2601,0.067,0.04471960971181389
432649051,24.48,23.2215,11.1368,0.4546,0.3979,0.1201,0.05463535211139932
432649052,11.1771,11.2219,6.18,0.4064,0.3956,0.0877,0.08433420746488306
432649053,1.662,4.0705,5.2416,0.0002,0.024,0.02,0.06251769380643689
432649054,2.4605,6.9734,6.0994,0.0,0.0385,0.0229,0.05439884443645084
432649055,1.5649,6.4727,7.9775,0.0,0.0462,0.0307,0.0406674373693737
432649062,0.4417,1.421,4.5239,0.0,0.0293,0.0171,0.07263552511680024
