detection_id,B,G,R,nB,nG,nR,Compactness
432534886,8.3664,23.4135,14.1486,0.1587,0.3624,0.1658,0.04424723137071616
432534924,2.9376,13.5892,9.9789,0.0269,0.0938,0.0564,0.04947312713553582
432534927,2.6351,8.8718,7.6715,0.0331,0.1066,0.0476,0.051712576293637055
432534928,3.1197,12.4976,9.2545,0.0214,0.0747,0.048,0.05302170881884524
432534930,2.7051,9.4602,7.3624,0.0284,0.0887,0.0408,0.0541643755046309
432534931,2.7827,11.4258,8.9539,0.0253,0.091,0.054,0.05279893651282317
432534932,6.3482,17.3605,11.7594,0.107,0.2449,0.1155,0.05487392523583279
432534934,2.5866,8.4466,6.5459,0.0192,0.0712,0.0348,0.06346488289866778
432534936,1.8892,7.4504,5.8166,0.0234,0.0596,0.0339,0.06648685222060789
432534939,1.5581,6.1971,5.7374,0.0321,0.0955,0.0465,0.06866661880204716
432534944,7.7017,19.454,12.0896,0.1471,0.3389,0.1208,0.045040172094838404
432534947,5.2766,19.7798,13.6073,0.0455,0.1465,0.0838,0.037068615393710314
432534950,5.1598,20.2794,13.7937,0.0403,0.1396,0.0784,0.036851207943492725
432534952,7.7308,23.0155,13.2575,0.0912,0.2523,0.0889,0.03951649547848519
432534957,7.6027,16.452,11.0462,0.1758,0.3225,0.1431,0.05439884443645084
432534960,6.716,14.8547,10.6341,0.1213,0.2342,0.1097,0.05370144932732833
432534962,2.5447,9.6426,8.1957,0.0297,0.086,0.0512,0.056098740702361524
432534964,6.7726,15.0993,11.074,0.1431,0.2807,0.1288,0.050875153686925724
432534966,2.3688,8.8431,8.0975,0.0262,0.0779,0.0478,0.05584942297118333
432534968,26.1001,27.4575,12.1359,2.2728,2.3682,0.5435,0.05535737701133239
432534969,5.7696,13.802,9.9822,0.1354,0.288,0.1204,0.05439884443645084
432534971,1.7784,6.2007,7.0736,0.0238,0.064,0.0435,0.05844695914181379
432534973,18.4002,19.4036,8.2108,1.7701,1.8631,0.44,0.08726219508235135
432534974,2.2755,8.0273,5.8555,0.0216,0.0871,0.0326,0.07853670966610296
432534977,2.1547,8.4567,6.7085,0.0193,0.0571,0.0379,0.07139750161301212
432534978,1.6836,7.2606,6.1779,0.0174,0.0689,0.0346,0.06648685222060789
432534983,1.7208,7.1953,5.8904,0.0278,0.0877,0.0441,0.07139750161301212
432534985,2.4441,9.408,7.2959,0.0106,0.0399,0.0297,0.07263552511680024
432534989,2.5934,9.5298,7.6507,0.0203,0.0549,0.0401,0.07020097205976435
432534993,2.3167,8.8297,6.919,0.0296,0.0678,0.0472,0.0815963233535219
432534996,2.471,8.4218,6.4232,0.0244,0.0553,0.0394,0.09519422993221213
432535019,2.9587,11.719,11.3759,0.0401,0.1119,0.0778,0.03951649547848519
432535023,2.657,10.8684,10.397,0.0274,0.0761,0.0565,0.04288813389916635
432535026,3.1483,12.244,12.5381,0.0521,0.1491,0.0998,0.04363270157106099
432535027,2.429,11.8293,12.408,0.0544,0.1599,0.1062,0.04288813389916635
432535032,1.9375,7.2067,8.0506,0.0426,0.0951,0.0624,0.06190178642991358
432535055,3.2964,9.1867,8.7057,0.0577,0.1488,0.0778,0.05324636892277132
432535056,3.141,8.8293,9.2544,0.0233,0.0579,0.0498,0.048146301614186766
432535057,3.0775,7.6866,7.6358,0.0478,0.1016,0.0614,0.06012478543760053
432535061,11.8953,21.3542,15.788,0.0545,0.1853,0.0664,0.06444121395927624
432535084,10.513,17.4882,16.8612,0.2431,0.4446,0.2576,0.04569528448132631
