detection_id,B,G,R,nB,nG,nR,Compactness
432600181,8.4033,9.5796,16.4539,0.2512,0.2847,0.3937,0.07903061153879146
432600182,19.0297,22.6605,36.3936,0.0614,0.0899,0.2131,0.05129044711249124
432600185,2.2187,2.542,5.1427,0.0314,0.0445,0.0622,0.15705446369492315
432600187,3.4139,4.1029,7.5484,0.0383,0.0518,0.0727,0.12440706908215582
432600194,3.4938,4.0361,7.1044,0.1083,0.1237,0.1545,0.1396087127968195
432600197,5.9856,6.4977,9.5359,0.0894,0.101,0.1194,0.1256508846247525
432600198,5.8807,6.3208,9.0018,0.0431,0.0486,0.0595,0.1396087127968195
432600200,5.6854,6.2723,10.1036,0.1004,0.1126,0.1454,0.12199187159268324
432600203,5.4822,6.0044,9.6428,0.2356,0.2618,0.3283,0.13088518977836702
432600205,1.5668,1.8152,3.8745,0.0,0.0,0.0067,0.18208192715442573
432600206,1.8786,2.1158,4.3559,0.0,0.0,0.0069,0.17695501477362918
432600211,3.6409,4.256,7.6709,0.0204,0.0224,0.0365,0.12440706908215582
432600213,3.7883,4.509,8.1522,0.0103,0.0118,0.0242,0.11743226366213184
432600214,4.0744,4.8944,8.6775,0.0097,0.0106,0.0232,0.1132011898318306
432600222,6.8747,7.691,12.5334,0.0459,0.0505,0.069,0.08975514439115811
432600227,3.2151,3.3003,4.6086,0.0,0.0,0.0057,0.2129260181386661
432600228,3.1177,3.2107,4.5255,0.0,0.0,0.0057,0.2129260181386661
432600229,3.409,3.5564,4.9894,0.0004,0.0049,0.0072,0.19328157927359077
432600242,4.1319,4.3259,6.1686,0.0,0.0,0.0075,0.16317136358672749
432600243,3.1945,3.3191,4.9397,0.0,0.0,0.0063,0.19328157927359077
432600244,2.6646,2.7825,4.2654,0.0,0.0,0.0058,0.2093793437612272
432600249,1.7563,2.2926,4.5476,0.0134,0.0165,0.0261,0.15511613727099602
432600255,2.2444,3.1323,6.3064,0.0048,0.0056,0.0162,0.12821464331793822
432600256,2.7773,3.7454,7.0868,0.0107,0.0127,0.0257,0.12318763468639518
432600257,3.313,4.5139,8.1811,0.0302,0.0365,0.054,0.11022268844923072
432600260,3.6016,4.4213,7.2118,0.035,0.0429,0.0547,0.1256508846247525
432600264,2.4892,2.9245,4.866,0.0448,0.0505,0.0545,0.15322506464696445
432600265,4.3148,4.6508,7.0412,0.0052,0.0112,0.0289,0.1495779344429456
432600266,4.2976,4.5479,6.6816,0.0004,0.0067,0.0169,0.15511613727099602
432600267,4.395,4.6458,6.6979,0.0,0.0002,0.0095,0.15511613727099602
432600268,4.1987,4.4153,6.265,0.0,0.0,0.0075,0.16317136358672749
432600269,5.1077,5.2813,7.3897,0.0,0.0,0.0087,0.1411769425941694
432600270,4.8742,5.0112,6.8649,0.0001,0.0002,0.0081,0.15705446369492315
432600274,6.7203,8.2854,13.162,0.1468,0.1759,0.2172,0.08726219508235135
