detection_id,B,G,R,nB,nG,nR,Compactness
428961872,11.4983,11.942,17.8661,0.048,0.0516,0.0825,0.077091360650504
428961873,13.5737,14.0623,18.6128,0.1279,0.1317,0.1573,0.08975514439115811
428961874,12.1727,12.0521,16.7301,0.098,0.0972,0.1294,0.09519422993221213
428961876,11.8622,11.7533,19.7005,0.2504,0.2512,0.3181,0.04851807655625124
428961878,13.4487,13.6126,18.1291,0.967,0.9691,1.0486,0.08787235948346774
428961879,14.8208,15.1999,19.3352,0.7002,0.7167,0.7898,0.1021587506273488
428961881,15.9766,16.454,20.5229,0.1394,0.1421,0.1657,0.08787235948346774
428961882,16.9473,17.4886,21.3243,0.0756,0.0818,0.0942,0.0815963233535219
428961886,17.7189,18.0854,21.9718,0.045,0.0453,0.0564,0.07853670966610296
428961887,18.5538,18.9624,22.8442,0.0362,0.039,0.0498,0.08055030487456037
428961890,18.1434,19.0289,21.8133,0.1158,0.1269,0.1197,0.07305779571290515
428961891,21.9076,22.1395,24.8848,0.1637,0.1691,0.1584,0.07099415216660818
428961892,19.8267,20.7879,22.8635,0.3222,0.3406,0.3112,0.07756719641593564
428961896,19.5585,19.7976,22.3981,0.2861,0.2888,0.2497,0.06829345312829196
428961897,18.2849,18.6118,20.8233,0.3291,0.3389,0.3051,0.08212958633865283
428961898,20.6997,21.2905,23.5874,0.4873,0.5046,0.4436,0.07221810771057427
428961899,17.9169,18.371,20.7734,0.4306,0.4414,0.3833,0.07953076456813789
428961902,18.6277,19.0375,21.5014,0.4512,0.4601,0.4038,0.07391723900466864
428961903,18.1139,18.4747,21.2082,0.303,0.3117,0.2968,0.07435458803139107
428961906,16.8376,17.8761,20.7315,0.4149,0.4497,0.4024,0.0675591583065621
428961907,16.3627,17.3467,20.0215,0.4781,0.5121,0.4789,0.07139750161301212
428961908,16.343,17.4301,20.0933,0.5418,0.5835,0.5442,0.07180546030797123
428961909,15.2212,16.622,19.5406,0.8368,0.928,0.8853,0.07059533429497317
428961912,7.3269,7.9781,11.6664,0.4456,0.5008,0.4921,0.08003728818317192
428961917,14.7052,14.4987,15.348,0.4313,0.4256,0.3218,0.08055030487456037
428961926,13.1461,13.272,15.7548,0.0262,0.025,0.021,0.08106994029334431
428961927,4.4094,4.558,10.2028,0.0186,0.0172,0.0321,0.09816868357674101
428961929,5.3558,5.5553,11.9809,0.0292,0.0269,0.0485,0.08787235948346774
428961930,6.6794,7.2157,14.4859,0.1193,0.115,0.1795,0.08606693785815557
428961931,19.2462,19.6576,24.2654,0.6181,0.6381,0.686,0.08666044549832956
428961932,6.8289,7.3697,13.4362,0.1994,0.2062,0.3042,0.08666044549832956
428961935,15.1873,15.4878,19.6039,0.5625,0.5779,0.6127,0.09519422993221213
428961936,8.1091,8.9915,16.4416,0.3032,0.3359,0.4975,0.07263552511680024
428961937,21.1651,21.4259,26.4166,0.9513,0.9592,1.0151,0.08106994029334431
428961938,10.2209,11.0798,17.9534,0.3152,0.3449,0.5183,0.07804894248762141
428961939,22.9332,22.9949,28.6678,0.9231,0.9265,0.9896,0.07615699026400004
428961940,23.2702,23.5002,29.7764,0.599,0.6067,0.6819,0.0752449975094086
428961947,4.9203,4.9874,8.8015,0.0,0.0,0.017,0.07305779571290515
428961948,4.6357,5.1548,9.5171,0.0,0.0,0.0166,0.07479714303071543
428961951,3.6961,3.8439,8.0584,0.0,0.0,0.0143,0.08666044549832956
428961952,12.9388,12.9592,18.2524,0.2642,0.2644,0.3139,0.09040079679516942
428961953,12.6005,12.6609,17.706,0.2082,0.2071,0.2498,0.09592081711552267
