detection_id,B,G,R,nB,nG,nR,Compactness
432432825,4.8844,4.6271,7.7356,0.0693,0.0641,0.0617,0.09239471398211957
432432833,17.8648,17.8814,23.4934,0.3893,0.3896,0.4216,0.06477336728387235
432432836,15.5622,14.7403,18.6875,0.1746,0.1607,0.1503,0.06510896233025722
432432866,45.1609,45.125,54.2328,1.0587,1.04,1.097,0.0406674373693737
432432872,2.7033,2.7842,4.3748,0.0185,0.0197,0.0267,0.2093793437612272
432432876,4.308,4.3545,6.4935,0.1466,0.1467,0.1562,0.14781870195462177
432432878,5.2891,5.0034,7.1589,0.1554,0.1455,0.1497,0.13807493637999585
432432879,5.5547,5.2863,7.136,0.0559,0.0535,0.0624,0.15904183716398032
432432880,4.813,4.7936,7.4012,0.0558,0.0564,0.0688,0.12691981982432735
432432881,8.0496,7.8395,11.0105,0.1588,0.1518,0.1588,0.08975514439115811
432432882,3.3408,3.3759,5.3679,0.1198,0.1198,0.1264,0.15511613727099602
432432889,6.3671,6.5182,10.5101,0.1301,0.1367,0.18,0.10052442674077641
432432890,4.9553,4.8732,7.7614,0.1105,0.1055,0.1188,0.11119795425652645
432432894,2.6569,2.6664,4.8436,0.0278,0.0285,0.0375,0.1396087127968195
432432896,3.732,3.7532,6.3619,0.0541,0.0549,0.0646,0.12199187159268324
432432898,1.9477,2.0111,4.272,0.0394,0.042,0.0598,0.15511613727099602
432432901,3.8522,3.8516,6.7316,0.075,0.0736,0.0856,0.10648688664370398
432432902,4.7469,4.7704,7.8419,0.0503,0.0517,0.0634,0.10559216905199818
432432904,6.5674,6.3023,8.7542,0.083,0.0777,0.0828,0.11527791973048969
432432905,8.1383,8.0586,11.1847,0.1307,0.1292,0.1383,0.09665858053229819
432432914,9.7771,9.611,11.5999,0.9315,0.9281,0.7841,0.09519422993221213
432432920,15.3017,15.1365,19.9138,0.2393,0.2341,0.2495,0.06477336728387235
432432921,13.3886,13.3211,18.4755,0.3356,0.3284,0.3422,0.05872006370526449
432432929,23.6567,24.1953,28.9969,0.292,0.2977,0.3201,0.06444121395927624
432432930,23.4778,24.0496,30.7435,0.2099,0.2193,0.2465,0.04688878485347726
432432931,4.0941,4.1535,6.5131,0.0373,0.0376,0.0463,0.13088518977836702
432432947,2.2016,2.2449,4.9826,0.0665,0.0673,0.0781,0.11853991327830876
432432969,3.222,3.0626,4.1457,0.0867,0.0815,0.0744,0.2129260181386661
432432972,4.3582,4.1975,5.5419,0.0553,0.0512,0.048,0.16752101074657041
432432974,2.9184,2.9559,4.3553,0.0538,0.0557,0.0555,0.1903544897796419
