detection_id,B,G,R,nB,nG,nR,Compactness
427609062,17.238,16.709,16.6336,0.6329,0.6116,0.4751,0.08490398027194407
427609063,22.7484,22.2543,22.5086,0.6352,0.6202,0.4785,0.05872006370526449
427609078,19.0553,20.6232,24.8585,0.1623,0.1685,0.1768,0.05129044711249124
427609079,28.2474,27.9882,32.2,0.3039,0.3009,0.2885,0.0401477364918814
427609080,18.7264,19.4974,21.615,0.1816,0.1963,0.1923,0.05983849013957345
427609081,12.7179,14.04,18.9573,0.5545,0.6113,0.6208,0.06220821570931003
427609090,19.7354,18.8166,18.2171,0.2925,0.2744,0.2073,0.06159836113714365
427609093,17.8928,17.9014,19.3973,0.2476,0.2453,0.2133,0.07903061153879146
427609100,14.2785,15.2497,18.915,0.1881,0.2033,0.1969,0.06041383338136221
427609102,8.7449,9.5009,13.1066,0.1128,0.1221,0.1197,0.06475912599708135
427609103,31.374,32.6674,35.9839,0.5218,0.5456,0.5028,0.0430350075951413
427609119,14.3571,15.2969,18.8615,0.1831,0.1988,0.1943,0.06283026644890574
427609121,8.6325,10.3749,18.2122,0.2192,0.2777,0.3688,0.05439884443645084
427609122,10.9105,12.1874,17.5585,0.1269,0.1451,0.161,0.05439884443645084
427609123,11.9842,13.3207,23.375,0.1736,0.204,0.2687,0.03610752993161804
427609124,18.4291,18.949,25.0133,0.3016,0.3101,0.31,0.04288813389916635
427609127,24.0909,24.4077,27.6045,0.3358,0.3397,0.3154,0.05192625725187585
427609130,18.6618,18.7119,23.6888,0.2449,0.2496,0.2644,0.0815963233535219
427609134,21.117,20.2264,23.285,0.2771,0.2526,0.2367,0.06684048540909966
427609135,46.8699,46.8327,47.0944,0.4755,0.4738,0.4345,0.06251769380643689
427609136,28.9032,27.2433,30.4602,0.3008,0.2833,0.2467,0.06159836113714365
427609138,28.1941,27.2782,29.3364,0.6675,0.6529,0.5959,0.06544805286939072
427609139,23.9388,23.1486,26.3132,0.7929,0.7711,0.7391,0.06942531913488556
427609140,14.6003,13.8697,17.5681,0.2393,0.2335,0.2619,0.08548150399146558
427609141,15.5472,14.7435,18.2446,0.1798,0.1785,0.1858,0.08106994029334431
427609144,42.6766,40.8753,47.4925,0.7467,0.7186,0.7583,0.0396411506922282
427609147,22.746,21.4395,25.0012,0.5573,0.5255,0.4877,0.04889563761385481
427609148,50.9429,49.8444,49.138,0.828,0.8103,0.6993,0.04586205110904071
427609149,8.4784,7.8362,11.1381,0.1279,0.1109,0.109,0.06792432131461863
427609155,21.6403,21.3255,23.2802,0.2844,0.2761,0.248,0.06314598028335774
427609156,22.2594,24.5381,27.7529,0.3581,0.3938,0.3764,0.06904388481989716
427609157,29.9068,30.3689,31.9397,0.2486,0.252,0.2408,0.06444121395927624
427609158,22.4851,25.5607,29.8005,0.7294,0.8836,0.9365,0.06579069379816853
427609160,23.3172,22.4918,21.5399,0.6417,0.6225,0.4672,0.06477336728387235
