detection_id,B,G,R,nB,nG,nR,Compactness
432374053,14.7994,21.6661,35.9376,0.2746,0.387,0.5944,0.03028023444963907
432374055,12.6628,16.0355,21.9018,0.1874,0.2634,0.2721,0.06190178642991358
432374063,9.8102,17.43,27.3824,0.1319,0.3275,0.3857,0.04363270157106099
432374073,4.6721,6.8148,15.3594,0.0945,0.144,0.2649,0.08548150399146558
432374075,4.8252,6.5133,14.4865,0.1087,0.1505,0.2753,0.08433420746488306
432374076,5.4609,7.1928,16.1095,0.1223,0.1665,0.3142,0.07305779571290515
432374077,5.6191,7.3579,16.5791,0.1147,0.1598,0.2946,0.07099415216660818
432374079,5.3969,6.9827,15.7889,0.1306,0.1774,0.3292,0.07953076456813789
432374080,4.9541,5.812,14.7837,0.1513,0.1779,0.3544,0.08266986501266944
432374081,5.318,6.3998,15.7914,0.1607,0.1931,0.373,0.07804894248762141
432374082,4.9416,6.4643,15.7943,0.1795,0.2335,0.4479,0.07804894248762141
432374083,4.7933,6.3232,15.4254,0.1584,0.2076,0.4047,0.08106994029334431
432374084,4.5867,6.2135,15.22,0.1605,0.2233,0.4248,0.08106994029334431
432374088,4.3089,4.7438,10.7743,0.0515,0.0561,0.0934,0.08490398027194407
432374089,4.5017,5.0248,11.5357,0.0269,0.0323,0.0569,0.07615699026400004
432374090,3.699,3.7665,10.1768,0.0376,0.0404,0.0703,0.07662132709270902
432374091,8.0148,12.2697,26.1448,0.1285,0.2355,0.427,0.051500646728563054
432374099,6.6291,9.5483,20.5481,0.0784,0.1514,0.3052,0.06544805286939072
432374100,7.657,11.0417,23.4866,0.1063,0.2115,0.4074,0.056098740702361524
432374101,6.3852,10.6246,23.6648,0.126,0.2376,0.431,0.05660411406725943
432374102,4.35,7.5485,18.4634,0.1155,0.2232,0.4205,0.06190178642991358
432374104,4.1372,7.123,18.4361,0.0956,0.1698,0.3382,0.05347294092237722
432374105,4.1077,6.5447,15.3915,0.0647,0.1191,0.2338,0.0752449975094086
432374106,12.7805,14.3499,18.8343,0.2179,0.2517,0.2942,0.09972671719555438
