detection_id,B,G,R,nB,nG,nR,Compactness
432765553,0.374,0.3251,1.8405,0.0028,0.0021,0.0078,0.1903544897796419
432765554,0.7686,0.7125,2.7525,0.0132,0.0138,0.0187,0.1411769425941694
432765560,7.5366,7.971,8.3675,0.0497,0.0526,0.0147,0.08975514439115811
432765579,14.5362,14.8391,13.2087,0.1662,0.1726,0.1569,0.1132011898318306
432765580,4.2427,4.2939,5.1178,0.0474,0.0464,0.0508,0.15904183716398032
432765589,3.7025,3.8107,4.2573,0.0194,0.0197,0.0186,0.16978395275546265
432765602,3.3448,3.7545,5.5131,0.0226,0.0243,0.0273,0.12318763468639518
432765619,3.0665,3.2291,5.6762,0.0457,0.0448,0.0452,0.10926437976474195
432765620,2.8628,3.1186,5.561,0.027,0.0281,0.0276,0.10299600257653854
432765634,3.7427,3.7841,4.7381,0.0591,0.0593,0.047,0.1495779344429456
432765638,11.281,11.6111,10.8912,0.1572,0.1643,0.1096,0.09972671719555438
432765639,24.1726,25.3012,20.5557,0.3311,0.3411,0.2154,0.06981099120988524
432765641,1.8631,1.8758,2.869,0.0164,0.0161,0.0185,0.21659487670178934
432765658,3.0368,3.2117,5.065,0.0127,0.0133,0.0149,0.1411769425941694
432765674,1.2663,1.3413,3.0321,0.0083,0.0086,0.0143,0.22840111198938143
432765709,1.0824,1.2211,3.1963,0.009,0.0102,0.0169,0.19941430995731257
432765735,0.7729,0.8531,2.9062,0.0003,0.0059,0.011,0.1351063003197879
432765737,7.0971,7.2487,6.955,0.2647,0.2703,0.1874,0.15322506464696445
432765740,1.2332,1.2818,2.2339,0.0059,0.0059,0.0094,0.22039234176969208
432765741,3.7176,3.7832,4.1289,0.1008,0.1015,0.0754,0.20262892686416292
432765742,2.7947,2.8763,3.6858,0.0301,0.0324,0.0267,0.1794818739290955
432765743,11.6145,12.031,9.6975,0.3436,0.3555,0.2221,0.1427807996875266
432765770,5.3476,6.1484,9.2075,0.0404,0.0594,0.0851,0.10739689511380088
432765810,0.5438,0.7956,2.8687,0.0045,0.0051,0.0121,0.18208192715442573
432765811,0.4363,0.7285,2.9861,0.0042,0.0052,0.0115,0.17695501477362918
432765812,0.3642,0.6607,3.4245,0.0009,0.001,0.01,0.1396087127968195
432765813,0.244,0.4362,2.5928,0.001,0.001,0.008,0.1794818739290955
