detection_id,B,G,R,nB,nG,nR,Compactness
432556283,4.9732,5.2061,7.9051,0.0336,0.0359,0.049,0.15322506464696445
432556284,6.026,6.4107,9.6328,0.0679,0.072,0.0907,0.12691981982432735
432556285,6.0415,6.4695,9.7221,0.0815,0.0885,0.1104,0.12440706908215582
432556286,6.0964,6.6068,9.9977,0.2585,0.2814,0.3244,0.11966865507387159
432556287,5.7997,6.214,9.6358,0.227,0.2482,0.2861,0.11743226366213184
432556288,4.9018,5.2024,8.2521,0.113,0.125,0.1566,0.1396087127968195
432556289,5.5983,6.1413,9.8856,0.2545,0.2853,0.3433,0.11423011752805243
432556290,5.4296,6.1451,9.9491,0.2038,0.2285,0.2695,0.10739689511380088
432556291,5.3175,6.0377,9.8169,0.1676,0.1891,0.2241,0.10926437976474195
432556292,4.8246,5.5674,9.367,0.108,0.1219,0.1448,0.10926437976474195
432556293,4.0148,5.0383,8.9014,0.0019,0.0022,0.0145,0.1021587506273488
432556294,3.6962,4.724,8.4997,0.0,0.0,0.012,0.10299600257653854
432556302,6.3234,6.3133,8.6681,0.097,0.0979,0.1057,0.1411769425941694
432556307,4.164,4.0444,5.6331,0.0186,0.0186,0.0244,0.2093793437612272
432556308,5.4568,5.3522,7.0071,0.0251,0.0251,0.0314,0.19328157927359077
432556309,5.5348,5.4467,7.0771,0.0259,0.0258,0.0322,0.1903544897796419
432556310,4.0,3.9577,5.2409,0.0185,0.0184,0.0236,0.23262772230212783
432556311,4.335,4.254,5.5421,0.0352,0.035,0.0387,0.2129260181386661
432556313,4.8959,4.8285,6.2063,0.0445,0.0443,0.0493,0.1963000700655754
432556319,7.1344,7.1657,9.0471,0.2127,0.2127,0.2119,0.15511613727099602
432556320,10.2892,10.2489,12.4938,0.1035,0.1018,0.1113,0.1351063003197879
432556321,8.6658,8.7292,11.1565,0.3941,0.3943,0.4031,0.12953615542145414
432556324,5.8363,5.788,7.4072,0.1017,0.1004,0.1067,0.1903544897796419
432556325,4.9671,4.8907,6.4335,0.1394,0.1358,0.1419,0.20262892686416292
