detection_id,B,G,R,nB,nG,nR,Compactness
1353434262,64.8573,71.6261,63.0925,4.7007,5.1169,3.7328,0.03890479695236772
1353434263,51.9686,59.0568,51.4361,0.3349,0.356,0.2738,0.03807955914588565
1353434266,61.1545,68.9158,59.6597,2.2001,2.4307,1.716,0.037964517283050205
1353434267,27.0519,30.9568,27.5899,1.6667,1.922,1.3345,0.05511459098459456
1353434268,29.2985,33.6243,32.3061,0.712,0.8154,0.6623,0.05535737701133239
1353434269,19.7835,22.681,20.6737,0.9895,1.1623,0.8485,0.06684048540909966
1353434270,50.5199,55.3462,48.3618,2.7202,2.9499,2.1099,0.041610039451085
1353434274,44.5419,48.685,42.1195,3.3582,3.7241,2.6741,0.03902561695436705
1353434296,34.4063,40.3706,38.5838,1.8735,2.1901,1.674,0.04424723137071616
1353434297,24.4128,28.5559,28.0049,1.3828,1.6147,1.2498,0.05764267775279962
1353434298,24.0439,28.0606,28.7478,1.0958,1.281,1.0175,0.04778018079289879
1353434299,20.1405,23.5371,23.5247,0.7967,0.9303,0.7395,0.06444121395927624
1353434300,19.7182,23.0077,23.2252,0.7705,0.8968,0.7152,0.06283026644890574
1353434302,18.2681,21.2542,21.2122,0.7098,0.8285,0.6619,0.07180546030797123
1353434303,17.9612,20.9252,20.9373,0.6939,0.811,0.6466,0.07180546030797123
1353434304,17.7245,20.6274,20.6254,0.65,0.7616,0.6075,0.07348500463068167
1353434306,17.178,20.131,20.3006,0.6458,0.7635,0.6091,0.07180546030797123
1353434307,16.9225,19.8701,20.0268,0.6553,0.7781,0.6185,0.07263552511680024
1353434308,16.7675,19.6968,19.9773,0.588,0.7013,0.5611,0.07263552511680024
1353434310,14.2864,16.7333,17.3286,0.4643,0.5483,0.4477,0.07903061153879146
1353434311,16.1776,18.7419,17.0256,2.699,3.0724,2.2024,0.08433420746488306
1353434362,23.3568,26.7974,24.5542,2.7737,3.1478,2.3185,0.07020097205976435
1353434363,26.8457,30.9629,28.2454,3.2003,3.6413,2.7058,0.06190178642991358
1353434365,31.0903,36.5031,33.544,2.5172,2.9254,2.2064,0.0539319190680174
1353434367,30.4711,33.6471,26.4037,0.1196,0.1965,0.0266,0.04688878485347726
1353434372,17.6382,20.1662,19.7782,1.3558,1.5526,1.2204,0.08321729873508964
1353434374,16.8036,19.2698,18.7089,1.4738,1.6908,1.3106,0.08666044549832956
1353434375,12.9278,15.3405,14.3875,0.0227,0.0772,0.0139,0.08911864874469005
1353434377,12.2393,14.5007,14.0486,0.0239,0.0735,0.015,0.08266986501266944
1353434378,17.119,18.1279,17.8133,0.0,0.0,0.0172,0.07221810771057427
1353434379,12.8125,14.7407,14.7044,0.0,0.0,0.016,0.07756719641593564
1353434381,11.5792,12.9077,14.3413,0.0,0.0,0.0194,0.06411244968272661
1353434383,16.3167,19.0144,17.7172,0.0373,0.1074,0.0182,0.06829345312829196
1353434566,28.0,25.4059,13.7727,0.1594,0.1563,0.0249,0.05535737701133239
1353434569,23.6707,23.6797,16.2032,0.0877,0.0954,0.0182,0.06829345312829196
1353434570,18.215,20.9041,18.8755,0.0967,0.1405,0.0345,0.06378702284985524
1353434572,15.4984,17.9593,16.1475,0.0946,0.1249,0.0413,0.07305779571290515
1353434576,28.9882,30.9975,26.1626,0.0323,0.0287,0.0197,0.06314598028335774
1353434577,36.6022,35.983,23.2882,0.1368,0.1358,0.0248,0.05257802831020273
1353434580,23.1011,21.2848,11.8131,0.1156,0.1132,0.0166,0.07479714303071543
1353434581,20.6274,19.2759,13.9294,0.0907,0.0879,0.0227,0.05487392523583279
1353434582,21.6602,20.6515,14.7668,0.0898,0.0941,0.0226,0.05511459098459456
1353434584,17.2687,15.4642,9.7154,0.0824,0.0794,0.0149,0.08321729873508964
