detection_id,B,G,R,nB,nG,nR,Compactness
430025759,9.5796,8.2896,8.0447,0.6126,0.5185,0.3375,0.11634512054520679
430025760,9.9818,8.615,8.2653,0.6033,0.5081,0.3301,0.11634512054520679
430025761,11.6905,10.0793,9.9894,0.8034,0.6684,0.4658,0.09740778003073822
430025762,10.1498,8.7335,8.6025,0.63,0.5328,0.3571,0.10926437976474195
430025763,9.7903,8.4887,8.2017,0.6062,0.5162,0.3216,0.11219063124580061
430025764,10.0521,8.7035,8.4379,0.4911,0.4148,0.2665,0.10739689511380088
430025765,10.9649,9.5659,9.1846,0.5763,0.4904,0.3117,0.1021587506273488
430025766,11.2196,9.9054,9.3906,0.5044,0.4391,0.2707,0.09972671719555438
430025767,11.0101,9.6523,9.3256,0.4289,0.3749,0.2365,0.09972671719555438
430025768,11.5291,10.0596,9.552,0.4254,0.3678,0.2289,0.09894156757337469
430025769,12.3374,10.5998,9.9817,0.4223,0.3555,0.2197,0.09665858053229819
430025770,15.5451,13.2728,12.9753,0.52,0.4318,0.3014,0.08321729873508964
430025771,15.2943,12.9997,12.8151,0.5948,0.4941,0.3504,0.08787235948346774
430025822,24.5444,21.6615,22.2379,0.7724,0.6455,0.4859,0.05660411406725943
430025823,20.2169,17.7678,17.7203,0.6576,0.5527,0.4206,0.07615699026400004
430025824,18.1133,15.9701,15.5163,0.642,0.553,0.4037,0.08106994029334431
430025825,22.1387,19.2799,18.4701,0.9986,0.8548,0.6375,0.07263552511680024
430025826,24.5304,21.2856,19.846,1.3045,1.1124,0.8086,0.07020097205976435
430025827,25.5967,21.8726,21.3653,1.2769,1.0672,0.8102,0.06579069379816853
430025834,7.3625,6.8791,6.7619,0.1017,0.0959,0.0585,0.11219063124580061
430025835,7.803,7.3342,6.9941,0.0925,0.0854,0.059,0.10559216905199818
430025836,8.2118,7.7097,7.2015,0.0935,0.0872,0.0576,0.10471236017896915
430025837,8.4713,7.917,7.2763,0.0928,0.0866,0.0554,0.10471236017896915
430025838,8.3698,7.8207,7.2133,0.1296,0.1214,0.0741,0.10559216905199818
430025839,8.6705,8.0251,7.4566,0.1837,0.1735,0.1028,0.10648688664370398
430025840,8.4991,7.8084,7.3002,0.1562,0.1445,0.0935,0.10739689511380088
430025841,8.151,7.5124,7.041,0.2157,0.197,0.1241,0.1038470904936626
430025842,7.9597,7.3835,6.7121,0.218,0.1997,0.1221,0.11219063124580061
430025843,7.7301,7.1641,6.6247,0.1624,0.1493,0.0948,0.11219063124580061
430025844,9.6471,8.8701,7.9161,0.8543,0.7752,0.4715,0.11527791973048969
430025845,10.3242,9.4266,8.4529,0.7629,0.6817,0.4043,0.11022268844923072
430025846,10.4097,9.551,8.5245,0.7161,0.6459,0.3851,0.11219063124580061
430025847,10.4185,9.5875,8.472,0.6163,0.5591,0.3305,0.11527791973048969
430025848,11.6313,10.7039,9.3948,0.6204,0.562,0.3336,0.10832258979485408
430025849,11.9776,10.986,9.6765,0.6581,0.592,0.3435,0.1038470904936626
430025850,14.9163,13.4139,11.8558,0.9684,0.8627,0.5346,0.09239471398211957
430025851,15.3904,13.7514,12.1735,1.005,0.8871,0.5564,0.09040079679516942
430025852,17.2255,15.2325,13.5795,1.2166,1.0639,0.6916,0.08726219508235135
430025853,18.3842,16.1743,14.4693,1.4424,1.2553,0.8455,0.08266986501266944
430025854,20.3741,17.8907,15.8096,1.8301,1.6009,1.0843,0.07804894248762141
430025855,20.7986,18.3997,16.1653,1.9047,1.6721,1.1314,0.07615699026400004
