detection_id,B,G,R,nB,nG,nR,Compactness
555253942,13.8866,14.1389,20.5839,0.3032,0.3188,0.4152,0.09105580497377844
555253945,21.8257,20.7528,27.9407,0.3986,0.3766,0.4693,0.06477336728387235
555253946,13.9997,15.2115,25.0007,0.1482,0.1597,0.2504,0.08266986501266944
555253948,13.9888,12.9712,18.6301,0.178,0.1631,0.2047,0.08849111644335216
555253950,24.7995,25.5136,35.7077,0.3817,0.3969,0.5314,0.06314598028335774
555253951,13.5235,13.3212,18.7386,0.3074,0.3008,0.3629,0.08106994029334431
555253952,16.2802,16.1784,23.4454,0.1286,0.1323,0.1884,0.06314598028335774
555253954,10.6404,11.5305,19.6042,0.549,0.6055,0.8467,0.07391723900466864
555253955,43.4012,44.7699,58.4578,0.4367,0.4655,0.601,0.03580133342376613
555253957,17.9088,16.3028,22.1368,0.1785,0.1589,0.1952,0.07391723900466864
555253958,19.4943,17.8463,22.291,0.1916,0.1564,0.1819,0.09040079679516942
555253960,10.8682,11.0767,18.1831,0.0881,0.0903,0.1718,0.08726219508235135
555253963,12.8278,12.0641,18.5112,0.2731,0.2543,0.3386,0.07569824722699373
555253966,12.3103,12.469,20.4177,0.1688,0.1746,0.2619,0.07221810771057427
555253978,6.2047,6.8977,13.7538,0.0789,0.0788,0.114,0.05635029433027713
555254138,21.9697,22.089,26.493,0.0881,0.0884,0.1074,0.06444121395927624
555254160,13.6539,12.6413,15.4116,0.1146,0.1003,0.1055,0.09519422993221213
555254162,22.2697,24.3392,35.6129,0.3427,0.3822,0.5611,0.07263552511680024
555254165,19.5238,19.4962,25.1234,0.0745,0.0755,0.0865,0.05560231145909046
555254166,26.4002,26.8549,35.1602,0.3764,0.3857,0.4809,0.04870612541107282
555254171,21.2919,21.2304,31.5107,0.1444,0.1537,0.1948,0.0404059159192194
555254183,11.4461,10.6907,13.6849,0.1023,0.0941,0.1013,0.10052442674077641
555254185,12.7402,11.9602,14.7787,0.096,0.085,0.0933,0.10052442674077641
555254190,11.1907,10.9212,17.6086,0.1442,0.1468,0.1876,0.06100034753906654
555254192,19.2479,18.0801,26.9765,0.1573,0.1456,0.1925,0.056098740702361524
555254236,36.7503,35.106,40.6059,0.5149,0.4929,0.4894,0.04318289069619264
555254254,35.8017,39.0801,58.1154,0.6935,0.7658,1.0709,0.03631868507741698
555254257,7.061,6.806,10.6231,0.0044,0.0042,0.0186,0.07804894248762141
555254260,10.9793,11.3733,16.3317,0.2229,0.226,0.2397,0.05535737701133239
555254265,8.5454,9.993,17.5711,0.2927,0.3458,0.4745,0.07059533429497317
555254266,11.7989,13.7319,24.6894,0.7944,0.9112,1.2856,0.05235896091135454
555254267,12.2289,12.9702,20.4199,0.2275,0.2431,0.3342,0.08726219508235135
555254271,10.9395,12.3046,20.3862,0.1817,0.2033,0.3101,0.07348500463068167
555254272,17.2894,15.9164,18.1353,0.5157,0.4744,0.452,0.09816868357674101
555254273,20.2197,18.9403,21.963,0.746,0.709,0.6635,0.07305779571290515
555254274,30.5042,31.7618,40.9538,0.3336,0.3607,0.4603,0.06220821570931003
555254275,15.3206,13.9618,17.541,0.3227,0.2984,0.2799,0.06719790044098876
555254276,23.2342,24.7656,31.3373,0.2026,0.2279,0.288,0.07662132709270902
