detection_id,B,G,R,nB,nG,nR,Compactness
432892929,7.7065,5.2609,9.7261,0.0037,0.0041,0.0311,0.04603003942056844
432892931,2.8778,2.7094,5.7768,0.0167,0.0189,0.0341,0.08787235948346774
432892934,2.4076,3.7802,6.7983,0.0347,0.0693,0.1095,0.16978395275546265
432892935,4.1974,7.001,12.4831,0.0819,0.1378,0.2171,0.1038470904936626
432892942,2.5517,2.0209,4.653,0.0,0.0,0.0125,0.09894156757337469
432892946,4.3079,3.6206,7.1687,0.0043,0.0045,0.0208,0.07569824722699373
432892948,7.543,6.5777,11.1493,0.0191,0.0203,0.0427,0.05844695914181379
432892951,18.6642,22.555,30.3991,0.2757,0.337,0.3887,0.048331474165630606
432892952,11.347,9.9753,16.1343,0.0599,0.0603,0.0952,0.04520218287170602
432892959,2.1739,1.5901,3.4979,0.0055,0.0054,0.0138,0.14781870195462177
432892960,10.9211,11.1446,15.5015,0.0878,0.0955,0.1125,0.06942531913488556
432892961,22.5582,23.7929,30.7756,0.2959,0.3147,0.3612,0.05129044711249124
432892963,1.1119,2.8474,7.1481,0.0083,0.025,0.0576,0.13088518977836702
432892966,3.6493,6.1299,11.9357,0.0606,0.1032,0.1554,0.1021587506273488
432892972,2.0425,4.2164,6.6439,0.0394,0.082,0.1182,0.1963000700655754
432892983,3.6564,3.5474,5.2055,0.0585,0.0565,0.0599,0.18751471302418415
432892986,15.3871,20.1876,27.5554,0.3291,0.4399,0.5551,0.06411244968272661
432892994,12.3757,12.5047,17.5213,0.2576,0.2586,0.3052,0.06904388481989716
432892999,2.9649,2.5065,3.3625,0.0474,0.0398,0.031,0.18475840065665078
432893008,4.3894,6.4247,10.3185,0.0853,0.1388,0.1923,0.1336693370934263
432893009,4.8631,7.0363,11.72,0.1007,0.1786,0.2536,0.11219063124580061
432893011,6.8673,8.2507,11.5784,0.178,0.2101,0.2661,0.11634512054520679
432893013,4.9116,5.3679,7.8718,0.0809,0.0915,0.1279,0.1495779344429456
432893015,1.7923,2.7203,5.2261,0.0245,0.0532,0.0793,0.16317136358672749
432893027,15.1996,19.013,27.0018,0.2241,0.289,0.3904,0.0589957324588329
432893039,12.8988,13.7328,18.1363,0.2051,0.2549,0.358,0.0815963233535219
432893040,4.9817,4.9058,8.4765,0.1047,0.0994,0.1268,0.10299600257653854
