detection_id,B,G,R,nB,nG,nR,Compactness
429407081,21.632,26.0202,35.318,0.1504,0.2656,0.3397,0.06220821570931003
429407082,21.5506,25.4538,34.9302,0.1483,0.2589,0.3284,0.05983849013957345
429407085,29.3185,33.8709,45.5857,0.1937,0.3336,0.41,0.05463535211139932
429407092,65.5274,64.8957,52.5602,0.1096,0.0969,0.0839,0.036529836633637666
429407094,24.5598,24.0428,23.3615,0.0977,0.0896,0.0674,0.05279893651282317
429407111,8.2184,9.2026,14.0298,0.1441,0.1762,0.2321,0.08433420746488306
429407112,9.5279,9.1306,11.0409,0.1158,0.1101,0.0957,0.09592081711552267
429407113,13.7776,13.788,11.8106,0.0774,0.0784,0.0141,0.08787235948346774
429407115,11.3661,10.6707,13.1554,0.1499,0.1353,0.1125,0.08548150399146558
429407116,14.9364,15.025,11.9519,0.0916,0.0941,0.0133,0.09307904275505513
429407118,12.5343,11.8401,13.7279,0.135,0.1227,0.0991,0.09519422993221213
429407119,14.2099,14.361,11.3823,0.0876,0.0888,0.0128,0.09665858053229819
429407121,11.3627,10.7332,12.7972,0.134,0.1201,0.1007,0.09519422993221213
429407122,13.7625,13.853,11.0895,0.0862,0.0871,0.013,0.09519422993221213
429407124,13.0797,13.1319,10.9403,0.0835,0.0837,0.0138,0.08975514439115811
429407125,10.606,10.038,12.3809,0.1188,0.1068,0.0904,0.08911864874469005
429407126,13.3817,13.2953,10.9659,0.0855,0.0855,0.0141,0.08787235948346774
429407127,11.0638,10.3557,12.9614,0.0921,0.0769,0.0645,0.08377203058083679
429407128,12.9435,12.8987,11.017,0.0794,0.0793,0.0147,0.08433420746488306
429407139,12.765,12.0118,13.3701,0.083,0.0675,0.0491,0.10559216905199818
429407152,9.1512,9.4213,13.0672,0.4064,0.4221,0.4036,0.07221810771057427
429407155,11.8571,12.5579,17.2811,0.1361,0.1428,0.1607,0.06220821570931003
429407156,8.1075,7.8443,9.5881,1.0138,0.9834,0.8001,0.09447856694680049
429407157,8.5439,8.2642,9.884,0.9182,0.8913,0.6995,0.09447856694680049
429407161,12.6464,13.7703,19.9085,0.1364,0.1505,0.2029,0.08321729873508964
429407166,15.9343,17.4696,24.7533,0.207,0.2315,0.3027,0.06904388481989716
429407167,16.7671,15.998,17.1862,1.4776,1.408,1.1228,0.07180546030797123
429407171,13.9997,13.4838,19.4122,0.6849,0.6788,0.7589,0.06544805286939072
429407172,13.6505,13.0983,15.4127,1.1541,1.0929,0.9055,0.06283026644890574
429407173,13.79,13.16,15.0582,0.7614,0.7213,0.5951,0.07305779571290515
429407175,12.2377,11.9539,13.4341,0.6091,0.5957,0.4915,0.08106994029334431
429407178,10.9408,10.6855,12.8976,0.3361,0.3319,0.2556,0.058176383157876974
429407183,16.6426,16.4907,15.0826,0.0569,0.0547,0.0203,0.06190178642991358
429407196,14.579,14.4361,11.5054,0.0266,0.0265,0.0117,0.10559216905199818
429407197,14.5633,14.4222,11.4833,0.0264,0.0257,0.0116,0.10648688664370398
429407198,14.5665,14.3652,10.9806,0.0586,0.0575,0.0116,0.10648688664370398
429407199,13.4109,13.2006,10.5519,0.0771,0.0659,0.0121,0.1021587506273488
429407200,14.2982,14.2178,10.9593,0.0553,0.0509,0.0117,0.10559216905199818
429407201,13.1588,13.1428,10.0849,0.0557,0.0541,0.0112,0.11022268844923072
429407219,9.9959,10.2634,16.715,0.0876,0.0895,0.119,0.037285925215612664
429407228,15.8078,15.576,14.6014,1.1962,1.1798,0.7771,0.07221810771057427
429407236,10.8017,12.2227,24.6862,0.0673,0.0749,0.2202,0.06190178642991358
429407237,11.3833,12.8405,24.7709,0.1379,0.1526,0.3386,0.07479714303071543
429407266,10.1653,11.2786,16.092,0.4111,0.4705,0.547,0.06981099120988524
429407267,8.6553,9.4103,13.4686,0.1227,0.1336,0.1417,0.06251769380643689
429407268,9.5925,10.4474,13.8615,0.1504,0.1663,0.1656,0.07139750161301212
429407269,8.542,9.3173,12.7665,0.125,0.1376,0.1376,0.07180546030797123
429407275,12.7136,12.5296,13.8275,0.0125,0.0118,0.012,0.10471236017896915
429407279,14.2178,14.0072,15.876,0.0085,0.0079,0.0138,0.09447856694680049
429407280,14.3138,14.1172,15.6234,0.0098,0.0092,0.0128,0.1038470904936626
429407281,13.5027,13.3247,14.7669,0.0153,0.0134,0.0127,0.10739689511380088
429407282,13.7945,13.604,15.0249,0.0183,0.0155,0.0144,0.10739689511380088
429407283,14.0079,13.8554,15.3442,0.0147,0.0118,0.0142,0.1038470904936626
429407284,14.8607,14.7486,16.0527,0.0151,0.0123,0.0145,0.10299600257653854
429407285,14.6378,14.5624,15.7921,0.0154,0.0139,0.0145,0.10471236017896915
