detection_id,B,G,R,nB,nG,nR,Compactness
429273855,9.7958,9.6148,13.49,0.0565,0.0521,0.0765,0.1021587506273488
429273857,10.9672,10.7428,14.9997,0.0763,0.0713,0.1008,0.09447856694680049
429273859,6.6609,6.5802,13.8022,0.0,0.0,0.0148,0.08377203058083679
429273863,6.1427,6.4101,13.068,0.7466,0.7951,1.2138,0.08606693785815557
429273865,11.5011,10.9563,16.5743,0.2086,0.1957,0.2579,0.0937735836449438
429273869,9.7873,9.4721,19.0301,0.425,0.4188,0.6484,0.06981099120988524
429273870,19.4373,17.5579,26.3005,0.4349,0.39,0.5108,0.06904388481989716
429273874,16.4643,15.64,28.1351,0.6866,0.6772,0.9675,0.04424723137071616
429273878,8.9757,7.8667,14.7268,0.1288,0.1089,0.1589,0.07139750161301212
429273879,22.5161,19.8686,31.6163,0.3029,0.2573,0.3613,0.0502646717369248
429273881,19.7395,17.5289,27.363,0.3513,0.3058,0.4112,0.06100034753906654
429273883,14.5224,12.7079,23.1663,0.6895,0.6021,0.944,0.09040079679516942
429273938,13.7477,12.9252,18.4832,0.3854,0.3584,0.4321,0.08548150399146558
429273939,12.8978,12.1575,17.3828,0.3064,0.2844,0.3461,0.09040079679516942
429273940,13.0804,12.5646,17.585,0.2807,0.2652,0.3235,0.09740778003073822
429273941,14.4605,13.7586,19.4274,0.3669,0.3451,0.4231,0.09040079679516942
429273942,14.5156,13.7416,19.6218,0.4334,0.4045,0.4996,0.08975514439115811
429273943,19.9469,18.73,26.4928,0.4767,0.4499,0.5616,0.07435458803139107
429273944,12.5101,12.3718,22.6338,0.4626,0.4709,0.6723,0.07221810771057427
429273945,20.872,19.2084,27.7009,0.5865,0.5364,0.6796,0.07059533429497317
429273946,12.7426,12.7753,23.0662,0.3595,0.3755,0.5483,0.07099415216660818
429273948,12.8025,12.8276,22.494,0.2834,0.29,0.4122,0.07569824722699373
429273949,16.9973,15.8366,23.4118,0.2818,0.2552,0.336,0.08321729873508964
429273961,18.665,17.7783,28.2893,0.4509,0.4264,0.5803,0.05560231145909046
429273976,18.4494,18.09,26.2578,0.7267,0.7147,0.8952,0.06719790044098876
429273978,17.7741,16.3397,21.9365,0.3598,0.326,0.3936,0.09740778003073822
429273981,20.2084,18.5538,24.7993,0.5146,0.4682,0.5573,0.08911864874469005
429273982,19.1303,17.5255,24.0613,0.6921,0.6261,0.7518,0.08321729873508964
429273983,19.6392,17.9303,24.4649,0.7056,0.6374,0.7617,0.08490398027194407
429273985,17.3056,15.8446,21.616,0.6607,0.5971,0.7109,0.09519422993221213
429273986,17.0433,15.5965,21.3024,0.6402,0.578,0.6929,0.09665858053229819
429273990,18.7757,17.1167,23.5162,0.5852,0.5285,0.6402,0.09172037375316221
429273992,19.5496,17.9158,24.491,0.6267,0.5675,0.6821,0.08849111644335216
429273993,19.8741,18.2085,24.9061,0.7172,0.6516,0.7808,0.08787235948346774
429273994,23.5981,21.9052,30.1058,0.6929,0.6387,0.7868,0.07263552511680024
429273995,23.7531,22.0438,30.0192,0.7208,0.6611,0.8153,0.07615699026400004
429273997,25.1562,23.4148,31.2594,0.6206,0.5766,0.7043,0.08003728818317192
429273998,24.6254,22.9148,30.59,0.6419,0.5936,0.7262,0.08055030487456037
429274003,23.5465,21.7789,28.4598,0.2674,0.2498,0.3037,0.08490398027194407
429274005,20.4846,18.9808,24.958,0.1856,0.1728,0.2117,0.09105580497377844
429274042,18.5583,18.0428,26.5304,0.9966,0.9668,1.2366,0.07662132709270902
429274043,22.3205,21.7927,31.5485,0.9933,0.9648,1.2415,0.07348500463068167
429274044,20.3954,19.8317,29.2888,0.9798,0.9529,1.2284,0.07099415216660818
429274045,19.9042,19.3125,28.2494,0.8534,0.8242,1.061,0.07391723900466864
429274046,14.9358,14.6127,22.3941,0.5323,0.5128,0.7096,0.09816868357674101
429274047,15.5116,15.3116,23.2926,0.5801,0.5652,0.7721,0.09172037375316221
429274048,17.4762,17.2067,25.763,0.5831,0.5685,0.7708,0.09447856694680049
429274050,16.738,16.4462,24.6701,0.7883,0.7746,1.0246,0.09447856694680049
429274052,13.9304,13.5945,21.0924,0.7344,0.7175,0.9533,0.09172037375316221
429274062,14.4873,12.6066,14.9744,0.101,0.0705,0.0535,0.056098740702361524
429274067,13.3014,12.1115,13.244,0.1144,0.1022,0.0665,0.07180546030797123
429274073,11.3583,10.6227,15.9047,0.2224,0.2132,0.2707,0.09972671719555438
429274083,12.5842,13.0997,21.5313,0.1414,0.145,0.1989,0.050670018704328156
429274085,14.4039,14.8708,23.3249,0.2036,0.2057,0.2697,0.05235896091135454
429274086,39.6653,39.1529,58.4063,1.1418,1.1223,1.5601,0.05279893651282317
429274091,11.4771,11.9121,20.8629,0.2017,0.2079,0.2745,0.04536536335524013
429274102,27.1299,26.3531,41.5269,0.8444,0.823,1.1422,0.05370144932732833
429274103,9.7896,9.7724,17.4582,0.1425,0.1425,0.1944,0.0539319190680174
429274104,9.2961,9.3071,16.4102,0.1238,0.1244,0.17,0.058176383157876974
429274105,26.1492,25.702,40.6761,0.8081,0.7892,1.1079,0.05511459098459456
429274108,8.1262,8.2693,13.9343,0.2025,0.2055,0.2571,0.06942531913488556
429274109,18.1895,17.7227,24.9437,0.2285,0.224,0.3005,0.08266986501266944
429274111,17.0449,16.2696,23.4135,0.3312,0.3183,0.4185,0.09105580497377844
429274112,7.4178,8.1719,14.7931,0.4694,0.5231,0.7376,0.08726219508235135
429274113,18.1012,17.5035,25.4044,0.3634,0.35,0.4615,0.08490398027194407
429274114,9.729,9.7657,14.4043,0.1525,0.1524,0.1952,0.08849111644335216
429274115,7.3067,7.8784,14.1088,0.2099,0.2468,0.3376,0.09239471398211957
429274116,16.1843,15.7167,22.055,0.3395,0.334,0.4188,0.09740778003073822
429274117,10.5562,10.4057,14.6347,0.2419,0.238,0.2758,0.09665858053229819
429274118,6.7111,7.3377,13.4701,0.1962,0.2345,0.3299,0.09239471398211957
429274119,17.6148,17.0396,24.5582,0.4203,0.4088,0.5274,0.08849111644335216
429274120,16.2404,15.9444,21.9633,0.4786,0.4738,0.565,0.08003728818317192
429274121,20.3251,20.0362,29.1213,0.2655,0.2584,0.3537,0.07615699026400004
429274122,13.9577,13.654,19.3945,0.3763,0.366,0.4413,0.07853670966610296
429274123,14.0668,13.7994,21.1611,0.1379,0.1342,0.1897,0.08055030487456037
429274124,10.4488,10.2765,16.4393,0.1921,0.1878,0.2428,0.07020097205976435
429274126,23.6702,23.546,33.9221,0.3837,0.38,0.5043,0.06648685222060789
429274127,21.8615,21.661,30.695,0.3899,0.3817,0.4998,0.07479714303071543
429274145,6.5964,6.535,12.7686,0.0,0.0,0.0156,0.07953076456813789
429274153,8.2209,8.1153,15.1099,0.1029,0.1016,0.1507,0.07391723900466864
429274155,5.5924,5.4462,10.5737,0.0,0.0,0.0127,0.09740778003073822
429274159,13.2262,11.934,17.4285,0.3065,0.2693,0.3434,0.09816868357674101
429274162,17.1742,15.3167,22.7674,0.34,0.299,0.3918,0.077091360650504
429274164,11.0194,9.7253,15.978,0.2175,0.1887,0.2645,0.08433420746488306
429274165,9.6421,9.57,13.5592,0.0487,0.0473,0.0805,0.10052442674077641
429274166,11.0432,10.8963,15.0161,0.0401,0.0393,0.0643,0.09816868357674101
429274168,13.4491,13.3308,18.2629,0.1909,0.1899,0.2284,0.08548150399146558
429274170,15.9245,15.6495,21.634,0.2774,0.2687,0.3227,0.07099415216660818
429274171,10.5614,10.4793,18.8078,0.1578,0.1556,0.2407,0.07756719641593564
429274172,15.2946,15.063,20.4976,0.3305,0.3295,0.3845,0.08212958633865283
429274173,9.5347,9.3102,16.7802,0.1753,0.1716,0.2813,0.08266986501266944
429274174,13.1582,12.998,18.0218,0.3921,0.3909,0.4547,0.08666044549832956
429274175,12.1734,11.9685,21.7997,0.1945,0.1917,0.3028,0.05439884443645084
429274176,21.5741,20.5742,29.7138,0.5614,0.5403,0.656,0.050875153686925724
