detection_id,B,G,R,nB,nG,nR,Compactness
432375879,11.7879,12.8978,20.6772,0.2148,0.2398,0.3527,0.07020097205976435
432375883,13.7172,15.1731,23.1273,0.1905,0.2219,0.2971,0.06829345312829196
432375885,12.6101,14.717,26.5449,0.2514,0.3114,0.4655,0.04759920052280796
432375895,15.8618,17.8675,27.732,0.2489,0.2911,0.4125,0.05790830079919458
432375897,16.4013,19.1852,29.5391,0.2313,0.2896,0.4153,0.05279893651282317
432375901,12.5114,14.3011,23.9,0.1758,0.2061,0.3175,0.05463535211139932
432375910,10.172,11.3883,20.3366,0.1784,0.1993,0.3237,0.06477336728387235
432375911,8.822,12.3668,24.5065,0.0961,0.1628,0.281,0.05535737701133239
432375914,12.7346,13.9146,22.6658,0.172,0.1945,0.283,0.06190178642991358
432375920,13.459,15.402,24.9724,0.2489,0.2971,0.4004,0.049668666921834095
432375921,12.6134,14.5195,23.0768,0.2038,0.2572,0.3455,0.06012478543760053
432375922,13.665,15.4643,24.6207,0.2234,0.2686,0.3725,0.05369338093502542
432375923,13.897,17.0761,26.5578,0.1772,0.2327,0.3448,0.05584942297118333
432375926,17.1238,19.5305,29.1887,0.2665,0.3177,0.4309,0.05635029433027713
432375927,9.4813,10.4201,16.538,0.1404,0.1506,0.2089,0.09816868357674101
432375928,9.7481,11.4104,17.9522,0.1157,0.1461,0.2204,0.08849111644335216
432375929,9.9711,10.422,16.6636,0.1436,0.1556,0.2137,0.09592081711552267
432375930,9.6203,10.812,17.7346,0.1372,0.1593,0.2235,0.08055030487456037
432375932,12.5481,13.6901,22.0388,0.1814,0.2103,0.3043,0.06477336728387235
432375934,9.2391,10.0765,17.3495,0.1434,0.164,0.2247,0.06829345312829196
432375939,8.2194,8.6662,14.8367,0.1888,0.1809,0.2706,0.09307904275505513
432375943,9.5763,10.9021,18.4205,0.1702,0.2012,0.2959,0.07139750161301212
432375945,12.1808,13.7527,21.26,0.1609,0.1894,0.2796,0.07305779571290515
432375952,8.224,8.9683,15.8726,0.0975,0.1096,0.1537,0.05279893651282317
432375956,10.7364,11.6677,20.026,0.1504,0.1658,0.2361,0.05487392523583279
432375959,6.3273,7.5,15.2696,0.1337,0.1624,0.2369,0.0595549083537657
432375960,15.8642,17.41,23.5894,0.2133,0.2524,0.3214,0.09239471398211957
432375961,16.8356,18.8508,27.8761,0.218,0.2576,0.359,0.07615699026400004
432375962,12.9773,14.7154,21.6937,0.1958,0.229,0.3081,0.08106994029334431
432375965,12.4017,20.9387,33.4226,0.2275,0.5141,0.7504,0.05686023067241032
432375966,18.0305,20.2227,28.3818,0.2201,0.2728,0.347,0.05983849013957345
432375968,17.6817,18.9227,26.4104,0.2505,0.2768,0.3539,0.06510896233025722
432375969,2.2794,5.7788,15.8125,0.0179,0.1005,0.2147,0.08055030487456037
432375970,2.7166,6.7107,17.217,0.0113,0.0755,0.1785,0.07569824722699373
