detection_id,B,G,R,nB,nG,nR,Compactness
429313307,8.4885,7.2144,6.7403,0.1061,0.0912,0.0495,0.11119795425652645
429313309,9.1623,7.6221,7.3684,0.1029,0.0889,0.0513,0.10299600257653854
429313314,8.1871,7.0599,7.4357,0.0974,0.0829,0.0591,0.11219063124580061
429313315,8.4485,7.2637,7.7328,0.1238,0.1086,0.0784,0.10832258979485408
429313316,7.1204,6.3606,7.6008,0.1219,0.1079,0.0838,0.10739689511380088
429313318,7.028,6.4658,7.4012,0.0573,0.051,0.0433,0.09894156757337469
429313323,4.5054,3.6824,5.66,0.0163,0.014,0.0202,0.10471236017896915
429313324,4.1973,3.6475,5.4793,0.0073,0.0066,0.0155,0.10471236017896915
429313330,12.1183,11.0742,10.3813,0.1075,0.0999,0.0649,0.07263552511680024
429313331,11.1563,9.9249,9.9038,0.1232,0.1097,0.0663,0.08377203058083679
429313332,12.6875,11.765,10.3093,0.1177,0.1131,0.0819,0.07479714303071543
429313334,8.0454,7.2304,6.9819,0.0701,0.064,0.0385,0.09040079679516942
429313335,7.6083,6.5066,6.6076,0.1123,0.0949,0.0509,0.09307904275505513
429313336,7.5557,7.2913,7.0721,0.1358,0.1273,0.0848,0.10559216905199818
429313339,7.868,6.9084,6.5253,0.0701,0.065,0.0364,0.10926437976474195
429313340,8.0085,6.9026,6.7886,0.0767,0.0698,0.0431,0.10832258979485408
429313341,8.2756,7.2307,6.9737,0.0936,0.0881,0.0441,0.10739689511380088
429313425,36.0891,36.4113,33.53,0.7038,0.7103,0.5464,0.0539319190680174
429313426,30.6691,30.0741,26.3093,1.1845,1.1713,0.8027,0.0589957324588329
429313427,30.8942,29.9137,26.3296,1.0199,0.9909,0.6789,0.0589957324588329
429313432,11.3631,11.3245,11.3534,0.354,0.3543,0.2526,0.0937735836449438
429313434,10.2457,8.7082,9.0614,0.051,0.0462,0.0387,0.07305779571290515
429313435,11.5661,9.9683,9.9609,0.0845,0.0741,0.0613,0.06942531913488556
429313436,14.1652,11.9797,13.3166,0.1158,0.102,0.0786,0.06283026644890574
429313437,15.4042,12.9187,14.9917,0.154,0.1375,0.0969,0.06129789587454133
429313441,23.9285,19.4965,28.6543,0.3743,0.3002,0.4272,0.05279893651282317
429313442,24.5907,20.0598,29.7282,0.3471,0.279,0.3946,0.05279893651282317
429313443,23.7399,19.4445,29.4594,0.3137,0.2638,0.3398,0.05511459098459456
429313444,25.1974,20.8132,30.681,0.3485,0.2899,0.4012,0.05487392523583279
429313445,25.3596,21.6729,28.2329,0.3606,0.294,0.3576,0.05487392523583279
429313446,25.2484,21.7125,27.5665,0.5097,0.4134,0.4609,0.0541643755046309
429313447,25.3252,21.6049,26.928,0.442,0.3611,0.4182,0.05235896091135454
429313498,26.1541,22.7736,26.3438,0.4321,0.3531,0.4134,0.051500646728563054
429313499,27.6251,24.1166,26.0526,0.361,0.2937,0.3223,0.05006442052760694
429313500,28.3212,24.9505,25.985,0.4259,0.349,0.3706,0.048146301614186766
429313501,24.2952,24.476,20.3378,0.7052,0.7225,0.3879,0.05108195634991484
429313502,22.6814,22.7399,19.196,0.5789,0.5825,0.3439,0.05347294092237722
429313506,16.6335,16.0668,15.0126,0.3357,0.3296,0.1849,0.056098740702361524
429313507,13.7327,12.4303,13.3538,0.4099,0.3567,0.305,0.08055030487456037
429313508,10.3194,9.735,10.4742,0.2672,0.2516,0.1993,0.0815963233535219
429313509,11.1795,10.5941,10.6536,0.3503,0.3407,0.2242,0.07435458803139107
429313510,10.3881,9.9458,9.8292,0.3001,0.2888,0.195,0.07903061153879146
429313511,11.3241,10.9576,10.5767,0.2633,0.2585,0.1652,0.07099415216660818
429313512,11.4429,11.0057,10.5829,0.3325,0.326,0.1998,0.06904388481989716
429313513,12.5109,11.7998,11.3636,0.3489,0.3341,0.1927,0.0675591583065621
429313514,12.9333,12.2313,11.9002,0.2712,0.2494,0.1756,0.06314598028335774
429313515,12.8495,12.1493,12.2127,0.2764,0.2507,0.1845,0.0595549083537657
429313517,12.1952,11.4821,11.1373,0.2029,0.196,0.1018,0.058176383157876974
429313518,9.3186,8.8543,8.9062,0.0981,0.096,0.057,0.06510896233025722
429313519,9.1987,8.6643,8.7583,0.1384,0.1359,0.0671,0.06684048540909966
429313520,9.3022,8.7773,8.3444,0.1309,0.1282,0.0615,0.06648685222060789
429313521,9.5678,9.0586,8.2479,0.154,0.1502,0.0762,0.06792432131461863
429313525,12.7331,11.9375,10.4827,0.1641,0.1604,0.0769,0.06041383338136221
429313528,13.8806,12.425,13.116,0.2587,0.2349,0.1321,0.05737948033237819
429313531,17.456,15.586,16.219,0.2759,0.2524,0.1508,0.05108195634991484
429313541,12.6328,11.5679,13.1906,0.2396,0.2129,0.1925,0.077091360650504
429313543,7.954,7.6517,8.4676,0.1374,0.1255,0.1028,0.09172037375316221
429313545,8.7239,8.3115,8.8248,0.1137,0.1042,0.0726,0.09105580497377844
429313546,8.7888,8.3286,8.931,0.1026,0.0971,0.0669,0.08548150399146558
429313547,9.4997,8.9413,9.5834,0.1184,0.1132,0.0779,0.08266986501266944
429313598,9.8381,9.1929,10.3329,0.2032,0.1823,0.1331,0.07391723900466864
429313599,8.4423,8.0727,9.1938,0.1799,0.1693,0.1248,0.09665858053229819
429313600,9.3427,8.6335,10.3223,0.1579,0.1377,0.1241,0.10133499999681532
429313601,11.6314,10.7884,12.6971,0.214,0.1916,0.1737,0.0752449975094086
429313602,12.3714,11.699,12.7532,0.2472,0.2314,0.1651,0.07804894248762141
