detection_id,B,G,R,nB,nG,nR,Compactness
432687919,5.6076,5.7782,10.1186,0.0238,0.0238,0.0401,0.07433293693353699
432687925,9.9951,10.4658,14.3063,0.0448,0.0448,0.0583,0.0937735836449438
432687927,5.2291,5.3162,8.7352,0.0443,0.0464,0.0623,0.09740778003073822
432687928,3.2542,3.7159,5.2541,0.023,0.0263,0.0328,0.20262892686416292
432687929,4.2241,4.7779,6.5127,0.0247,0.0309,0.0376,0.1794818739290955
432687930,3.7714,4.2942,5.7903,0.0238,0.0275,0.0335,0.2093793437612272
432687938,4.6428,5.6054,9.1589,0.0751,0.0886,0.11,0.10052442674077641
432687939,3.1271,3.7074,6.3235,0.1012,0.1221,0.1368,0.12953615542145414
432687945,2.8995,2.9831,4.0576,0.0,0.0,0.0057,0.2129260181386661
432687946,3.8499,3.9898,5.068,0.0,0.0,0.0062,0.1963000700655754
432687947,6.049,5.9012,8.2384,0.0267,0.0265,0.0348,0.15137953892966877
432687948,8.2244,8.0287,10.7613,0.0362,0.0362,0.0455,0.13226261511265314
432687953,3.5274,4.1205,7.7452,0.1549,0.1779,0.2185,0.11119795425652645
432687954,3.3028,3.8926,7.256,0.1366,0.1699,0.224,0.1351063003197879
432687959,3.7522,3.8371,4.9946,0.0957,0.0982,0.0876,0.17695501477362918
432687962,5.8649,5.6941,6.6347,0.0583,0.0562,0.054,0.1963000700655754
432687963,5.7781,5.6091,6.6169,0.039,0.0369,0.0386,0.19941430995731257
432687964,6.1007,5.9449,6.9123,0.0402,0.0389,0.04,0.19941430995731257
432687965,6.1399,5.9659,6.9302,0.0406,0.039,0.0395,0.19941430995731257
432688004,8.1118,7.9819,9.6526,0.0389,0.0385,0.0459,0.1396087127968195
432688006,32.5671,30.4892,33.8485,0.8914,0.8153,0.7551,0.0406674373693737
432688010,11.3929,13.3004,18.4102,0.2272,0.2957,0.3935,0.09665858053229819
432688026,6.5474,8.0819,12.9426,0.0789,0.0917,0.117,0.077091360650504
432688032,4.2276,4.1738,7.8156,0.1194,0.1178,0.184,0.1794818739290955
432688036,3.5937,3.9386,9.8888,0.1495,0.1578,0.2974,0.10471236017896915
432688039,3.5452,5.4665,15.5569,0.0496,0.0569,0.1096,0.08321729873508964
432688041,1.0834,1.2745,3.8204,0.0155,0.0185,0.0392,0.2129260181386661
432688042,1.1695,1.7142,5.3145,0.0059,0.0072,0.0173,0.14781870195462177
432688043,3.0641,3.3937,6.2182,0.3144,0.3512,0.456,0.15705446369492315
432688046,40.9195,43.362,54.8177,0.402,0.4162,0.5557,0.06477336728387235
432688047,17.5433,16.693,18.0874,0.1118,0.1057,0.1027,0.11527791973048969
432688048,12.0345,12.1321,14.1294,0.2664,0.2705,0.2443,0.10471236017896915
432688049,13.9331,15.9356,19.8367,0.2375,0.2792,0.3045,0.08055030487456037
432688056,12.2203,12.6285,13.1698,0.0771,0.0809,0.0653,0.09894156757337469
432688057,10.6593,10.8004,12.3379,0.0374,0.04,0.0335,0.09972671719555438
432688060,4.8539,5.5718,9.8667,0.0012,0.0014,0.0134,0.10559216905199818
432688061,19.0246,19.7064,24.7772,0.0874,0.0875,0.1044,0.07569824722699373
432688064,4.9742,4.8013,4.8066,0.0726,0.0702,0.0485,0.19941430995731257
432688065,5.6492,5.4165,5.4174,0.1417,0.1341,0.0934,0.1794818739290955
432688066,4.1018,3.8904,4.2987,0.0609,0.0576,0.0444,0.2093793437612272
432688067,3.9608,3.8586,4.2643,0.1137,0.1101,0.0831,0.2129260181386661
