detection_id,B,G,R,nB,nG,nR,Compactness
430237021,19.8637,35.8381,42.4173,0.1784,0.2875,0.3304,0.06719790044098876
430237023,22.7332,40.2187,48.0086,0.3551,0.5673,0.6464,0.0595549083537657
430237028,16.8692,25.5235,32.0219,0.2885,0.4295,0.4897,0.0661369411690469
430237030,23.5704,39.8787,46.3706,0.4902,0.8491,0.9063,0.06251769380643689
430237041,23.8267,40.0641,47.6427,0.3762,0.6434,0.7186,0.06314598028335774
430237047,10.4889,17.6461,23.4235,0.1699,0.2066,0.2523,0.06544805286939072
430237049,10.3627,15.4249,19.441,0.1857,0.2628,0.3031,0.10133499999681532
430237051,11.7682,18.8233,23.0359,0.2859,0.5083,0.5598,0.09740778003073822
430237053,13.5898,22.499,27.0949,0.2367,0.4713,0.5163,0.09105580497377844
430237054,25.4947,24.5492,15.8641,0.5937,0.5684,0.2566,0.08106994029334431
430237055,21.3536,20.095,14.0442,0.3878,0.3689,0.1599,0.08321729873508964
430237056,13.0463,21.8471,26.789,0.3477,0.5402,0.5978,0.08548150399146558
430237063,9.4915,15.3252,19.1733,0.3364,0.4891,0.5286,0.10559216905199818
430237064,11.8266,11.5462,8.7036,0.2274,0.2236,0.0958,0.11219063124580061
430237066,14.6896,14.1902,10.5385,0.2489,0.2411,0.1153,0.10471236017896915
430237068,17.1865,16.9189,11.889,0.3138,0.3115,0.1336,0.09307904275505513
430237069,13.5386,22.7895,28.1205,0.8398,1.4922,1.624,0.08666044549832956
430237070,26.4155,26.0026,18.5844,0.7637,0.753,0.375,0.06012478543760053
430237071,20.4719,35.6933,43.9584,0.8808,1.6633,1.8431,0.06129789587454133
430237072,32.8963,32.4395,25.5754,1.2304,1.2163,0.7215,0.05560231145909046
430237073,14.8229,26.4374,31.9799,0.6928,1.1643,1.2503,0.07804894248762141
430237074,17.57,17.1472,14.8209,0.4112,0.409,0.268,0.07479714303071543
430237075,12.4292,17.6927,26.398,0.2638,0.3394,0.4321,0.050258067332748256
430237076,18.5105,18.2668,15.773,0.6467,0.6423,0.4049,0.0752449975094086
430237077,10.7261,19.549,23.854,0.2885,0.5337,0.563,0.08433420746488306
430237079,8.8532,16.3453,20.3973,0.2866,0.5517,0.593,0.09447856694680049
430237081,10.4704,18.6783,24.6166,0.198,0.3769,0.4349,0.07099415216660818
430237082,10.1684,9.8149,13.5783,0.2267,0.2189,0.2152,0.07569824722699373
430237083,16.6641,26.6935,35.066,0.4168,0.6579,0.7668,0.05790830079919458
430237084,18.5516,28.1955,35.2013,0.547,0.8267,0.9351,0.07348500463068167
430237085,20.5504,20.2604,25.2615,0.6239,0.6131,0.5923,0.057118675464029094
430237086,14.2611,13.853,16.2281,0.464,0.4474,0.3956,0.08490398027194407
430237088,24.8052,24.707,28.5581,0.517,0.5205,0.4962,0.06251769380643689
430237089,21.2805,21.0892,24.2827,0.6425,0.6298,0.6018,0.06510896233025722
430237090,27.4306,27.4277,30.8056,0.5418,0.5367,0.519,0.0607056738604871
430237091,27.4695,27.4853,28.2894,0.547,0.5506,0.4886,0.07099415216660818
430237092,26.5,26.3672,26.3794,0.5611,0.5576,0.442,0.07221810771057427
430237093,25.9073,25.6712,21.0186,0.5102,0.5063,0.2744,0.07221810771057427
430237094,25.2443,24.5837,19.0312,0.3686,0.359,0.1996,0.07804894248762141
430237118,11.2127,10.9198,12.5698,0.4921,0.4864,0.4153,0.09172037375316221
430237119,22.9845,22.6096,18.9137,0.6565,0.6428,0.4269,0.08433420746488306
430237120,10.0792,10.0717,12.3446,0.3627,0.3547,0.3089,0.08321729873508964
430237121,16.1078,15.7179,12.2635,0.5902,0.572,0.3112,0.0937735836449438
430237122,7.9102,7.76,10.5552,0.2441,0.2402,0.2099,0.07756719641593564
430237123,12.6951,12.4315,10.6202,0.3017,0.2957,0.1595,0.08003728818317192
430237124,7.3997,7.1856,9.5929,0.2321,0.2233,0.1971,0.09172037375316221
430237125,12.739,12.3827,9.9035,0.2228,0.2143,0.108,0.0937735836449438
430237131,20.7797,20.4316,23.9348,0.8226,0.7866,0.6214,0.0406674373693737
430237135,16.6176,16.2017,12.9762,0.3918,0.3822,0.2043,0.06510896233025722
430237136,7.5425,7.8446,14.5218,0.0466,0.0508,0.0816,0.06283026644890574
430237137,23.3363,22.2516,22.5491,0.3138,0.2848,0.2172,0.05046653131091824
430237138,29.7595,30.6915,31.7111,0.7853,0.8202,0.7208,0.06012478543760053
430237142,17.6048,17.7279,18.146,0.2355,0.2367,0.2024,0.08787235948346774
430237145,19.8843,20.188,33.5002,0.0995,0.1056,0.1781,0.026623546543464972
430237151,36.6536,37.358,21.6035,0.4001,0.4036,0.1898,0.05844695914181379
430237155,21.4072,22.4066,24.6959,0.693,0.7277,0.6923,0.07804894248762141
430237176,13.8,12.9549,13.1863,0.1051,0.0912,0.0619,0.10052442674077641
430237195,32.0448,29.9709,29.7908,0.1884,0.1761,0.1198,0.05370144932732833
430237196,43.3713,40.7848,34.1042,1.2684,1.1736,0.7997,0.05302170881884524
430237203,31.6458,29.8974,27.6096,0.2152,0.1974,0.0982,0.05487392523583279
430237206,37.5201,35.7621,28.974,1.1297,1.0411,0.7948,0.06041383338136221
430237217,42.6011,38.988,39.9441,0.1786,0.1769,0.1974,0.056098740702361524
430237222,22.4723,22.0869,20.5868,0.1549,0.1519,0.1272,0.07756719641593564
430237223,27.7171,26.2293,28.2521,0.1346,0.1333,0.1427,0.0539319190680174
430237232,35.5143,35.1393,32.6623,0.1796,0.1728,0.1761,0.06411244968272661
430237233,17.3307,15.9633,15.3961,0.2282,0.1996,0.1439,0.08266986501266944
430237280,34.7917,37.3192,35.0462,0.6251,0.665,0.4917,0.05844695914181379
430237282,54.1864,55.8939,46.4348,1.1073,1.2026,0.9068,0.06283026644890574
430237284,51.3853,53.1304,43.2035,1.1772,1.2449,0.9134,0.06283026644890574
430237286,47.6509,49.2417,40.4149,0.9474,1.026,0.7516,0.06283026644890574
430237288,43.2357,44.9099,38.4206,1.0436,1.1167,0.8321,0.06477336728387235
430237290,38.3838,40.2603,35.2037,1.185,1.2871,0.989,0.07263552511680024
430237292,34.6774,36.5607,32.8314,0.8938,0.9588,0.7346,0.07221810771057427
430237294,31.0615,33.633,30.7547,0.7623,0.8568,0.6526,0.06579069379816853
430237296,23.6701,25.7099,24.1507,0.6062,0.6842,0.5083,0.06942531913488556
430237298,28.4922,31.1302,29.1695,0.7605,0.8909,0.7211,0.06544805286939072
430237300,29.6922,30.8966,28.4479,0.7655,0.8035,0.5839,0.0661369411690469
430237302,22.881,24.1986,23.19,0.8739,0.9128,0.6964,0.08003728818317192
430237304,25.1486,26.4129,25.5459,0.637,0.6821,0.5359,0.07139750161301212
430237305,20.625,22.2224,22.2131,0.4479,0.5039,0.3777,0.0607056738604871
430237306,16.866,18.6769,19.8504,0.2627,0.3202,0.2663,0.07180546030797123
430237307,17.6697,19.1452,18.4488,0.3192,0.36,0.2586,0.07479714303071543
430237308,14.9945,15.8961,16.3487,0.1865,0.2052,0.1644,0.08975514439115811
430237309,15.6837,16.5932,17.3675,0.2221,0.2391,0.1793,0.07435458803139107
430237310,15.5586,16.5668,17.73,0.188,0.2124,0.1756,0.07756719641593564
430237311,12.8159,13.8167,14.352,0.1135,0.1196,0.0928,0.09592081711552267
430237312,18.6071,19.8967,20.3175,0.3966,0.4424,0.3672,0.08433420746488306
430237313,10.1169,9.1036,12.4552,0.0635,0.0548,0.0734,0.08606693785815557
430237314,20.9078,22.6103,21.988,0.28,0.3005,0.242,0.077091360650504
430237315,9.2867,8.4659,11.2293,0.1164,0.105,0.1157,0.09519422993221213
430237316,16.1087,17.6954,17.9121,0.1756,0.1899,0.1555,0.0770671947833746
430237317,18.2513,21.5631,21.6186,0.4465,0.5456,0.4644,0.09105580497377844
430237318,7.4109,6.7437,10.0117,0.2209,0.1966,0.198,0.08212958633865283
430237319,14.9014,16.0924,17.055,0.1824,0.1848,0.1576,0.08106994029334431
430237320,13.9114,15.7125,16.8056,0.2398,0.2859,0.2465,0.08606693785815557
430237321,7.0858,6.4786,9.6098,0.1212,0.1093,0.125,0.09172037375316221
430237324,9.5859,9.255,13.2801,0.1025,0.1049,0.1222,0.07221810771057427
430237325,14.4315,16.3545,17.8045,0.083,0.1032,0.0898,0.07804894248762141
430237326,9.8813,9.1701,11.7569,0.171,0.1622,0.1507,0.09239471398211957
430237327,20.5221,22.0219,22.3327,0.2627,0.2867,0.2405,0.08606693785815557
430237328,9.5766,8.8149,12.0071,0.0937,0.0888,0.0984,0.08787235948346774
430237329,14.2911,15.5987,16.741,0.1255,0.1432,0.1234,0.10052442674077641
430237330,7.006,6.3217,9.2817,0.0343,0.031,0.0433,0.09894156757337469
430237331,15.6516,16.1157,16.9758,0.1979,0.2097,0.1616,0.09816868357674101
430237332,10.6585,9.7317,12.4261,0.0907,0.0805,0.0936,0.09592081711552267
430237333,17.6914,17.9855,18.3932,0.1093,0.1134,0.0723,0.09040079679516942
430237334,11.3108,10.3284,13.4543,0.1494,0.1371,0.1421,0.07903061153879146
430237335,22.213,22.7163,22.6429,0.5157,0.5307,0.414,0.07903061153879146
430237336,13.0356,12.0097,15.1271,0.1539,0.1394,0.1474,0.07139750161301212
430237337,13.2176,12.2371,15.8164,0.2588,0.2374,0.234,0.06544805286939072
430237338,12.7216,11.7799,15.2476,0.2465,0.2237,0.2308,0.06719790044098876
430237339,11.9871,11.1668,14.3253,0.3178,0.2904,0.2774,0.06684048540909966
430237340,10.9661,10.2648,12.9709,0.2474,0.2263,0.2108,0.07305779571290515
430237341,10.7702,10.123,12.5122,0.3046,0.2807,0.2602,0.07903061153879146
430237342,9.3644,8.6944,11.0725,0.2979,0.2752,0.2461,0.08433420746488306
430237343,8.688,8.1245,10.5119,0.3254,0.3046,0.2678,0.08490398027194407
430237344,8.255,7.7004,10.1367,0.362,0.3376,0.2941,0.08606693785815557
430237345,12.7164,12.7199,12.4429,0.1158,0.1161,0.0592,0.10832258979485408
430237346,14.6049,14.6034,13.9527,0.1396,0.1398,0.0741,0.10133499999681532
430237347,13.5631,13.5872,12.8206,0.1161,0.117,0.0645,0.11219063124580061
430237348,16.2025,16.323,14.6396,0.1417,0.1442,0.0808,0.10648688664370398
430237350,9.7386,9.0551,9.8136,0.5671,0.5224,0.4021,0.11022268844923072
430237351,12.4147,11.5683,12.1625,0.8735,0.8076,0.6121,0.09447856694680049
430237352,11.2637,10.3645,11.5537,0.4415,0.4009,0.3152,0.08849111644335216
430237353,12.914,11.9645,13.838,0.4168,0.3769,0.2981,0.06684048540909966
