detection_id,B,G,R,nB,nG,nR,Compactness
28611605,7.1614,12.9253,13.2057,0.0,0.0,0.0208,0.05983849013957345
28611606,7.2381,13.0427,13.3707,0.0,0.0,0.0209,0.0595549083537657
28611607,7.2381,13.0427,13.3707,0.0,0.0,0.0209,0.0595549083537657
28611608,7.2381,13.0427,13.3707,0.0,0.0,0.0209,0.0595549083537657
28611609,7.2381,13.0427,13.3707,0.0,0.0,0.0209,0.0595549083537657
28611610,7.2381,13.0427,13.3707,0.0,0.0,0.0209,0.0595549083537657
28611611,7.2381,13.0427,13.3707,0.0,0.0,0.0209,0.0595549083537657
28611612,7.2055,12.8909,13.3746,0.0,0.0,0.0206,0.06041383338136221
28611613,7.201,12.8839,13.3726,0.0,0.0,0.0206,0.06041383338136221
28611614,7.201,12.8839,13.3726,0.0,0.0,0.0206,0.06041383338136221
28611615,7.201,12.8839,13.3726,0.0,0.0,0.0206,0.06041383338136221
28611616,7.201,12.8839,13.3726,0.0,0.0,0.0206,0.06041383338136221
28611617,7.1471,12.9431,13.262,0.0,0.0,0.0206,0.06041383338136221
28611618,7.1471,12.9431,13.262,0.0,0.0,0.0206,0.06041383338136221
28611619,7.1471,12.9431,13.262,0.0,0.0,0.0206,0.06041383338136221
28611620,7.1471,12.9431,13.262,0.0,0.0,0.0206,0.06041383338136221
28611621,7.1471,12.9431,13.262,0.0,0.0,0.0206,0.06041383338136221
28611622,7.1471,12.9431,13.262,0.0,0.0,0.0206,0.06041383338136221
28611623,7.1471,12.9431,13.262,0.0,0.0,0.0206,0.06041383338136221
28611624,7.1913,12.7348,13.1905,0.0,0.0,0.0206,0.06041383338136221
28611625,7.205,12.7444,13.2065,0.0,0.0,0.0206,0.06041383338136221
28611626,7.205,12.7444,13.2065,0.0,0.0,0.0206,0.06041383338136221
28611627,7.205,12.7444,13.2065,0.0,0.0,0.0206,0.06041383338136221
28611628,7.205,12.7444,13.2065,0.0,0.0,0.0206,0.06041383338136221
28611629,7.2616,12.7606,13.2634,0.0,0.0,0.0206,0.06041383338136221
28611630,7.2537,12.7527,13.2555,0.0,0.0,0.0206,0.06041383338136221
28611631,7.2688,12.7556,13.2683,0.0,0.0,0.0206,0.06041383338136221
28611632,7.2688,12.7556,13.2683,0.0,0.0,0.0206,0.06041383338136221
28611633,7.2688,12.7556,13.2683,0.0,0.0,0.0206,0.06041383338136221
28611634,7.2688,12.7556,13.2683,0.0,0.0,0.0206,0.06041383338136221
28611635,7.2688,12.7556,13.2683,0.0,0.0,0.0206,0.06041383338136221
28611636,7.2635,12.7494,13.2551,0.0,0.0,0.0206,0.06041383338136221
28611637,7.2753,12.7539,13.2672,0.0,0.0,0.0206,0.06041383338136221
28611638,7.2753,12.7539,13.2672,0.0,0.0,0.0206,0.06041383338136221
28611639,7.2753,12.7539,13.2672,0.0,0.0,0.0206,0.06041383338136221
28611640,7.2753,12.7539,13.2672,0.0,0.0,0.0206,0.06041383338136221
28611641,7.2616,12.7606,13.2634,0.0,0.0,0.0206,0.06041383338136221
28611642,7.2537,12.7527,13.2555,0.0,0.0,0.0206,0.06041383338136221
28611643,7.2688,12.7556,13.2683,0.0,0.0,0.0206,0.06041383338136221
28611644,7.2688,12.7556,13.2683,0.0,0.0,0.0206,0.06041383338136221
28611645,7.2688,12.7556,13.2683,0.0,0.0,0.0206,0.06041383338136221
28611646,7.2688,12.7556,13.2683,0.0,0.0,0.0206,0.06041383338136221
28611647,7.2688,12.7556,13.2683,0.0,0.0,0.0206,0.06041383338136221
28611648,7.2072,12.6332,13.1997,0.0,0.0,0.0203,0.06129789587454133
28611649,7.2148,12.6333,13.2048,0.0,0.0,0.0203,0.06129789587454133
28611650,7.2149,12.6334,13.2049,0.0,0.0,0.0203,0.06129789587454133
28611651,7.2149,12.6334,13.2049,0.0,0.0,0.0203,0.06129789587454133
28611652,7.2149,12.6334,13.2049,0.0,0.0,0.0203,0.06129789587454133
28611653,7.4439,12.6139,13.2832,0.0,0.0,0.0203,0.06129789587454133
28611654,7.4464,12.6219,13.2802,0.0,0.0,0.0203,0.06129789587454133
28611976,4.4237,13.5659,12.4196,0.0097,0.0247,0.0326,0.06719790044098876
28611977,4.3683,13.5571,12.4753,0.0231,0.0485,0.0513,0.06829345312829196
28611978,4.3934,13.5701,12.5007,0.0199,0.0419,0.0467,0.06829345312829196
28611979,4.5432,13.7201,12.801,0.0204,0.0421,0.0473,0.06829345312829196
28611980,4.5432,13.7201,12.801,0.0204,0.0421,0.0473,0.06829345312829196
28611981,4.5432,13.7201,12.801,0.0204,0.0421,0.0473,0.06829345312829196
28612031,4.3637,12.2111,13.0292,0.0241,0.0379,0.0508,0.06283026644890574
28612032,4.3626,12.2148,13.0262,0.0229,0.0346,0.048,0.06283026644890574
28612033,4.2843,11.9738,13.091,0.0224,0.0321,0.0459,0.06220821570931003
28612034,4.2324,11.8818,13.0841,0.0224,0.0321,0.0461,0.06159836113714365
28612038,12.2377,26.1317,19.9706,0.1594,0.4672,0.2281,0.05347294092237722
28612048,11.2867,23.1615,17.7003,0.5089,1.0706,0.5193,0.05347294092237722
28612049,11.0058,22.6342,17.1622,0.5031,1.061,0.514,0.0551058622496343
28612050,11.2867,23.1615,17.7003,0.5089,1.0706,0.5193,0.05347294092237722
28612051,11.2867,23.1615,17.7003,0.5089,1.0706,0.5193,0.05347294092237722
28612052,11.0895,23.0056,17.5227,0.4341,0.9406,0.4593,0.05347294092237722
28612053,11.2523,23.1459,17.6912,0.4447,0.9598,0.4702,0.05347294092237722
28612054,11.2523,23.1459,17.6912,0.4447,0.9598,0.4702,0.05347294092237722
28612055,11.2523,23.1459,17.6912,0.4447,0.9598,0.4702,0.05347294092237722
28612056,11.2523,23.1459,17.6912,0.4447,0.9598,0.4702,0.05347294092237722
28612057,11.291,23.1656,17.7144,0.4934,1.0361,0.5016,0.05347294092237722
28612058,11.2787,23.1457,17.7011,0.493,1.0352,0.5013,0.05347294092237722
28612059,11.2768,23.141,17.6924,0.51,1.0716,0.5195,0.05347294092237722
28612060,11.2768,23.141,17.6924,0.51,1.0716,0.5195,0.05347294092237722
28612061,10.9144,22.8189,17.5548,0.5024,1.0766,0.5256,0.05439884443645084
28612062,11.1333,23.3277,17.8416,0.507,1.092,0.5329,0.05439884443645084
28612063,11.1288,23.3134,17.8343,0.5061,1.0892,0.5315,0.05439884443645084
28612064,11.2561,23.0365,17.5084,0.5071,1.0537,0.511,0.05439884443645084
28612065,11.3747,23.0183,17.5225,0.4964,1.0301,0.5015,0.05439884443645084
28612066,11.3467,23.0259,17.5247,0.4859,1.0102,0.4908,0.05439884443645084
