detection_id,B,G,R,nB,nG,nR,Compactness
430562676,11.7914,11.8645,15.7259,0.0345,0.0346,0.0509,0.08266986501266944
430562680,12.0277,12.0982,15.5566,0.0843,0.0852,0.0834,0.08490398027194407
430562688,15.052,14.9783,18.1675,0.1103,0.1115,0.1063,0.08003728818317192
430562689,14.4501,14.4003,17.3701,0.129,0.1284,0.1176,0.08106994029334431
430562690,13.9296,13.8427,16.5691,0.1062,0.1042,0.0994,0.08212958633865283
430562691,13.9362,13.8356,16.5479,0.1087,0.1064,0.1018,0.08433420746488306
430562692,15.2966,15.1632,18.0552,0.1601,0.1582,0.1422,0.07953076456813789
430562693,15.6041,15.4714,18.2889,0.1999,0.1982,0.1787,0.07903061153879146
430562694,15.5569,15.4519,18.1763,0.1558,0.153,0.131,0.08003728818317192
430562696,16.023,15.6482,17.0034,0.1637,0.1448,0.0748,0.08377203058083679
430562697,19.5858,17.1384,9.2604,0.467,0.4213,0.2135,0.08212958633865283
430562700,25.4656,22.0745,11.4986,0.6142,0.5346,0.1998,0.06129789587454133
430562701,17.1615,15.3922,14.8188,0.2678,0.226,0.1292,0.0595549083537657
430562702,14.4017,14.3322,15.2995,0.1605,0.1552,0.0843,0.08055030487456037
430562705,20.5637,19.6859,18.5131,0.1531,0.1443,0.0924,0.06684048540909966
430562706,20.8222,20.5092,23.3755,0.8532,0.8451,0.8172,0.06648685222060789
430562715,13.2887,11.8806,11.3898,0.2861,0.2713,0.2476,0.0607056738604871
430562722,25.7246,24.5109,22.4973,0.2059,0.2013,0.1066,0.056098740702361524
430562723,25.8362,24.7033,22.4457,0.2099,0.2047,0.1152,0.05686023067241032
430562729,18.7276,17.7529,17.1159,0.184,0.1709,0.0986,0.06159836113714365
430562730,17.9534,17.055,16.9343,0.1781,0.1645,0.0956,0.058176383157876974
430562731,18.0918,17.1737,16.9902,0.1799,0.166,0.0949,0.05872006370526449
430562732,18.1466,17.2301,17.0336,0.1819,0.1689,0.0949,0.05790830079919458
430562733,18.1358,17.2066,16.9828,0.177,0.1635,0.0936,0.05872006370526449
430562740,12.8231,12.0847,12.5869,0.1439,0.1344,0.0789,0.07020097205976435
430562741,13.5443,12.7946,12.8819,0.169,0.1567,0.0943,0.07263552511680024
430562743,12.5953,12.0056,12.2699,0.1931,0.1817,0.1119,0.07263552511680024
430562744,10.8551,10.2377,10.7808,0.1254,0.1184,0.0727,0.08106994029334431
430562752,19.1111,6.7569,13.9317,0.3791,0.1133,0.1903,0.10926437976474195
430562753,18.9537,6.901,13.9643,0.3559,0.1224,0.1979,0.10739689511380088
430562755,32.7552,16.7987,25.3731,0.6791,0.3322,0.4075,0.07020097205976435
430562773,38.1014,29.8734,42.7072,0.3213,0.2552,0.338,0.06719790044098876
430562774,39.2352,30.8137,44.1532,0.3414,0.2706,0.3609,0.06346488289866778
430562796,33.0136,32.4801,42.6553,0.8246,0.7997,0.9061,0.0404059159192194
430562797,32.9761,32.4652,42.4754,0.7812,0.7613,0.8568,0.040932366155960825
430562798,30.5318,29.9384,39.9349,0.8431,0.8189,0.9244,0.04027641246938456
430562799,30.4448,29.8792,39.9144,0.8641,0.8405,0.9445,0.03989283543241531
430562800,30.4726,29.8898,39.9039,1.016,0.9845,1.1062,0.0401477364918814
430562801,34.2633,33.3789,43.0424,0.5732,0.5511,0.6169,0.04259737366383495
430562802,29.0264,28.5456,38.0631,0.8198,0.7801,0.8878,0.04259737366383495
430562803,25.2155,24.8811,35.4375,0.7658,0.7291,0.838,0.03621402203509902
430562809,19.9248,19.4715,24.2636,0.2775,0.268,0.3034,0.08666044549832956
