detection_id,B,G,R,nB,nG,nR,Compactness
432413446,9.3092,15.3449,13.54,0.099,0.2066,0.1248,0.07662132709270902
432413447,10.6509,16.6693,14.4767,0.1233,0.2556,0.1471,0.07903061153879146
432413448,14.7236,20.8697,18.5362,0.1847,0.2958,0.1943,0.06719790044098876
432413449,13.1684,19.2359,16.6171,0.1771,0.292,0.1797,0.07059533429497317
432413450,12.4598,18.0202,15.9918,0.1381,0.2267,0.1433,0.06866661880204716
432413451,8.6891,12.477,10.9976,0.1062,0.1811,0.1048,0.08726219508235135
432413452,6.1709,9.9451,8.4389,0.1024,0.183,0.1011,0.09816868357674101
432413453,5.5226,9.475,8.1625,0.0827,0.1586,0.0822,0.0937735836449438
432413454,5.6289,10.1384,8.3292,0.1376,0.2571,0.1393,0.09519422993221213
432413455,7.2065,13.0556,10.4555,0.1954,0.3734,0.1938,0.07903061153879146
432413456,7.1654,12.8939,10.4713,0.2312,0.4309,0.2261,0.07756719641593564
432413457,7.2553,13.0111,11.0195,0.1879,0.3614,0.1887,0.06866661880204716
432413458,3.6174,7.3888,6.1551,0.0539,0.1286,0.0576,0.09665858053229819
432413459,6.9729,12.4074,9.5842,0.1373,0.2593,0.1321,0.10052442674077641
432413460,6.9324,12.3947,9.4584,0.1012,0.2119,0.1087,0.10471236017896915
432413461,5.829,10.7285,8.0083,0.1063,0.2117,0.0983,0.09894156757337469
432413462,6.0416,11.005,8.3453,0.1133,0.2247,0.1023,0.09447856694680049
432413463,6.3334,11.6881,8.5179,0.1438,0.2858,0.1247,0.09665858053229819
432413464,8.6915,14.9024,10.2584,0.1533,0.3024,0.131,0.11423011752805243
432413465,9.107,15.2722,10.5153,0.1531,0.2734,0.1322,0.11634512054520679
432413466,8.045,14.0817,9.9149,0.1209,0.2504,0.1093,0.1038470904936626
432413468,9.6556,21.2197,15.1095,0.1108,0.2905,0.1307,0.058176383157876974
432413469,5.7344,12.7095,9.449,0.0748,0.2187,0.1017,0.10739689511380088
432413471,6.3545,5.5194,5.1319,0.0358,0.0269,0.0183,0.10133499999681532
432413472,6.7859,6.4569,5.531,0.0557,0.0434,0.024,0.09519422993221213
432413473,6.5424,6.0903,5.8652,0.0898,0.0694,0.0359,0.09592081711552267
432413474,6.0337,5.5663,5.8265,0.0485,0.0419,0.0244,0.09894156757337469
432413475,5.3873,5.668,5.9038,0.0286,0.0279,0.0189,0.09894156757337469
432413476,4.7667,5.778,6.0844,0.0453,0.0456,0.0238,0.09894156757337469
432413477,4.8263,5.6679,6.1212,0.0446,0.0433,0.0264,0.09740778003073822
432413478,4.5574,5.6161,5.8896,0.0424,0.0422,0.0255,0.09592081711552267
432413479,3.8314,5.2518,5.0935,0.0261,0.034,0.0266,0.10052442674077641
432413480,4.6338,5.5172,5.1295,0.0522,0.0559,0.0354,0.09894156757337469
432413481,5.969,5.9709,6.1539,0.0774,0.0649,0.0418,0.08975514439115811
432413482,6.6741,7.0289,6.9047,0.09,0.0793,0.0383,0.08055030487456037
432413483,7.4522,6.9955,7.409,0.0702,0.0553,0.0297,0.07139750161301212
432413484,8.2524,8.0599,8.066,0.0924,0.0803,0.0356,0.0675591583065621
432413489,5.3552,4.7557,4.9093,0.064,0.0522,0.0226,0.09816868357674101
432413490,5.5742,4.6092,5.0925,0.0526,0.0444,0.0205,0.09665858053229819
432413492,5.1867,4.6854,5.3458,0.0524,0.0498,0.0226,0.0937735836449438
432413493,5.9645,5.1683,6.0782,0.1023,0.0887,0.0413,0.09239471398211957
432413494,5.6009,4.733,5.9213,0.0632,0.0533,0.0335,0.09307904275505513
432413495,5.4941,5.3105,6.2067,0.0634,0.0549,0.0378,0.09519422993221213
432413496,5.3389,5.0001,6.2292,0.0749,0.0642,0.0399,0.09740778003073822
432413497,5.8103,5.3858,6.1969,0.0708,0.0566,0.0349,0.09665858053229819
432413498,5.773,5.2093,6.0659,0.0638,0.0623,0.0314,0.09447856694680049
432413499,6.3859,4.7466,5.6242,0.0767,0.0579,0.0302,0.0937735836449438
432413500,5.8464,4.2965,5.3451,0.0987,0.0846,0.0286,0.09592081711552267
432413501,4.6511,3.7626,4.7502,0.0157,0.0106,0.0146,0.1021587506273488
432413502,4.5657,3.984,4.8458,0.0316,0.022,0.0197,0.10133499999681532
432413503,12.1335,11.4519,7.8198,0.1868,0.1613,0.0678,0.07804894248762141
432413504,7.5319,7.5364,6.2263,0.1175,0.1282,0.0467,0.07953076456813789
432413505,17.1852,15.4021,10.582,0.3374,0.2858,0.1639,0.07804894248762141
432413506,16.1683,17.3425,11.2166,0.1835,0.2123,0.0711,0.06866661880204716
432413508,5.1064,5.0318,4.809,0.0665,0.0602,0.0224,0.09665858053229819
432413509,13.7648,12.4537,8.2993,0.2173,0.1808,0.0813,0.07662132709270902
432413510,11.3514,11.7727,8.4198,0.1856,0.1773,0.0785,0.0752449975094086
432413512,13.53,14.1502,9.6658,0.3366,0.3134,0.167,0.08377203058083679
432413520,10.4089,9.4807,6.5509,0.1269,0.1114,0.0391,0.08212958633865283
432413521,10.9038,9.8401,6.871,0.0753,0.0665,0.0294,0.077091360650504
432413522,8.6964,9.8254,6.5204,0.0794,0.0837,0.0371,0.07435458803139107
432413524,5.2094,8.2958,6.5586,0.0399,0.0491,0.0335,0.07221810771057427
432413529,14.2996,19.5164,20.0288,0.1302,0.1982,0.158,0.06544805286939072
