detection_id,B,G,R,nB,nG,nR,Compactness
429373219,32.9187,33.7014,45.6944,0.4519,0.4754,0.5898,0.04947312713553582
429373223,17.1762,17.4733,22.1428,0.0771,0.0771,0.0957,0.06684048540909966
429373226,17.1926,17.4897,22.2833,0.0765,0.0765,0.0949,0.0675591583065621
429373227,20.1889,20.3012,27.2176,0.0881,0.0881,0.1123,0.051500646728563054
429373230,21.2095,22.3599,26.1119,0.1005,0.1035,0.119,0.07903061153879146
429373232,18.9153,19.509,23.7487,0.0886,0.0912,0.1092,0.0675591583065621
429373241,14.098,13.7791,19.4579,0.443,0.4294,0.5022,0.077091360650504
429373248,34.1552,35.1919,39.9722,0.4318,0.4387,0.3905,0.030875416164038588
429373249,69.5826,71.012,84.5961,0.2958,0.296,0.3433,0.028888054938613697
429373252,29.9887,30.7085,35.5029,0.1244,0.1244,0.1408,0.07569824722699373
429373253,7.9373,7.984,10.0232,0.1083,0.1088,0.1029,0.08849111644335216
429373254,6.8759,6.6336,8.3159,0.0633,0.0624,0.0613,0.10648688664370398
429373255,7.4571,7.3891,8.981,0.0876,0.087,0.0805,0.10133499999681532
429373256,8.1603,8.014,9.7796,0.064,0.064,0.0648,0.09307904275505513
429373257,9.3162,9.3568,12.0159,0.0884,0.0881,0.0898,0.06684048540909966
429373258,23.6586,22.4371,29.2011,1.1614,1.1103,1.2099,0.06314598028335774
429373260,14.611,13.972,19.885,0.1835,0.1794,0.2096,0.06411244968272661
429373261,27.624,26.6744,35.4579,0.7845,0.7475,0.8479,0.05129044711249124
429373262,7.2487,7.5192,9.984,0.0865,0.0868,0.0853,0.09592081711552267
429373263,14.6542,13.7814,18.8105,0.6905,0.6399,0.732,0.08490398027194407
429373264,5.3784,5.8823,8.3521,0.0243,0.0249,0.0336,0.10832258979485408
429373265,15.704,14.9298,19.3623,0.4878,0.4676,0.5408,0.10926437976474195
429373266,5.5279,6.1921,8.7035,0.0205,0.0215,0.0307,0.1021587506273488
429373267,5.0674,5.437,8.5184,0.0227,0.0231,0.0318,0.10471236017896915
429373268,4.6175,5.0334,8.1075,0.0,0.0,0.0119,0.1038470904936626
