detection_id,B,G,R,nB,nG,nR,Compactness
30725979,15.288,16.3786,21.793,0.1819,0.1977,0.2336,0.0752449975094086
30725980,18.0712,19.4141,25.2463,0.2837,0.3106,0.3563,0.07059533429497317
30725984,31.1303,33.6246,43.7697,0.2816,0.3155,0.3753,0.04120076930564869
30725985,31.6727,33.6781,42.7911,0.3023,0.3232,0.3824,0.046541470193173916
30725986,30.4,32.4506,41.5507,0.2943,0.3195,0.3702,0.04520218287170602
30725989,24.9467,26.2978,34.7532,0.2935,0.3186,0.3778,0.04487757219557906
30725990,22.461,23.809,31.7298,0.2602,0.2878,0.3369,0.047962542530693694
30725991,16.8611,17.9115,25.404,0.0913,0.1051,0.1458,0.05108195634991484
30726007,20.7763,22.4928,33.6613,1.4226,1.5277,1.6307,0.03118186812429165
30726044,40.3049,40.9491,44.469,0.6054,0.6209,0.6314,0.05686023067241032
30726046,40.5674,40.2687,41.2648,0.5525,0.5471,0.4554,0.05737948033237819
30726047,40.0687,39.0,39.1212,0.8601,0.8248,0.7166,0.06314598028335774
30726048,34.9607,34.1334,34.0204,0.5602,0.5415,0.4615,0.06981099120988524
30726049,38.5047,37.1164,36.5698,0.529,0.5006,0.4376,0.06719790044098876
30726050,37.4171,35.8354,36.2391,0.5206,0.4883,0.4432,0.06041383338136221
30726051,36.545,35.1289,35.1172,0.463,0.4399,0.401,0.06648685222060789
30726053,31.559,29.9025,30.9465,0.5398,0.5093,0.4625,0.0675591583065621
30726054,31.3482,29.7027,30.516,0.3939,0.3754,0.351,0.07305779571290515
30726063,22.5551,22.2342,24.431,0.434,0.4261,0.4123,0.07756719641593564
30726064,23.4239,22.8906,24.9332,0.3351,0.3293,0.322,0.07804894248762141
30726065,25.0529,24.4326,26.6807,0.2854,0.2797,0.2814,0.07615699026400004
30726066,25.7018,25.0147,27.4584,0.4897,0.4802,0.4617,0.07059533429497317
30726070,24.6551,23.8671,25.8424,0.5954,0.5778,0.5526,0.07953076456813789
30726072,24.2005,23.3993,25.6743,0.4858,0.4719,0.4554,0.07953076456813789
30726073,23.3802,22.4468,24.8496,0.5362,0.5177,0.5007,0.07953076456813789
30726074,27.3435,30.0064,35.8749,0.2062,0.2541,0.2893,0.08266986501266944
30726075,23.1591,22.3831,24.6241,0.4479,0.4367,0.4199,0.08377203058083679
30726083,23.4749,31.1971,44.1926,0.0169,0.0932,0.1635,0.033510082066658835
30726084,22.9724,22.7372,26.4374,0.1019,0.1056,0.1005,0.08106994029334431
30726085,21.9931,21.888,25.6861,0.0573,0.0685,0.062,0.08003728818317192
30726086,22.5491,22.4787,26.3372,0.08,0.0921,0.087,0.077091360650504
30726087,25.1484,25.1818,29.1964,0.0567,0.0658,0.0694,0.07615699026400004
30726088,26.3789,26.2754,30.7519,0.0456,0.0531,0.0584,0.07139750161301212
30726089,34.227,34.4314,38.9069,0.2103,0.2112,0.2199,0.06251769380643689
30726091,36.3789,36.7845,41.2056,0.3205,0.3215,0.3286,0.05737948033237819
30726092,37.4268,37.218,41.8815,0.2817,0.2748,0.2881,0.056098740702361524
30726149,14.9889,18.1223,24.0514,0.2151,0.2715,0.3076,0.0661369411690469
30726150,14.9232,17.8281,23.5923,0.1583,0.2051,0.2335,0.06378702284985524
30726151,14.8988,17.3396,23.3535,0.0519,0.1103,0.1386,0.0595549083537657
30726152,16.8904,19.7009,25.6947,0.0527,0.1199,0.1491,0.059834327536935794
30726155,27.8851,29.4486,31.0168,0.5732,0.6112,0.4986,0.04147271561468917
30726171,19.7561,23.4869,31.718,0.2299,0.2627,0.3163,0.05686023067241032
30726172,14.5669,17.522,24.9674,0.2366,0.3058,0.345,0.04870612541107282
30726184,14.417,21.4586,33.4675,0.0284,0.1896,0.2484,0.040932366155960825
30726186,17.4917,19.2387,26.3849,0.9553,1.0555,1.1138,0.048146301614186766
30726318,36.3743,35.2165,35.1388,0.3594,0.3449,0.3116,0.0675591583065621
30726319,40.1201,40.1543,41.9983,0.514,0.5126,0.477,0.05279893651282317
30726323,36.2666,36.7559,38.6334,0.4413,0.4363,0.3783,0.06220821570931003
30726324,40.4656,40.4403,43.571,0.4095,0.4057,0.3513,0.05324636892277132
30726414,44.6706,43.3956,47.9789,0.6454,0.6254,0.5922,0.03717828391924453
30726419,37.8341,36.9869,42.2264,0.4206,0.4093,0.3961,0.03642395484658258
30726425,42.6301,43.5203,41.2337,0.5863,0.5761,0.4799,0.05560231145909046
30726428,46.6408,43.9172,44.5541,0.6546,0.6067,0.5041,0.03272402643469536
30726429,41.9128,43.4189,43.8928,0.5975,0.6455,0.5355,0.042310529255340984
30726430,31.585,32.0841,32.0245,0.4757,0.4595,0.3783,0.059274001684944774
30726431,44.2515,46.3483,44.1856,0.8545,0.8823,0.7164,0.04636973518878762
30726432,32.4564,30.9868,29.725,0.8592,0.8126,0.63,0.05487392523583279
