detection_id,B,G,R,nB,nG,nR,Compactness
143942634,3.5502,7.713,4.4577,0.0171,0.0315,0.0253,0.09592081711552267
143942771,4.8633,10.4949,5.6364,0.0102,0.0172,0.0214,0.08548150399146558
143942902,5.0428,10.8666,6.149,0.0158,0.03,0.028,0.07804894248762141
143943040,6.091,11.8972,6.8301,0.0855,0.1504,0.0816,0.07903061153879146
143943178,6.2371,12.0576,6.7653,0.0796,0.1404,0.0777,0.08212958633865283
143943312,5.2215,10.3541,6.6551,0.0557,0.1026,0.062,0.0815963233535219
143943571,3.205,7.9103,5.169,0.0125,0.0256,0.0253,0.08726219508235135
143943709,3.0274,7.6762,5.0303,0.0068,0.0131,0.02,0.08726219508235135
143943837,3.2099,8.0861,4.9121,0.0,0.0,0.0139,0.08911864874469005
143943967,3.169,8.0318,4.8877,0.0,0.0,0.0139,0.08911864874469005
143944092,3.1689,7.9958,4.8766,0.0,0.0,0.0139,0.08911864874469005
143944229,2.888,7.4892,4.2585,0.0,0.0,0.0126,0.09816868357674101
143944363,2.8252,7.4481,4.2847,0.0,0.0,0.0127,0.09740778003073822
143944497,3.3011,8.656,4.9634,0.0,0.0,0.0149,0.08321729873508964
143944625,3.125,8.0885,4.3732,0.0,0.0,0.0136,0.09105580497377844
143944757,3.6056,8.4386,5.2428,0.0,0.0,0.0145,0.08548150399146558
143944890,3.267,7.5174,4.7758,0.0,0.0,0.014,0.08849111644335216
143945020,2.0991,5.1835,3.6977,0.0,0.0001,0.0114,0.10832258979485408
143945144,2.1571,5.1796,3.6841,0.0015,0.0025,0.0121,0.11219063124580061
143945272,2.1543,5.1707,3.6826,0.0015,0.0025,0.0121,0.11219063124580061
143945409,2.1632,5.1652,3.657,0.0015,0.0025,0.012,0.1132011898318306
143945535,2.1329,5.111,3.6842,0.0015,0.0025,0.0122,0.11119795425652645
143945667,2.1266,5.0927,3.7047,0.0015,0.0025,0.0123,0.11022268844923072
143945799,2.12,5.0747,3.6731,0.0015,0.0025,0.0122,0.11119795425652645
