detection_id,B,G,R,nB,nG,nR,Compactness
131026107,23.6003,22.8776,19.7359,0.7284,0.7925,0.5188,0.0661369411690469
131026530,18.619,18.2083,14.7248,0.8922,0.8777,0.4789,0.07020097205976435
131026565,15.5652,15.3574,12.5529,1.0158,1.0085,0.5362,0.07435458803139107
131026670,10.6553,12.8943,11.0045,0.5525,0.6131,0.3308,0.07099415216660818
131026705,10.8438,13.1059,11.1288,0.7734,0.8275,0.4406,0.07059533429497317
131026844,8.3134,12.573,11.2429,0.4028,0.5759,0.3088,0.06684048540909966
131026881,8.1619,12.5554,11.1522,0.3643,0.536,0.2827,0.06684048540909966
131026914,7.3026,12.4697,11.1481,0.2912,0.5164,0.2666,0.06544805286939072
131026949,7.2585,13.5824,11.5041,0.2697,0.539,0.2701,0.06866661880204716
131029175,5.5794,18.5444,20.3092,0.0753,0.3512,0.2721,0.049086630312145024
131029208,7.3598,18.3139,20.869,0.0587,0.1689,0.1503,0.04318289069619264
131029244,9.1751,25.425,26.728,0.1811,0.6012,0.464,0.0430350075951413
131029352,7.5271,23.5902,24.5243,0.0867,0.4173,0.295,0.04288813389916635
131029386,8.0717,24.034,25.6154,0.0682,0.3512,0.2768,0.04409198179755562
131029433,7.1885,17.9506,20.513,0.0638,0.1814,0.1583,0.04409198179755562
131029471,8.8196,24.6274,25.9656,0.165,0.5805,0.449,0.04424723137071616
131029575,7.1715,22.767,23.8149,0.0681,0.3404,0.2495,0.04393781784522013
131029610,7.9618,23.6684,25.4131,0.0608,0.3329,0.2644,0.043784728166320654
131029683,8.624,24.1881,25.6244,0.1547,0.5276,0.4094,0.04409198179755562
131029791,7.0318,22.4625,23.4771,0.0738,0.3634,0.2636,0.04456103357379679
131029828,7.6901,23.0116,24.7728,0.0618,0.3372,0.2678,0.04456103357379679
131029863,7.0392,17.5964,20.1366,0.0481,0.147,0.132,0.044879318492720414
131034090,1.9509,9.3191,11.386,0.0269,0.1084,0.0978,0.06792432131461863
131034133,4.6751,12.524,14.1448,0.0499,0.1901,0.1513,0.06792432131461863
131034175,5.5208,14.2752,15.5252,0.016,0.1223,0.0907,0.06792432131461863
131034216,3.7853,10.969,12.527,0.0729,0.2466,0.1909,0.06792432131461863
131034342,20.5501,20.2571,16.6266,0.1613,0.1466,0.1118,0.0675591583065621
131034384,1.9756,9.1849,11.3959,0.0223,0.0854,0.0812,0.0675591583065621
131034631,19.763,19.4754,16.1549,0.1538,0.1393,0.1081,0.06792432131461863
131034672,1.8882,8.8825,11.1389,0.0179,0.0675,0.0671,0.06792432131461863
131034713,4.3695,11.8106,13.5233,0.0552,0.2053,0.1608,0.06829345312829196
131034756,5.0963,13.1461,14.6272,0.0166,0.1192,0.0898,0.06904388481989716
131034798,3.4517,9.8551,11.743,0.0648,0.2168,0.1721,0.06904388481989716
131034969,2.731,9.6378,11.412,0.0894,0.3273,0.2453,0.06981099120988524
131035007,3.7854,10.6671,12.4994,0.067,0.2299,0.1823,0.06942531913488556
131035052,5.0075,12.5783,14.0085,0.0211,0.1316,0.0963,0.07139750161301212
131035095,3.4504,9.8557,11.5231,0.0409,0.1574,0.1252,0.07099415216660818
131037101,5.7616,14.4943,19.1433,0.1508,0.4259,0.3798,0.04569528448132631
131037146,27.9087,25.4233,21.4783,0.2937,0.2833,0.17,0.04603003942056844
131037192,6.1927,17.6482,19.7473,0.0694,0.3606,0.2598,0.04603003942056844
131037240,2.9673,12.2714,15.5801,0.0712,0.2701,0.2232,0.04603003942056844
131037288,6.4094,15.687,18.6789,0.1212,0.3906,0.3016,0.04636973518878762
131037473,5.6524,14.3176,18.8298,0.1195,0.3572,0.3177,0.046541470193173916
131037519,27.6128,25.0973,21.1925,0.2908,0.2798,0.1676,0.046541470193173916
131037569,5.3304,15.9738,18.372,0.0866,0.401,0.2947,0.04636973518878762
131037617,2.5739,10.619,13.3052,0.0315,0.1411,0.1233,0.05511459098459456
131037667,5.8635,15.4131,16.4224,0.0515,0.252,0.1854,0.06719790044098876
131037714,3.8319,12.5466,13.5646,0.116,0.3785,0.2926,0.06719790044098876
131037850,5.3101,13.2392,15.5915,0.0923,0.2973,0.2569,0.06719790044098876
131037943,4.6332,13.8228,14.7824,0.0761,0.3353,0.2467,0.06719790044098876
131037989,2.484,10.0184,11.8266,0.0504,0.1702,0.1428,0.06719790044098876
131038035,5.6944,15.0666,16.1529,0.0492,0.2495,0.182,0.06719790044098876
131038084,3.7453,12.3311,13.3619,0.0931,0.3158,0.2442,0.06719790044098876
131038229,5.1799,12.9501,15.3122,0.0882,0.2832,0.2457,0.06792432131461863
131038278,22.4818,20.5063,16.3632,0.1788,0.1772,0.1074,0.06792432131461863
131038324,4.4977,13.4328,14.4431,0.073,0.3225,0.2378,0.06792432131461863
131038374,2.3444,9.5899,11.4615,0.0489,0.1646,0.1389,0.06792432131461863
131038422,5.5337,14.6432,15.78,0.0491,0.2471,0.1805,0.06792432131461863
131038616,5.0246,12.5347,15.0048,0.0781,0.2661,0.2315,0.0675591583065621
131039291,4.6014,13.945,14.9847,0.133,0.4107,0.316,0.06314598028335774
131039433,4.8146,12.1977,15.0547,0.0986,0.2963,0.2609,0.06314598028335774
131039482,22.6715,20.4025,16.8117,0.1891,0.1775,0.1095,0.06314598028335774
131039528,4.6222,13.5331,14.8242,0.0737,0.3495,0.2574,0.06314598028335774
131039573,2.7487,9.9878,12.2552,0.0617,0.2075,0.1719,0.06283026644890574
131039622,6.031,14.4054,16.1444,0.0691,0.2461,0.1879,0.06283026644890574
131039669,4.2,12.9261,14.2181,0.1103,0.3559,0.2735,0.06283026644890574
131039811,4.6161,11.592,14.5848,0.0916,0.2712,0.2405,0.06283026644890574
131039860,21.408,19.2713,16.1893,0.1787,0.1673,0.1046,0.06283026644890574
131039908,4.5035,13.2606,14.6465,0.0737,0.3469,0.2565,0.06283026644890574
131039955,2.7405,9.9482,12.2274,0.0617,0.2074,0.1718,0.06283026644890574
131039999,5.9799,14.3954,16.0828,0.0603,0.2341,0.1772,0.06283026644890574
