detection_id,B,G,R,nB,nG,nR,Compactness
388190287,10.7153,11.4805,14.9937,0.0051,0.0094,0.0247,0.11423011752805243
388190288,12.5094,13.5722,17.5072,0.0071,0.0132,0.036,0.10471236017896915
388190295,11.837,13.055,18.3428,0.0293,0.0527,0.0958,0.09447856694680049
388190296,11.3866,12.7582,18.5725,0.0367,0.0632,0.1119,0.0937735836449438
388190297,13.1534,14.9081,21.8995,0.0434,0.0707,0.1395,0.09239471398211957
388190298,11.1655,12.6992,19.9477,0.0479,0.0751,0.1277,0.07662132709270902
388190308,11.233,11.4086,15.8425,0.4579,0.4642,0.491,0.0752449975094086
388190312,1.2372,2.196,7.7687,0.0,0.0,0.0124,0.09972671719555438
388190313,1.2963,2.4417,8.2731,0.0,0.0,0.013,0.09519422993221213
388190314,1.4772,2.7876,9.3571,0.0,0.0,0.014,0.08849111644335216
388190315,1.7726,3.0493,10.1268,0.0,0.0,0.0146,0.08490398027194407
388190316,1.7074,3.1941,10.5655,0.0,0.0,0.016,0.07756719641593564
388190317,1.7396,3.2123,10.4058,0.0,0.0,0.0155,0.08212958633865283
388190319,2.3341,4.2717,13.5118,0.0,0.0,0.0214,0.06829345312829196
388190331,7.0582,8.0242,10.7535,0.4413,0.4932,0.4874,0.10299600257653854
388190333,7.8301,9.0429,11.4422,0.3593,0.4061,0.382,0.09894156757337469
388190334,7.9945,9.1852,11.3513,0.402,0.4476,0.4078,0.09894156757337469
388190538,8.0647,8.6232,10.6824,0.6749,0.7228,0.639,0.1021587506273488
388190539,9.2676,9.707,12.3354,0.8276,0.8821,0.794,0.08911864874469005
388190541,9.4517,9.8569,12.3044,0.637,0.6686,0.6181,0.09592081711552267
388190546,2.8074,3.8465,10.7311,0.0,0.0,0.0191,0.06510896233025722
388190549,3.4146,3.7311,9.0493,0.0,0.0,0.0166,0.07479714303071543
388190550,12.1867,12.3536,14.7425,0.1245,0.1241,0.1257,0.10471236017896915
388190551,12.9882,13.223,15.6704,0.1836,0.1878,0.1775,0.10052442674077641
388190561,18.2456,18.6679,23.2506,0.4951,0.5074,0.5429,0.07903061153879146
388190562,3.6925,5.6548,14.5225,0.0353,0.0397,0.091,0.06981099120988524
388190565,25.1161,26.1925,31.744,1.59,1.7281,1.8772,0.06220821570931003
388190581,10.3205,10.752,14.099,0.3814,0.4143,0.4434,0.08726219508235135
388190584,4.2023,4.8826,11.1859,0.0404,0.0477,0.0841,0.077091360650504
388190586,3.3992,4.0968,10.7878,0.0312,0.0369,0.0779,0.08548150399146558
388190794,22.7827,24.1544,28.4884,0.2847,0.2973,0.3152,0.06792432131461863
388190797,13.4755,13.8371,16.1906,0.0225,0.0333,0.0267,0.09447856694680049
388190798,12.6789,12.9433,14.9867,0.0359,0.0409,0.0262,0.09592081711552267
388190799,11.5604,11.7306,13.3116,0.0468,0.0496,0.0177,0.09894156757337469
388190804,22.8759,25.4624,35.7327,0.9969,1.0988,1.3502,0.06041383338136221
388190805,20.8847,23.0522,31.0741,0.957,1.0635,1.267,0.06251769380643689
388190811,9.1597,10.3725,15.86,0.074,0.0884,0.1173,0.08606693785815557
388190823,13.1035,14.8902,24.4834,0.0102,0.0304,0.1253,0.09740778003073822
388191037,17.4446,20.8001,34.0116,0.3596,0.4785,0.7226,0.06648685222060789
388191038,18.2627,21.7529,36.1604,0.5126,0.6902,1.1212,0.06510896233025722
388191039,18.1792,21.5179,37.2979,0.5461,0.7104,1.1783,0.06012478543760053
388191040,15.0238,18.5155,32.8631,0.6192,0.8249,1.4247,0.06942531913488556
388191041,14.9219,17.9493,32.3579,0.7396,0.9898,1.7465,0.06904388481989716
388191042,15.8227,18.7892,33.2868,0.8076,1.0499,1.8208,0.07020097205976435
388191043,16.2106,18.9429,35.4126,0.6141,0.7471,1.3276,0.06041383338136221
388191044,15.2056,18.8883,34.4571,0.5388,0.6966,1.1801,0.06041383338136221
388191045,12.0747,15.4542,29.999,0.5096,0.6317,1.0799,0.06981099120988524
388191311,4.3899,5.2757,13.0983,0.0008,0.0008,0.0207,0.061586133552216926
388191312,2.9321,3.7988,10.2,0.0,0.0,0.0166,0.0752449975094086
388191314,2.7102,3.494,10.3236,0.0,0.0,0.0173,0.07180546030797123
388191316,0.8342,2.305,9.6767,0.0,0.0,0.014,0.08849111644335216
388191317,0.6483,2.4673,10.5454,0.0,0.0,0.0174,0.07139750161301212
388191319,0.9506,2.5299,9.9849,0.0,0.0,0.0159,0.08003728818317192
388191321,0.5281,1.7165,6.8479,0.0,0.0,0.0111,0.11119795425652645
388191322,0.4126,1.4902,6.3696,0.0,0.0,0.0111,0.11119795425652645
388191538,0.8244,2.0259,8.6056,0.0,0.0,0.0134,0.09239471398211957
388191539,0.9267,2.1384,8.3388,0.0,0.0,0.0137,0.09040079679516942
388191540,0.7877,2.0683,8.7105,0.0,0.0,0.0139,0.08911864874469005
388191541,0.7848,1.9993,8.6506,0.0,0.0,0.0146,0.08490398027194407
388191544,0.8044,1.7177,7.5646,0.0,0.0,0.0131,0.09447856694680049
388191545,0.716,1.7137,6.7814,0.0,0.0,0.0121,0.1021587506273488
388191548,1.0274,2.2594,8.9291,0.0,0.0,0.0144,0.08606693785815557
388191551,1.3665,2.5888,9.5838,0.0,0.0,0.016,0.07756719641593564
388191553,6.2662,6.3784,9.0,0.279,0.2799,0.2857,0.10739689511380088
388191554,5.9769,6.3606,9.2032,0.2009,0.2134,0.219,0.1021587506273488
388191555,6.4066,6.7441,9.9942,0.1694,0.1765,0.1922,0.09592081711552267
388191556,6.7276,7.0372,10.1537,0.2253,0.234,0.2483,0.09592081711552267
388191570,3.4521,4.1255,8.5969,0.0,0.0,0.013,0.09519422993221213
388191575,4.4689,4.9018,8.8172,0.0247,0.0254,0.048,0.1038470904936626
388191579,5.2689,7.2256,17.1921,0.0,0.0,0.0223,0.05584942297118333
388191581,4.7706,6.4123,16.8124,0.0,0.0,0.0237,0.05257802831020273
388191583,8.346,9.0277,15.7546,0.2671,0.2933,0.4187,0.07903061153879146
388191584,10.5261,11.8289,19.3969,0.2665,0.3152,0.4394,0.07099415216660818
388191837,37.3849,41.7834,62.1838,0.2842,0.3712,0.6301,0.037288603279215585
388191858,18.1581,19.9475,27.8137,0.0815,0.1053,0.163,0.06220821570931003
388192149,12.1685,15.0693,30.2126,0.1789,0.2194,0.4043,0.04288813389916635
388192152,7.7286,9.1428,17.1228,0.0052,0.0218,0.095,0.09307904275505513
388192153,8.1963,9.2681,17.6861,0.0237,0.0376,0.1106,0.09519422993221213
388192154,13.933,15.1698,27.2371,0.1222,0.1412,0.2781,0.07139750161301212
388192155,15.1536,16.5243,29.6122,0.1653,0.1948,0.3783,0.06684048540909966
388192156,18.9705,20.3772,34.1093,0.1374,0.1491,0.2548,0.05560231145909046
388192172,23.4147,26.4087,40.4776,0.3697,0.4435,0.64,0.057118675464029094
388192178,11.9841,13.2757,24.1747,0.5532,0.6155,0.92,0.05235896091135454
388192180,11.9855,14.4559,25.2642,0.4281,0.5037,0.7352,0.06477336728387235
388192183,5.0199,5.9176,11.4114,0.1837,0.2051,0.2813,0.10471236017896915
388192184,4.4489,5.2402,10.591,0.1498,0.1632,0.2339,0.11022268844923072
388192437,18.3607,19.1471,25.808,0.264,0.2836,0.3356,0.06648685222060789
388192443,11.7548,13.3836,20.7745,0.0021,0.0105,0.0755,0.08666044549832956
388192444,11.9941,13.3173,21.3207,0.001,0.0031,0.0725,0.0815963233535219
388192737,25.3554,25.2774,32.6589,0.2067,0.204,0.2381,0.04759920052280796
388192738,24.9865,24.8044,31.8724,0.1952,0.1948,0.2304,0.05235896091135454
