detection_id,B,G,R,nB,nG,nR,Compactness
432930662,3.7989,11.2855,9.4729,0.0381,0.1002,0.0573,0.04603003942056844
432930663,3.5955,9.1335,6.3103,0.0247,0.0829,0.0331,0.06251769380643689
432930664,4.282,11.1357,8.6023,0.0411,0.1124,0.0437,0.044403578072467774
432930665,5.0171,11.2443,8.3945,0.0272,0.0821,0.0396,0.04706439330664793
432930668,2.0765,7.7744,6.4567,0.0356,0.1393,0.0549,0.06378702284985524
432930669,3.3842,9.4781,6.1416,0.0,0.0517,0.0207,0.06012478543760053
432930670,3.7057,9.5116,6.3151,0.0005,0.0628,0.0216,0.05790830079919458
432930724,17.1742,15.2239,8.7857,0.1158,0.1168,0.0248,0.051500646728563054
432930734,22.6987,69.0989,30.8549,0.495,1.4199,0.5628,0.05324636892277132
432930735,17.137,51.4774,23.9067,0.33,0.9693,0.3924,0.06129789587454133
432930736,15.4373,50.4039,21.9894,0.2553,0.8672,0.265,0.06012478543760053
432930737,14.9516,39.7246,16.9554,0.2979,0.7454,0.2546,0.07020097205976435
432930738,11.8452,34.8892,14.839,0.2233,0.6592,0.1935,0.07569824722699373
432930739,10.5982,29.8309,12.8598,0.2754,0.7654,0.1922,0.06904388481989716
432930740,9.8944,22.9135,11.1943,0.1602,0.379,0.1121,0.0815963233535219
432930741,8.173,19.8849,9.44,0.1883,0.4339,0.1474,0.09447856694680049
432930742,7.7937,17.9782,9.3424,0.1859,0.4045,0.149,0.10133499999681532
432930743,9.5579,20.4123,10.878,0.2067,0.4542,0.1909,0.09894156757337469
432930744,2.1773,1.7277,4.4407,0.0838,0.0602,0.05,0.0937735836449438
432930745,1.9709,1.5707,4.3778,0.0826,0.0669,0.0536,0.09307904275505513
432930746,3.3887,1.7691,4.5883,0.1065,0.059,0.0512,0.09239471398211957
432930747,3.0997,2.0133,4.7879,0.0997,0.0698,0.0564,0.09172037375316221
432930748,2.3653,1.766,4.5716,0.1024,0.0808,0.0605,0.09172037375316221
432930749,4.0019,1.9658,4.8298,0.1174,0.0668,0.0603,0.09105580497377844
432930758,0.2675,3.3734,3.1056,0.0,0.0464,0.0121,0.1021587506273488
432930759,0.3471,4.2341,3.71,0.0,0.0575,0.0142,0.08726219508235135
432930760,0.8598,4.1205,4.4298,0.0,0.0445,0.0169,0.07348500463068167
432930761,0.4404,3.5139,4.0553,0.0,0.0367,0.0157,0.07903061153879146
432930788,0.2115,25.4201,13.0892,0.0046,0.6935,0.2482,0.07099415216660818
432930800,3.7985,13.1241,10.3206,0.0013,0.0028,0.0298,0.043331793643939145
432930801,5.8986,12.3102,9.265,0.168,0.2817,0.1127,0.04927912092245134
432930808,4.3076,10.6872,6.0851,0.0929,0.1642,0.0632,0.077091360650504
432930818,4.2567,17.68,8.9028,0.0566,0.1135,0.051,0.07305779571290515
432930819,6.0408,25.3699,11.9156,0.0321,0.1229,0.0622,0.04393781784522013
432930820,3.7637,14.6885,7.0369,0.0,0.0093,0.018,0.06904388481989716
432930829,22.9521,22.1266,18.8151,0.2579,0.2144,0.1483,0.05584942297118333
432930830,28.3348,27.2271,21.2773,0.3112,0.2663,0.1724,0.05192625725187585
432930831,7.5213,22.5266,14.9092,0.2698,0.5342,0.2364,0.036529836633637666
432930835,7.3875,21.0243,14.5854,0.1383,0.2559,0.1305,0.035497937197589494
432930837,6.7717,21.1528,14.4054,0.1491,0.2683,0.1455,0.035903621265810565
432930838,0.6415,2.8063,9.0753,0.0024,0.0847,0.0392,0.03631868507741698
432930840,8.228,23.0317,14.4288,0.1815,0.3366,0.1676,0.0396411506922282
432930843,8.1061,24.1971,14.877,0.1872,0.3747,0.1853,0.03951649547848519
432930846,3.0493,9.3406,5.6508,0.0253,0.0482,0.031,0.09519422993221213
432930849,2.5735,6.3544,5.0466,0.0,0.0,0.0151,0.08212958633865283
432930850,3.253,8.923,5.9105,0.056,0.0956,0.05,0.09040079679516942
432930853,3.5739,8.7944,5.803,0.07,0.1369,0.0654,0.09447856694680049
432930856,8.1988,27.7467,16.8355,0.1108,0.2961,0.1593,0.037964517283050205
432930857,1.1387,13.3981,12.9555,0.0012,0.0769,0.0371,0.037288603279215585
432930860,9.3916,27.0328,16.2049,0.1534,0.2525,0.1343,0.0406674373693737
432930861,1.7536,12.3304,11.3102,0.0021,0.0656,0.0326,0.04363270157106099
432930863,9.8506,28.2429,16.848,0.1025,0.203,0.1167,0.03890479695236772
432930864,1.8231,12.8951,12.1908,0.0053,0.098,0.0423,0.03976659483909075
432930866,10.6403,28.6879,17.3567,0.1176,0.2102,0.1179,0.03762352482182404
432930868,2.568,8.467,7.0873,0.0201,0.0468,0.0398,0.06477336728387235
432930869,0.5748,1.0545,4.737,0.0032,0.0241,0.0185,0.06719790044098876
432930871,3.004,9.9759,9.3228,0.0621,0.0655,0.0477,0.04986575853700407
