detection_id,B,G,R,nB,nG,nR,Compactness
429178220,26.2944,23.6669,21.1333,0.4772,0.426,0.3022,0.08321729873508964
429178221,27.3611,24.5881,21.9614,0.5623,0.5036,0.35,0.07903061153879146
429178222,24.739,22.5009,19.618,0.6495,0.5846,0.4082,0.08787235948346774
429178223,24.0476,21.9128,18.5886,0.8214,0.7491,0.5084,0.09972671719555438
429178224,23.669,21.5901,18.3173,0.746,0.6749,0.4618,0.1021587506273488
429178225,23.0014,20.9501,17.8555,0.7398,0.6677,0.46,0.1038470904936626
429178226,23.1025,21.0992,18.8562,0.6763,0.6148,0.4375,0.09239471398211957
429178227,21.4279,19.7742,18.5212,0.7224,0.6683,0.4945,0.08666044549832956
429178323,25.2322,25.0441,32.1666,0.3654,0.3614,0.3732,0.03831174723677478
429178355,7.3913,7.8661,13.6267,0.1202,0.13,0.1548,0.05790830079919458
429178430,10.2656,12.3032,17.2396,0.3235,0.4004,0.3935,0.05584942297118333
429178431,9.5811,11.4906,16.2602,0.2239,0.2853,0.284,0.058176383157876974
429178437,9.2675,10.6018,16.0911,0.2907,0.3328,0.3284,0.05129044711249124
429178438,7.6243,8.5122,12.5212,0.186,0.2084,0.2054,0.0661369411690469
429178439,21.8023,19.3253,16.3409,1.28,1.1315,0.7561,0.08490398027194407
429178441,21.5901,18.8163,15.7428,1.3956,1.2089,0.8155,0.09894156757337469
429178443,22.4857,19.6069,16.332,2.0589,1.774,1.2051,0.09740778003073822
429178445,23.1454,19.9563,16.8003,0.8391,0.7191,0.4787,0.09239471398211957
429178447,25.4451,22.075,18.6102,0.726,0.6269,0.418,0.08606693785815557
429178448,25.1525,21.7602,18.3673,0.7796,0.6709,0.4505,0.09105580497377844
429178449,24.5432,21.1326,18.1159,0.5623,0.4825,0.3277,0.09447856694680049
429178450,25.5948,22.201,19.3017,0.5474,0.4668,0.32,0.09105580497377844
429178451,25.8062,22.4718,19.3303,0.541,0.4584,0.3161,0.09592081711552267
429178452,25.4675,22.0601,19.5819,0.3804,0.3346,0.231,0.08433420746488306
429178454,18.6557,17.5884,21.6896,0.3083,0.2797,0.3146,0.1021587506273488
429178456,19.0061,17.8008,22.4182,0.3477,0.3119,0.3571,0.09816868357674101
429178460,21.8915,20.4955,27.4455,0.5859,0.5485,0.6478,0.06346488289866778
429178462,26.6766,25.3695,35.0129,0.7312,0.689,0.8255,0.04688878485347726
429178463,23.9493,22.6382,31.463,0.7408,0.6897,0.8252,0.05235896091135454
429178464,22.7099,21.4673,27.9211,0.3349,0.3049,0.3615,0.06283026644890574
429178527,19.0564,18.0895,23.2908,0.1873,0.1713,0.1942,0.07435458803139107
429178528,16.0895,15.2002,21.401,0.1329,0.1217,0.1479,0.059274001684944774
429178533,19.9198,18.5953,24.3005,0.2575,0.2292,0.2636,0.06942531913488556
429178534,20.4702,18.987,24.9385,0.2123,0.1871,0.2178,0.06719790044098876
429178535,18.2881,16.9976,22.6382,0.2194,0.1928,0.2233,0.06981099120988524
429178539,17.1554,16.5736,23.5486,0.526,0.5026,0.6278,0.08666044549832956
429178540,20.2284,19.505,27.1963,0.6377,0.6069,0.759,0.07903061153879146
429178541,16.5784,15.2825,22.7869,0.3715,0.3426,0.4393,0.07569824722699373
429178542,13.5749,12.3028,18.9982,0.3221,0.291,0.3777,0.07953076456813789
429178543,13.5219,12.3945,18.8605,0.4971,0.4581,0.5751,0.08433420746488306
429178548,20.9757,19.675,32.145,0.483,0.4489,0.6556,0.056098740702361524
429178549,24.4282,22.8597,35.9191,0.5599,0.5184,0.7376,0.0589957324588329
429178550,26.2716,24.5604,38.6427,0.6445,0.5932,0.847,0.05302170881884524
429178637,64.5188,59.6331,75.7276,1.2034,1.0612,1.3095,0.04027641246938456
429178638,42.7121,40.789,60.1949,1.0791,1.0361,1.4408,0.041887433508339206
429178639,43.219,39.7954,54.3706,0.8042,0.7331,0.9802,0.0502646717369248
429178640,25.7018,23.1886,31.3811,0.5572,0.4887,0.5925,0.06444121395927624
429178641,20.9169,19.0805,26.2877,0.2889,0.2537,0.3188,0.06411244968272661
429178642,16.5532,15.1218,21.2297,0.2246,0.1956,0.2458,0.07305779571290515
429178646,26.9065,24.3928,32.2034,0.3,0.2636,0.3114,0.0595549083537657
429178647,27.5169,25.3218,32.7241,0.356,0.3127,0.3706,0.07020097205976435
429178648,28.0355,26.3193,32.5399,0.271,0.239,0.2801,0.07756719641593564
429178649,31.4261,29.6213,37.1875,0.2892,0.2578,0.3133,0.06544805286939072
429178651,24.4039,22.5884,28.567,0.3176,0.2766,0.3359,0.08433420746488306
429178722,9.8727,10.8703,15.5496,0.1566,0.1769,0.1906,0.06346488289866778
429178723,21.4168,19.2406,25.1497,0.1543,0.1303,0.165,0.06129789587454133
429178736,13.2695,14.9514,21.6249,0.2642,0.303,0.3243,0.04552972625896745
429178737,8.936,10.4785,16.0834,0.1763,0.2041,0.2122,0.05129044711249124
429178739,13.5216,16.4389,24.315,0.2819,0.3684,0.3698,0.03580133342376613
429178740,13.7343,16.9441,23.6289,0.2713,0.3592,0.3555,0.04079947169724779
429178742,10.7203,13.4776,19.5271,0.2462,0.3235,0.3266,0.046541470193173916
429178744,8.2826,10.1141,14.7494,0.1909,0.2533,0.2573,0.06220821570931003
429178745,15.2217,18.6302,27.3992,0.3283,0.4192,0.4218,0.031494464368959064
429178748,16.2521,19.5414,27.7596,0.4801,0.5903,0.5781,0.033510082066658835
429178749,9.5609,11.4477,16.7014,0.2159,0.271,0.2708,0.05257802831020273
429178750,6.9855,8.3148,13.9535,0.1025,0.1214,0.1355,0.050670018704328156
429178751,10.8065,12.9897,17.9635,0.2946,0.3652,0.3552,0.05279893651282317
429178752,7.2322,8.8093,14.1912,0.1096,0.1291,0.1375,0.050875153686925724
429178756,4.6977,5.7724,11.2484,0.06,0.0758,0.0866,0.050670018704328156
429178757,5.0305,6.2692,9.8558,0.1047,0.1491,0.1437,0.06981099120988524
429178858,32.3722,41.0259,53.0532,0.5417,0.6498,0.7299,0.03580133342376613
429178859,41.6961,52.8082,65.7598,0.4699,0.595,0.6875,0.03333231227637428
429179149,22.5331,26.4754,36.8538,0.2826,0.3437,0.4356,0.0427422593087034
429179156,21.4782,22.8377,31.2247,0.2513,0.2673,0.3109,0.048146301614186766
429179223,11.9843,14.0854,20.9915,0.1077,0.1223,0.1657,0.06129789587454133
429179224,11.4756,13.8536,19.9751,0.1958,0.2382,0.2945,0.0752449975094086
429179227,16.8632,19.268,26.9652,0.2684,0.3053,0.3741,0.05584942297118333
429179231,11.5191,12.7464,18.1973,0.1262,0.1363,0.1624,0.06346488289866778
429179233,12.5984,15.076,22.6874,0.1862,0.2233,0.2738,0.05108195634991484
429179234,9.1965,10.7938,16.1068,0.0803,0.0951,0.1198,0.06378702284985524
429179239,9.0769,11.2762,17.7197,0.1089,0.1387,0.172,0.05635029433027713
429179341,8.7648,11.8032,20.1951,0.1491,0.201,0.262,0.05129044711249124
429179346,19.5386,23.6979,34.182,0.4483,0.5233,0.6272,0.04471960971181389
429179347,17.7845,21.0051,31.2807,0.3285,0.3684,0.45,0.04393781784522013
429179349,7.1636,8.1546,12.453,0.2482,0.2864,0.2767,0.06220821570931003
429179350,6.9543,7.8363,12.1686,0.1897,0.2271,0.2267,0.06220821570931003
429179351,5.5703,6.2816,14.2679,0.0847,0.0983,0.1188,0.037736506326688256
429179352,6.7201,7.5113,12.5003,0.1211,0.1374,0.1468,0.05764267775279962
429179353,12.5591,14.2519,23.2003,0.3467,0.4011,0.4056,0.03197528965935051
429179355,7.2411,8.3165,12.8345,0.1883,0.2175,0.2154,0.06041383338136221
429179357,7.6766,8.9058,12.592,0.2403,0.2947,0.2813,0.06942531913488556
429179358,14.7898,16.1435,22.7288,0.134,0.1506,0.1856,0.05686023067241032
429179360,14.1987,15.0562,21.2368,0.1633,0.175,0.2065,0.0539319190680174
429179361,5.9906,6.4521,10.2765,0.126,0.1359,0.1341,0.06579069379816853
429179362,13.867,14.0018,18.3933,0.1786,0.1654,0.2099,0.10832258979485408
429179363,6.157,7.6913,9.8188,0.1711,0.2062,0.1897,0.09972671719555438
429179364,20.0056,22.5456,26.8783,0.2097,0.2463,0.277,0.09307904275505513
429179365,19.9659,21.7811,27.0517,0.2335,0.2492,0.2992,0.08787235948346774
429179366,29.5116,32.0023,38.619,0.3807,0.4091,0.4583,0.06904388481989716
429179367,9.7657,11.5253,15.2025,0.1977,0.2376,0.2316,0.06411244968272661
429179368,34.4419,37.5004,46.2496,0.4427,0.4794,0.5392,0.047241322067509035
429179420,39.2917,41.4204,49.4456,0.4601,0.4788,0.5457,0.056098740702361524
429179421,37.4795,37.7584,44.7153,0.411,0.4029,0.4605,0.05872006370526449
429179422,36.2137,36.2997,43.5241,0.3215,0.311,0.3602,0.05535737701133239
429179426,16.0123,17.8855,23.6728,0.1637,0.1905,0.2317,0.07853670966610296
429179427,21.3811,23.1561,30.5979,0.2452,0.2725,0.3365,0.06719790044098876
429179429,21.6159,23.9751,30.5737,0.2599,0.2836,0.3397,0.08003728818317192
429179431,28.5418,29.2001,36.9906,0.304,0.3015,0.3598,0.06220821570931003
429179439,25.0492,24.3924,30.6498,0.4303,0.4046,0.4364,0.05370144932732833
429179465,14.1203,14.7468,17.8627,0.1599,0.1692,0.1759,0.09592081711552267
429179466,13.7927,14.283,18.2992,0.1282,0.132,0.1471,0.07662132709270902
429179467,9.3387,14.5563,20.1479,0.1057,0.1758,0.2271,0.08548150399146558
429179545,30.8501,32.8946,43.7796,0.2754,0.3037,0.3982,0.03976659483909075
429179547,32.6003,36.8895,49.2249,0.2974,0.3527,0.4171,0.031733055741435756
429179628,12.0296,16.2304,23.0046,0.118,0.1747,0.2358,0.06904388481989716
429179629,15.0419,19.1389,27.1225,0.1405,0.19,0.2544,0.05487392523583279
429179635,12.397,15.9845,25.3828,0.1943,0.2582,0.3603,0.047962542530693694
429179636,19.5124,19.2074,24.9129,0.1794,0.1689,0.2136,0.07139750161301212
429179637,25.4357,25.3122,32.1905,0.2513,0.2383,0.298,0.05686023067241032
429179638,18.4667,18.8075,24.3808,0.1817,0.1868,0.2189,0.06251769380643689
429179640,14.2372,21.9757,30.806,0.1655,0.292,0.3835,0.05463535211139932
429179642,15.3734,19.3703,29.1115,0.2357,0.2889,0.4123,0.05686023067241032
429179746,9.4588,9.4677,14.253,0.0582,0.0494,0.0654,0.06444121395927624
429179747,9.6481,9.5945,14.4049,0.0588,0.0428,0.0602,0.06283026644890574
429179753,9.1677,9.4279,14.1982,0.1055,0.1003,0.1172,0.06411244968272661
429179867,15.2858,17.6409,23.9322,0.2203,0.2791,0.3242,0.05983849013957345
429179919,24.1382,28.3315,35.2285,0.3685,0.4823,0.5252,0.05192625725187585
429179930,15.2763,17.9016,25.1031,0.3437,0.4182,0.4492,0.044403578072467774
429179931,10.6822,13.0141,17.7296,0.2104,0.2807,0.3038,0.06829345312829196
429179932,14.459,17.2843,24.3201,0.3729,0.4563,0.4768,0.04393781784522013
429179937,5.2288,7.0857,13.1687,0.1072,0.1596,0.182,0.05129044711249124
429179938,9.3733,11.1587,16.3807,0.2193,0.2661,0.2756,0.05535737701133239
429179939,11.382,13.5721,20.3206,0.2461,0.3056,0.3229,0.04393781784522013
429179941,7.7206,9.701,15.2053,0.1386,0.1872,0.22,0.06648685222060789
429179943,11.9512,14.8654,20.8666,0.2757,0.3453,0.3698,0.0541643755046309
429179944,11.8147,14.5151,21.7149,0.2211,0.2799,0.3094,0.04409198179755562
429179945,9.875,12.1917,17.5267,0.1821,0.224,0.2419,0.0589957324588329
429179947,8.6677,11.0758,16.8228,0.2595,0.3241,0.3488,0.05660411406725943
429179949,8.7195,10.9694,16.2807,0.2433,0.2955,0.3198,0.06544805286939072
429179950,8.9267,11.1797,16.6551,0.1772,0.2205,0.2464,0.06283026644890574
429179951,10.1489,12.4778,17.8601,0.1699,0.204,0.2237,0.05983849013957345
429179952,21.6987,18.8449,24.7762,0.5532,0.4691,0.5083,0.06041383338136221
429179953,11.1432,13.4913,18.855,0.1854,0.2241,0.2511,0.06444121395927624
429179954,23.7828,20.4558,26.2906,0.5206,0.4352,0.4868,0.06411244968272661
429179955,8.3271,9.5242,16.0652,0.0987,0.1143,0.1432,0.049086630312145024
429179958,7.1662,8.9537,15.0847,0.1314,0.1609,0.1929,0.05686023067241032
429179959,17.6936,14.9825,21.1695,0.4629,0.3849,0.4348,0.058176383157876974
429179960,6.1046,6.9027,12.2531,0.1768,0.1995,0.2285,0.06100034753906654
429179961,6.2221,7.8051,12.6181,0.1386,0.1611,0.1761,0.06866661880204716
429179962,16.5832,14.2464,19.1889,0.6195,0.5249,0.5719,0.07059533429497317
429179964,13.7837,12.3754,16.7834,0.2785,0.2442,0.2718,0.07479714303071543
