detection_id,B,G,R,nB,nG,nR,Compactness
402905549,18.2369,18.234,17.7906,0.126,0.1317,0.0967,0.08548150399146558
402905552,19.7977,19.4932,22.0944,0.157,0.1502,0.1014,0.050670018704328156
402905553,24.3052,24.2932,24.1507,0.2402,0.2445,0.1575,0.06378702284985524
402905554,16.4306,16.5415,15.9831,0.1304,0.1339,0.0862,0.08975514439115811
402905555,13.2829,13.4648,13.239,0.1012,0.1099,0.0788,0.09894156757337469
402905557,22.7045,22.6781,22.6744,0.1687,0.1731,0.1464,0.06346488289866778
402905558,14.9454,14.8292,14.4632,0.1155,0.1155,0.089,0.10299600257653854
402905559,15.6383,15.5415,14.9811,0.1307,0.1306,0.0977,0.1021587506273488
402905560,14.534,14.3852,14.0687,0.1287,0.1275,0.0962,0.10648688664370398
402905561,15.5333,15.561,14.8839,0.0958,0.101,0.0832,0.10648688664370398
402905562,18.0627,18.1703,17.3457,0.143,0.1508,0.1158,0.08787235948346774
402905563,18.3985,18.4606,17.5113,0.0828,0.0964,0.0588,0.09105580497377844
402905564,19.9848,19.8875,19.1311,0.0838,0.0809,0.0477,0.08726219508235135
402905565,19.7311,19.5555,19.1346,0.103,0.0918,0.0588,0.08787235948346774
402905566,19.4539,19.1682,19.1672,0.0621,0.0516,0.0227,0.08606693785815557
402905567,19.1215,19.0577,18.8789,0.0714,0.0645,0.0187,0.08787235948346774
402905568,17.8399,17.7704,17.5737,0.0794,0.0745,0.0179,0.0937735836449438
402905569,17.9886,17.9183,17.9907,0.0907,0.0885,0.026,0.08849111644335216
402905570,18.4088,18.4348,18.4648,0.0937,0.0941,0.0259,0.08787235948346774
402905576,56.9441,57.8021,53.5897,0.4217,0.43,0.3331,0.04603003942056844
402905577,58.3351,59.2375,56.7144,0.6242,0.6344,0.5397,0.04471960971181389
402905578,59.7627,60.4704,59.1763,0.5123,0.5288,0.4716,0.044403578072467774
402905580,56.0019,57.1167,56.08,0.626,0.6401,0.562,0.04259737366383495
402905581,56.6184,57.4617,56.2277,0.6218,0.6413,0.5662,0.04520218287170602
402905582,57.641,58.3057,56.9642,0.5897,0.594,0.519,0.04586205110904071
402905583,46.5837,47.3392,45.5997,0.4019,0.4136,0.3403,0.05257802831020273
402905584,46.5443,47.2711,45.4087,0.4773,0.4916,0.402,0.05214171140333059
402905706,9.8431,9.6982,12.588,0.2442,0.238,0.2565,0.10559216905199818
402905707,9.8878,9.7119,12.5813,0.215,0.2066,0.2197,0.1038470904936626
402905708,11.8637,11.8002,15.0811,0.7828,0.7962,0.8036,0.09239471398211957
402905709,11.6667,11.5355,14.9701,0.8572,0.8705,0.8787,0.09172037375316221
402905710,11.2605,11.2004,14.4327,0.8192,0.833,0.8411,0.0937735836449438
402905711,9.7054,9.6784,12.6297,0.2581,0.2608,0.2632,0.10299600257653854
402905713,10.3977,10.3904,13.4899,0.7529,0.7768,0.7718,0.09740778003073822
402905743,30.3278,30.8561,32.042,0.2144,0.2132,0.1908,0.06544805286939072
402905745,33.3215,33.0898,34.5565,0.2126,0.2003,0.148,0.06510896233025722
402905846,32.6227,32.8114,34.991,0.2252,0.232,0.187,0.06477336728387235
402905848,32.7902,32.4992,34.0301,0.1465,0.1344,0.0561,0.06579069379816853
402905850,30.5196,29.5852,31.492,0.2095,0.1787,0.1422,0.06904388481989716
402905851,30.012,28.9755,31.6586,0.1592,0.131,0.1091,0.0675591583065621
402905852,30.0397,28.8963,31.4584,0.2322,0.2116,0.188,0.06648685222060789
402905863,18.4161,17.8826,18.7309,0.1889,0.1847,0.1733,0.09447856694680049
402905865,18.3615,17.9778,18.127,0.1424,0.1383,0.1304,0.09172037375316221
402905870,12.8707,13.1948,16.2565,0.2834,0.3,0.3113,0.08666044549832956
402905871,14.5107,15.0388,19.2026,0.4177,0.447,0.4884,0.07305779571290515
402905872,16.3213,17.6221,23.4331,1.0784,1.1949,1.2975,0.06190178642991358
402905873,17.9904,19.3187,25.8732,1.0793,1.1942,1.3395,0.06684048540909966
402905874,16.5023,18.7575,26.0517,0.9107,1.0808,1.2688,0.06510896233025722
402905878,9.8088,9.2511,12.5339,0.1049,0.1003,0.106,0.08975514439115811
402905879,10.693,10.2342,13.3517,0.1256,0.1229,0.1223,0.08490398027194407
402905881,11.4048,11.1303,14.023,0.3673,0.3525,0.3336,0.08666044549832956
402905882,10.7291,10.5316,13.5184,0.3708,0.3593,0.338,0.09172037375316221
402905889,30.9276,30.1651,33.1693,1.6161,1.5657,1.5027,0.07059533429497317
402905894,23.7777,23.7788,26.6139,1.8957,1.8716,1.8041,0.07903061153879146
402905996,17.9402,18.4999,22.1216,0.7946,0.8093,0.8058,0.07435458803139107
402905997,15.2361,15.6446,18.6226,0.7237,0.7344,0.7231,0.09040079679516942
402905998,3.6808,4.2316,9.0002,0.0,0.0,0.0162,0.07662132709270902
402905999,8.7157,10.0746,19.0976,0.0,0.0,0.0299,0.04174827570770436
402906000,11.548,13.3483,24.4822,0.0242,0.0249,0.0624,0.03368975819406328
