detection_id,B,G,R,nB,nG,nR,Compactness
33051074,43.0047,41.7917,46.5601,0.2989,0.2945,0.321,0.05609531562290031
33051075,52.0966,50.7033,58.0324,0.382,0.3783,0.431,0.05463535211139932
33051076,45.6021,44.5932,51.6423,0.2556,0.2559,0.2899,0.05686023067241032
33051077,42.4384,41.6785,48.3294,0.2471,0.2463,0.2809,0.06314598028335774
33051079,32.3303,31.8288,38.7495,0.6138,0.6053,0.6831,0.06510896233025722
33051080,34.9466,34.4535,41.2574,0.6133,0.6044,0.6841,0.0675591583065621
33051082,45.2059,44.6064,55.6542,1.0308,1.0179,1.1552,0.04133493250633472
33051084,33.8746,33.48,42.6207,0.615,0.609,0.6918,0.046199262889625364
33051086,41.5946,40.5559,51.6709,0.5552,0.5435,0.6336,0.03831174723677478
33051087,50.1025,48.6583,59.1836,0.6911,0.6635,0.7715,0.050875153686925724
33051088,51.7649,51.1015,63.0979,0.6566,0.6477,0.7658,0.04348172702451151
33051089,46.5639,45.9448,58.3912,0.5819,0.5698,0.6861,0.04216855084912327
33051090,42.2817,41.4972,53.5317,0.5486,0.5427,0.6585,0.045040172094838404
33051091,40.329,39.5843,50.6956,0.4147,0.4089,0.4962,0.046541470193173916
33051093,28.0705,27.792,37.7021,0.4143,0.4117,0.4957,0.04778018079289879
33051094,34.9859,34.7335,43.9679,0.6529,0.6535,0.7685,0.0589957324588329
33051095,35.6979,35.0775,44.5854,0.6801,0.6782,0.7886,0.05439884443645084
33051096,40.3823,39.3481,49.618,0.547,0.5352,0.6284,0.04688878485347726
33051098,50.1629,48.6263,56.2791,0.5885,0.5756,0.6381,0.05635029433027713
33051100,53.5984,51.8013,57.3587,0.48,0.4684,0.5042,0.05584942297118333
33051101,47.9493,46.3335,52.7323,0.4202,0.4124,0.4544,0.044879318492720414
33051103,27.8325,27.07,36.2832,0.3033,0.2951,0.358,0.04393617974173387
33051104,39.4349,38.5714,49.3909,0.4241,0.4146,0.4994,0.0427422593087034
33051105,53.7717,52.5677,63.5471,0.5396,0.5296,0.6253,0.0502646717369248
33051106,54.152,53.1612,64.3195,0.5337,0.5234,0.6157,0.04947312713553582
33051110,25.5611,25.3892,32.7246,0.7824,0.7816,0.8181,0.05046653131091824
33051111,22.507,22.5415,30.5981,0.9292,0.9323,0.972,0.042310529255340984
33051112,23.0378,23.6351,32.3097,0.6688,0.6816,0.6977,0.03461783669442066
33051114,21.5734,21.4435,25.7169,0.4826,0.482,0.4984,0.06792432131461863
33051116,50.5982,51.9816,62.1951,1.0489,1.082,1.1894,0.04471960971181389
33051117,58.6324,59.6032,70.6877,1.105,1.125,1.2549,0.04706439330664793
33051118,59.4047,60.2626,71.5193,0.9692,0.9876,1.1116,0.046199262889625364
33051119,58.262,58.9802,69.9857,0.835,0.8537,0.9679,0.047419586082077345
33051120,59.2844,60.1262,70.5944,0.8524,0.8739,0.9839,0.049086630312145024
33051121,62.0552,62.8136,72.554,0.8238,0.8442,0.9475,0.05214171140333059
33051123,53.2451,53.243,61.3746,0.3286,0.3307,0.3802,0.04706439330664793
33051124,43.1505,43.0659,49.4734,0.2272,0.2282,0.2579,0.045690334332593764
33051125,35.4342,35.1926,35.9741,0.2755,0.2758,0.2736,0.06477336728387235
33051127,29.9113,30.1298,38.88,0.7197,0.7301,0.8201,0.045038406846808536
33051128,28.7885,29.1129,37.9411,0.7921,0.804,0.8985,0.043784728166320654
33051129,40.0213,40.44,47.5855,0.7427,0.7491,0.8164,0.0539319190680174
33051130,41.0578,41.0625,47.2861,0.6744,0.6772,0.7154,0.06041383338136221
33051131,39.4424,39.1637,45.9397,0.6524,0.6517,0.6991,0.05487392523583279
33051132,35.9947,35.4284,42.0186,0.5399,0.5281,0.578,0.05686023067241032
33051133,32.2399,31.754,38.1971,0.46,0.4474,0.4916,0.05872006370526449
33051134,31.4023,31.0751,37.4821,0.5482,0.5429,0.5795,0.05511459098459456
33051135,29.7313,29.3556,35.6095,0.4995,0.4933,0.5281,0.056098740702361524
33051136,29.4452,28.876,34.7567,0.7024,0.6845,0.7089,0.05899174453406408
33051137,29.0977,28.4072,34.3113,0.705,0.6802,0.7082,0.059274001684944774
33051138,31.521,30.8411,37.1114,0.835,0.805,0.8259,0.05535737701133239
33051139,29.3028,28.5493,34.676,0.6941,0.6623,0.69,0.058176383157876974
33051142,24.6456,24.9595,32.4418,0.6101,0.6146,0.6574,0.04706439330664793
33051143,26.3932,26.783,34.42,0.7659,0.7817,0.8379,0.05046653131091824
33051144,30.3215,31.3067,41.1827,0.8086,0.8484,0.9551,0.0430350075951413
33051145,27.7534,28.7179,38.7311,0.7292,0.7552,0.8556,0.040932366155960825
33051147,44.6447,45.9743,57.7791,0.9535,0.9937,1.1599,0.0502646717369248
33051148,45.6296,47.0275,59.2306,0.9947,1.0401,1.214,0.048146301614186766
33051149,50.1151,50.8597,62.8144,1.1037,1.1279,1.3363,0.05764267775279962
33051150,42.4514,43.5114,52.934,1.0721,1.1064,1.2337,0.05737948033237819
33051154,23.132,24.3355,31.2792,0.8225,0.8713,0.8991,0.04348172702451151
33051166,56.4103,57.7747,60.5592,0.6637,0.6954,0.715,0.06100034753906654
33051167,53.486,54.665,60.1666,0.7905,0.8184,0.8862,0.0539319190680174
33051172,43.9565,44.171,50.5781,0.2477,0.2485,0.2861,0.05006442052760694
33051173,57.5891,57.9467,67.7226,0.4759,0.4836,0.55,0.04079947169724779
33051174,57.2963,57.7563,69.0938,0.5808,0.5953,0.6757,0.04053497014667216
33051175,51.0922,51.5709,64.6014,0.6984,0.7213,0.8251,0.03926952226654826
33051176,43.7439,44.3682,56.9282,0.8416,0.8672,0.9957,0.038901752780779855
33051177,41.7871,42.1655,54.2611,0.7656,0.7868,0.9049,0.04106612917780369
33051178,42.2108,42.7736,55.0583,0.7175,0.735,0.8476,0.03926835483305148
33051179,42.9253,43.4003,55.5324,0.8647,0.884,1.0179,0.040931043226560916
33051180,41.3705,41.8372,53.3678,1.0625,1.0834,1.2226,0.04216710373244153
33051181,38.7536,39.1544,51.1073,1.212,1.2306,1.3566,0.03819530033179143
33051182,39.5873,40.1493,51.6146,1.205,1.2253,1.3604,0.03784166444859349
33051183,38.0027,38.5248,48.0767,1.1926,1.2153,1.3399,0.044403578072467774
33051184,39.3076,39.9911,49.4935,1.0647,1.0902,1.2157,0.04133629519476816
33051185,43.269,43.7367,52.1958,0.726,0.7355,0.8192,0.04079284089668187
33051186,45.4739,46.104,53.4184,0.8701,0.8849,0.9784,0.04424723137071616
33051187,50.1321,50.8664,56.7245,0.6705,0.6801,0.7149,0.04520218287170602
33051188,53.927,54.1762,59.9598,0.8109,0.8097,0.8544,0.047962542530693694
33051221,34.7469,36.3481,46.7907,1.1149,1.1701,1.3281,0.047962542530693694
33051222,25.283,26.3742,36.2808,0.7382,0.7692,0.8972,0.04552972625896745
33051223,82.985,84.6748,100.849,1.431,1.4675,1.6751,0.04456103357379679
33051225,74.0852,75.3712,90.716,1.0193,1.0456,1.1971,0.04318289069619264
33051227,47.3321,48.065,59.7931,0.7127,0.7227,0.843,0.050670018704328156
33051230,41.1294,41.9074,55.1995,0.7197,0.7364,0.8433,0.031494464368959064
33051231,43.0792,44.2383,56.8022,0.8245,0.8488,0.9587,0.0325551446511312
33051241,90.8995,91.564,89.6721,0.5805,0.589,0.5831,0.04688878485347726
33051242,89.4608,89.6979,88.3276,0.508,0.5137,0.5218,0.04409198179755562
33051243,67.3421,66.2306,64.2326,0.4049,0.3889,0.3631,0.04986575853700407
33051245,54.848,53.9455,52.503,0.3087,0.3019,0.2829,0.057118675464029094
33051246,56.1899,55.3742,54.1626,0.319,0.3103,0.288,0.05324636892277132
33051249,43.0077,43.1879,41.9867,1.2387,1.232,1.0544,0.06041383338136221
33051250,44.9827,45.0338,42.7158,0.4666,0.4731,0.424,0.06444121395927624
33051252,46.8101,46.695,43.5337,0.2171,0.2192,0.2248,0.06942531913488556
33051259,34.6384,34.6796,35.6801,0.2546,0.2562,0.242,0.06314598028335774
33051260,38.5406,39.1139,40.5449,0.2803,0.287,0.2755,0.05370144932732833
33051261,45.7616,45.8724,46.7605,0.3044,0.3078,0.2999,0.05302170881884524
33051262,48.2293,48.2934,48.7892,0.3072,0.3091,0.3026,0.05257802831020273
33051263,46.6497,46.5097,47.2469,0.2832,0.2843,0.2808,0.05347294092237722
33051264,46.1421,45.9317,45.9338,0.3418,0.3417,0.3325,0.06012478543760053
33051265,45.2288,44.886,46.0976,0.6043,0.6028,0.5583,0.050670018704328156
33051267,45.4825,45.194,45.123,0.6895,0.6788,0.6261,0.06159836113714365
33051268,42.0797,42.017,42.0196,0.6388,0.6345,0.5873,0.06251769380643689
33051269,39.5425,39.6224,40.5132,0.9454,0.9392,0.8624,0.059274001684944774
33051270,33.9186,33.7941,35.1589,0.7045,0.7022,0.6505,0.06251294187088097
33051271,30.786,30.648,32.1639,0.7444,0.7418,0.6892,0.06579069379816853
33051277,38.2326,37.9484,41.6752,0.3261,0.3234,0.3348,0.06041383338136221
33051285,49.7272,50.5855,56.0573,0.7862,0.8147,0.855,0.06129789587454133
33051288,54.5445,54.1326,60.5358,0.9198,0.9099,0.9366,0.05006442052760694
33051289,51.2321,51.5928,59.2036,1.1475,1.1432,1.187,0.05392887821982816
33051290,47.5518,47.8931,55.6958,0.7413,0.7453,0.8292,0.06251769380643689
33051321,33.4215,32.5915,32.3677,0.1514,0.1491,0.1585,0.06904388481989716
33051322,21.5739,21.3534,23.5059,0.2884,0.2845,0.2624,0.06477336728387235
33051326,40.3291,39.2325,38.9419,0.1754,0.1723,0.1872,0.06099593579634162
33051327,22.6258,23.421,26.9514,0.0994,0.1123,0.1074,0.06099593579634162
33051329,39.7737,38.6787,38.5159,0.1659,0.1644,0.1839,0.0612934187552766
33051331,39.4757,38.3869,38.3086,0.1656,0.1639,0.1831,0.06070132622760052
33051332,39.4079,38.3371,38.0054,0.164,0.1632,0.1822,0.06346488289866778
33051337,38.6195,37.8302,37.1531,0.1577,0.1577,0.1769,0.06477336728387235
33051338,39.1434,38.4642,37.6574,0.1576,0.1576,0.1768,0.06477336728387235
33051345,36.1976,35.4607,35.0547,0.1451,0.1451,0.1641,0.06544805286939072
33051353,75.7142,74.8536,76.9191,0.3188,0.3186,0.3539,0.03610996048940091
33051354,91.9569,91.0118,92.5404,0.3899,0.3897,0.4286,0.032300807583544235
33051355,105.0641,104.1566,104.6256,0.447,0.4461,0.4874,0.03013500719396645
33051371,56.72,56.9264,56.9413,0.4627,0.4717,0.4065,0.05737948033237819
33051373,31.1481,31.3231,36.8905,0.6364,0.6434,0.66,0.05535737701133239
33051374,61.1838,61.6493,67.5533,1.5851,1.5936,1.6328,0.05560231145909046
33051384,39.5361,39.574,44.5796,0.5156,0.5186,0.5504,0.07139750161301212
33051425,59.481,59.9658,60.5436,0.3933,0.4046,0.3868,0.05790830079919458
