detection_id,B,G,R,nB,nG,nR,Compactness
603982859,4.7054,4.6977,6.1276,0.0186,0.0186,0.0254,0.1794818739290955
603982864,9.1536,9.1592,10.6985,0.0365,0.0365,0.0454,0.13807493637999585
603982868,16.7317,16.7322,18.6,0.0673,0.0671,0.0793,0.09894156757337469
603982873,7.788,7.779,9.9982,0.0313,0.0313,0.0428,0.10739689511380088
603982879,4.13,4.1123,6.038,0.0996,0.0961,0.0988,0.1794818739290955
603982895,4.7957,4.7744,6.2095,0.0189,0.0189,0.0254,0.18751471302418415
603982909,9.884,9.8209,12.7669,0.1238,0.122,0.1396,0.11853991327830876
603982912,7.4274,7.7827,10.9392,0.1086,0.1177,0.1348,0.11743226366213184
603982914,3.1053,3.1982,4.7219,0.0533,0.0596,0.0626,0.19328157927359077
603982916,3.5347,4.1798,7.2606,0.0954,0.1191,0.1428,0.14610036423614817
603982917,2.2485,2.4996,4.7294,0.0602,0.0647,0.0878,0.2093793437612272
603982919,1.4408,2.4337,5.4106,0.0063,0.0141,0.0405,0.20262892686416292
603982922,1.7074,2.7163,5.7784,0.0201,0.0334,0.0633,0.1963000700655754
603982924,1.6416,2.4381,5.1252,0.0429,0.0718,0.1191,0.19941430995731257
603982925,4.3323,4.2803,5.1602,0.0339,0.0333,0.0295,0.18475840065665078
603982926,5.0402,5.0075,5.8835,0.0757,0.0739,0.0627,0.16317136358672749
603982927,4.5041,4.386,5.0497,0.0268,0.0259,0.0197,0.18751471302418415
603982929,3.5105,3.8881,6.1871,0.0201,0.0237,0.0412,0.20262892686416292
603982931,3.0562,3.6157,5.0126,0.0311,0.0379,0.0434,0.224325293611701
603982937,6.4332,6.1717,7.9346,0.0862,0.0824,0.0862,0.14781870195462177
603982939,4.6932,4.4825,6.2981,0.0487,0.0457,0.0552,0.16978395275546265
603982943,2.6226,2.5296,4.0385,0.0402,0.0376,0.0396,0.18751471302418415
603982951,3.0484,2.7947,3.9595,0.1232,0.1147,0.1001,0.19328157927359077
603982992,5.1019,4.8842,6.5333,0.0388,0.0368,0.0393,0.1653175867489029
603982995,5.6117,5.4624,7.5434,0.1142,0.1211,0.1348,0.15322506464696445
603982996,3.8487,3.9551,6.0075,0.0942,0.1086,0.1374,0.16108014280507627
603983002,4.668,4.2108,5.2486,0.0615,0.0559,0.0463,0.15904183716398032
603983003,4.5057,4.0352,5.0713,0.063,0.0568,0.0468,0.16317136358672749
603983004,4.0826,3.6727,4.6049,0.0478,0.0404,0.0353,0.18751471302418415
603983005,3.5823,3.1907,4.2848,0.0278,0.0245,0.0232,0.18475840065665078
603983073,2.5191,2.1702,3.298,0.1037,0.0881,0.0743,0.1963000700655754
603983082,1.987,1.8853,3.3813,0.2117,0.2001,0.2007,0.20262892686416292
603983085,1.7717,1.6043,3.0234,0.1565,0.1435,0.1458,0.2129260181386661
603983088,1.7367,1.6853,3.4801,0.0363,0.0361,0.0422,0.16752101074657041
603983090,11.5309,10.7412,15.4836,0.1925,0.1749,0.2105,0.07615699026400004
603983095,5.0377,4.8658,8.0007,0.2879,0.2773,0.298,0.1021587506273488
603983164,3.0171,2.9127,4.559,0.2038,0.1993,0.182,0.15904183716398032
603983168,1.9574,1.8343,3.1788,0.1576,0.1451,0.1379,0.20262892686416292
603983169,4.2595,3.8775,5.1285,0.0403,0.037,0.0358,0.1721088567938853
603983181,7.1529,6.6327,8.4097,0.4452,0.4106,0.3549,0.11527791973048969
603983259,4.9748,4.6082,5.7563,0.0869,0.074,0.0657,0.15705446369492315
603983261,4.4984,4.1899,5.6409,0.1121,0.1023,0.0959,0.15137953892966877
603983263,6.6439,6.2904,9.0717,0.0972,0.0935,0.1008,0.09239471398211957
603983264,2.9126,2.6195,3.4383,0.0241,0.0216,0.0182,0.21659487670178934
603983271,5.5899,6.9106,14.2329,0.1514,0.205,0.3714,0.08106994029334431
603983272,1.1422,1.6505,4.3896,0.0336,0.0474,0.0984,0.19941430995731257
603983273,1.3895,2.1594,5.2206,0.0477,0.0753,0.1363,0.1794818739290955
603983274,1.1949,1.7335,4.5555,0.0257,0.0367,0.0753,0.18475840065665078
603983277,3.7724,3.4297,4.4957,0.0441,0.0355,0.0348,0.18208192715442573
603983410,5.5652,5.2374,6.1934,0.0488,0.0435,0.0431,0.20262892686416292
603983414,5.0553,4.7549,5.8244,0.0484,0.0441,0.0441,0.1963000700655754
603983416,4.6363,4.3806,5.5049,0.0604,0.0551,0.0536,0.1903544897796419
603983419,2.5478,2.3799,4.0728,0.1347,0.1277,0.1227,0.16108014280507627
603983420,2.9322,2.7178,4.2287,0.134,0.1257,0.1197,0.16978395275546265
603983421,2.8658,2.5841,4.3249,0.1473,0.1336,0.1268,0.15511613727099602
603983434,1.6151,1.6889,3.2149,0.0512,0.0542,0.0607,0.2093793437612272
603983435,2.6286,2.5584,4.7429,0.0635,0.0613,0.0741,0.14781870195462177
603983565,2.7002,2.7504,4.9268,0.0512,0.0506,0.0593,0.14610036423614817
603983568,3.3618,3.3415,5.9875,0.0938,0.0922,0.1018,0.11966865507387159
603983584,6.2611,6.0478,8.6891,0.2209,0.2173,0.224,0.10926437976474195
603983585,6.6657,6.4528,9.5864,0.1819,0.1787,0.1937,0.09519422993221213
603983599,2.5931,2.5766,4.3183,0.4369,0.4263,0.4311,0.1794818739290955
603983602,3.195,3.2812,5.3032,0.0542,0.0556,0.065,0.15904183716398032
603983749,6.0001,5.4673,6.9426,0.0623,0.0542,0.0557,0.14610036423614817
603983750,4.6449,4.2205,5.8286,0.0467,0.0416,0.0439,0.1495779344429456
603983859,3.5342,3.1921,4.1073,0.036,0.0305,0.0291,0.1963000700655754
