detection_id,B,G,R,nB,nG,nR,Compactness
56070956,5.7901,5.9365,7.1716,0.0374,0.0384,0.0424,0.1903544897796419
56070971,5.2218,5.2419,6.4153,0.033,0.0332,0.0381,0.19941430995731257
56070993,5.1732,5.1456,6.2455,0.0305,0.0302,0.0351,0.2129260181386661
56071016,5.1862,5.1634,6.2668,0.0254,0.0253,0.0309,0.20262892686416292
56071029,4.242,4.2432,5.2276,0.0234,0.0232,0.0276,0.23262772230212783
56071109,6.9403,6.5121,7.532,0.2937,0.2772,0.2228,0.12691981982432735
56071236,7.0801,7.4865,10.6163,0.1955,0.2144,0.2386,0.10559216905199818
56071444,7.4693,7.5251,8.5973,0.2073,0.2114,0.1817,0.15322506464696445
56071452,32.6497,33.0084,34.2012,0.9995,1.0216,1.0442,0.08055030487456037
56071460,28.6684,27.4112,23.2052,1.1161,1.0566,0.7457,0.08726219508235135
56071482,22.8335,23.0117,24.304,0.5623,0.5675,0.5139,0.09972671719555438
56071608,4.9721,5.015,6.8595,0.2107,0.2111,0.2132,0.14610036423614817
56071676,8.8336,9.2268,11.2962,0.0037,0.0108,0.0104,0.1256508846247525
56071684,17.2842,18.1556,21.3759,0.1809,0.199,0.2115,0.08975514439115811
56071692,22.5682,23.9824,28.3403,0.945,1.0092,1.0637,0.08490398027194407
56071730,18.2037,19.0589,23.4333,0.1498,0.1585,0.1737,0.08321729873508964
56071746,4.0962,4.3101,6.2689,0.025,0.0281,0.0331,0.14610036423614817
56071762,5.1156,5.3342,7.116,0.0308,0.0321,0.0388,0.15904183716398032
56071786,4.7815,4.868,6.7375,0.0247,0.0258,0.0264,0.14610036423614817
56071794,4.6699,4.7838,6.7345,0.0268,0.0288,0.0343,0.1427807996875266
56071802,4.3333,4.4632,6.0132,0.033,0.0347,0.0378,0.16978395275546265
56071895,2.692,2.686,3.9736,0.0065,0.0064,0.0097,0.22840111198938143
56071909,3.2053,3.3379,4.7765,0.0259,0.0268,0.0301,0.1963000700655754
56071916,2.0932,2.1647,3.3208,0.0175,0.0179,0.023,0.23701364694242527
56071931,5.9718,6.0822,8.2485,0.0545,0.0557,0.0603,0.1256508846247525
56071938,3.5735,3.6893,5.0184,0.0168,0.0186,0.0103,0.17695501477362918
56071945,6.5205,6.5366,7.9952,0.12,0.1206,0.12,0.15904183716398032
56071952,4.939,4.9326,6.3309,0.1304,0.1298,0.1263,0.1653175867489029
56071959,4.159,4.1123,5.1582,0.1183,0.1167,0.1061,0.20262892686416292
56071988,3.3252,3.3435,4.2063,0.4035,0.4067,0.3419,0.22039234176969208
56072064,9.7359,10.1768,13.1308,0.0275,0.034,0.0417,0.10648688664370398
56072084,17.5062,17.9804,23.0806,0.0779,0.0821,0.1014,0.06283026644890574
56072091,20.0297,20.7263,26.7927,0.1234,0.1289,0.1538,0.05535737701133239
56072105,15.2938,15.7943,22.2874,0.5723,0.596,0.6521,0.05257802831020273
56072112,3.5185,3.6063,5.8543,0.0287,0.03,0.0392,0.12953615542145414
56072155,1.6889,1.7964,2.923,0.1285,0.1377,0.1253,0.23262772230212783
56072162,2.0804,2.2866,3.7158,0.0069,0.0124,0.0225,0.22840111198938143
56072169,3.3045,3.5223,5.1054,0.01,0.0124,0.0188,0.19328157927359077
56072183,3.6986,3.7548,5.324,0.0139,0.0149,0.0202,0.1903544897796419
56072198,2.727,2.7887,4.2319,0.0222,0.0228,0.0288,0.20262892686416292
56072205,2.6523,2.7372,4.1125,0.0225,0.0225,0.0286,0.1963000700655754
56072278,5.0601,5.0463,6.9945,0.0419,0.0423,0.0507,0.14610036423614817
56072285,4.5878,4.7365,6.5955,0.0172,0.0191,0.0239,0.15322506464696445
56072314,5.537,5.6175,7.4333,0.0427,0.0437,0.05,0.1351063003197879
56072349,10.9342,11.0073,12.6686,0.1933,0.1915,0.1591,0.10648688664370398
56072356,9.642,9.5576,11.0629,0.4197,0.414,0.3654,0.11527791973048969
56072363,6.067,5.7631,7.31,0.1531,0.1392,0.1179,0.12081909724428652
56072369,6.3434,6.1344,7.6888,0.136,0.1277,0.1099,0.12081909724428652
56072382,5.6375,5.3245,6.69,0.1429,0.133,0.114,0.13226261511265314
56072387,11.203,11.2839,12.4973,0.7142,0.7158,0.6427,0.13088518977836702
56072394,9.4732,9.5582,10.623,0.5414,0.5437,0.471,0.1427807996875266
56072408,5.6049,5.9183,8.2035,0.0273,0.0331,0.0454,0.14781870195462177
56072443,2.5992,2.6285,4.1312,0.016,0.0162,0.0205,0.1963000700655754
56072449,2.8005,2.9288,4.4458,0.0322,0.035,0.0423,0.19941430995731257
56072463,4.3761,4.4931,6.5109,0.0974,0.1028,0.1098,0.1495779344429456
56072470,3.2722,3.4213,5.1553,0.0102,0.0178,0.0242,0.17695501477362918
56072477,4.4348,4.6251,6.5805,0.0122,0.016,0.0239,0.16108014280507627
56072489,14.4035,14.2378,15.2181,0.4873,0.4737,0.4108,0.10926437976474195
56072496,13.9873,13.8865,14.8931,0.3221,0.3174,0.2772,0.11743226366213184
