detection_id,B,G,R,nB,nG,nR,Compactness
430451754,7.5343,7.2579,7.7799,0.1178,0.1139,0.0424,0.08055030487456037
430451755,11.8201,11.3929,8.7835,0.1723,0.1652,0.0531,0.12199187159268324
430451756,12.3292,11.8861,9.2582,0.1297,0.1263,0.0365,0.11119795425652645
430451757,12.1038,11.5465,9.5659,0.1182,0.1085,0.0341,0.10926437976474195
430451759,11.8281,11.3662,9.4216,0.1571,0.1483,0.0509,0.10471236017896915
430451760,12.7466,12.0835,10.7611,0.1099,0.1031,0.032,0.1132011898318306
430451761,14.2747,13.4927,11.78,0.1794,0.1695,0.0759,0.10926437976474195
430451762,13.8584,13.0529,11.7618,0.1359,0.1275,0.0416,0.10052442674077641
430451763,14.4947,14.1632,12.2787,0.109,0.1055,0.0365,0.10052442674077641
430451764,14.4707,14.052,12.4006,0.1412,0.1359,0.0615,0.09894156757337469
430451765,13.753,13.4239,11.8688,0.1277,0.1255,0.0525,0.1038470904936626
430451766,13.3873,13.1235,11.6223,0.0861,0.0837,0.0255,0.10471236017896915
430451767,12.5444,11.7485,10.7075,0.0802,0.0621,0.0201,0.11966865507387159
430451768,13.5135,12.6362,11.5673,0.0859,0.0702,0.0205,0.10739689511380088
430451769,13.5141,12.6709,11.6693,0.0944,0.0772,0.0245,0.1021587506273488
430451770,13.2868,12.4248,11.5906,0.1,0.0802,0.0331,0.10299600257653854
430451783,4.5301,3.8773,5.2352,0.0066,0.0064,0.0158,0.1132011898318306
430451784,15.4401,14.5545,13.0907,0.1602,0.1491,0.0682,0.09665858053229819
430451785,6.1638,5.4886,7.2204,0.0507,0.0456,0.0496,0.08849111644335216
430451786,15.9024,14.9793,13.5757,0.1735,0.1597,0.0707,0.08911864874469005
430451787,6.3566,5.6536,7.3343,0.0888,0.0801,0.0756,0.09105580497377844
430451788,14.2918,13.3865,12.277,0.1107,0.0975,0.0337,0.09816868357674101
430451789,13.9158,13.0099,11.9176,0.1604,0.1448,0.0591,0.1021587506273488
430451790,13.2006,12.262,11.5723,0.1457,0.1329,0.0441,0.09894156757337469
430451791,13.0935,12.1952,11.4193,0.122,0.1113,0.037,0.10133499999681532
430451792,12.8518,11.9989,11.2083,0.1405,0.1297,0.0456,0.09972671719555438
430451793,11.5025,10.7069,10.1314,0.1142,0.1086,0.0527,0.10739689511380088
430451794,11.4466,10.6148,10.0995,0.1279,0.1218,0.0614,0.10471236017896915
430451796,17.6389,16.4971,20.0138,0.243,0.2252,0.2367,0.08975514439115811
430451801,13.9859,12.7192,11.9296,0.1912,0.1669,0.1061,0.09040079679516942
430451802,19.3793,17.518,15.6937,0.3615,0.3209,0.2002,0.08212958633865283
430451803,24.9684,22.7932,20.1515,0.6358,0.5756,0.3762,0.06904388481989716
430451804,26.5657,24.3755,21.1592,0.6089,0.5518,0.3506,0.06719790044098876
430451805,25.5119,23.5203,20.6705,0.6399,0.5812,0.3694,0.0661369411690469
430451806,20.8798,19.2271,17.4539,0.5435,0.4942,0.3103,0.07348500463068167
430451807,18.4326,17.0122,15.821,0.5403,0.4903,0.3132,0.07615699026400004
430451808,15.4732,14.2445,13.4365,0.4036,0.3617,0.2336,0.08548150399146558
430451809,18.5035,16.8956,14.4932,0.8546,0.7755,0.4805,0.08321729873508964
430451810,25.8947,23.6487,18.8098,1.1698,1.057,0.6544,0.06866661880204716
430451811,32.9548,30.6152,23.0147,1.1167,1.0071,0.659,0.05844695914181379
430451813,26.936,25.0952,18.6483,0.7688,0.6993,0.4263,0.058176383157876974
430451828,27.5759,26.0615,18.9382,1.216,1.102,0.6892,0.06012478543760053
430451829,16.3727,15.0384,12.8148,0.8707,0.7929,0.4482,0.077091360650504
430451830,21.6185,19.3875,16.1069,1.0224,0.9215,0.5456,0.07615699026400004
430451831,31.2554,28.2634,23.688,0.8551,0.7537,0.4598,0.05872006370526449
430451832,32.2143,29.1143,24.3526,0.826,0.7341,0.4458,0.05790830079919458
430451833,34.13,30.7112,26.4137,0.9926,0.8819,0.5596,0.06190178642991358
430451848,22.146,20.1203,30.6412,0.2621,0.2328,0.3554,0.07662132709270902
430451850,38.2962,36.2447,50.9029,0.4412,0.4348,0.6441,0.06544805286939072
430451851,7.7408,8.5939,14.8313,0.0129,0.017,0.0468,0.03579896503793363
430451863,24.4774,22.8277,33.01,0.4328,0.4048,0.4817,0.0675591583065621
430451876,11.3808,10.4992,8.5446,0.3922,0.3545,0.1784,0.10739689511380088
430451877,11.3215,10.5212,8.9228,0.703,0.6558,0.3208,0.0937735836449438
430451881,10.7427,10.0023,8.129,0.3668,0.3423,0.1579,0.1132011898318306
430451882,12.431,11.4619,9.5477,0.3354,0.3081,0.1457,0.1021587506273488
430451883,13.2478,12.3607,10.0505,0.3126,0.2902,0.1435,0.09894156757337469
430451886,12.7179,11.837,9.7405,0.2654,0.2496,0.1181,0.10052442674077641
430451888,12.6707,11.5976,11.1553,0.1557,0.1365,0.0742,0.10133499999681532
430451889,13.2018,12.1893,11.6175,0.1483,0.1296,0.0686,0.10133499999681532
430451891,12.0466,11.0137,9.9686,0.1872,0.1738,0.089,0.10471236017896915
430451892,11.605,10.4953,9.632,0.1857,0.1709,0.0929,0.1021587506273488
430451893,10.941,9.8957,9.1785,0.15,0.1365,0.0794,0.1038470904936626
430451894,10.8669,9.8141,9.1678,0.1817,0.1623,0.0927,0.1021587506273488
430451904,16.7979,14.1263,18.2313,0.0819,0.0508,0.0649,0.08548150399146558
430451905,18.3552,15.3701,19.2855,0.1045,0.0661,0.078,0.08975514439115811
430451906,21.7829,18.5571,22.2448,0.1453,0.0919,0.0966,0.08490398027194407
430451907,26.1942,22.0183,25.2722,0.3009,0.2179,0.2191,0.07662132709270902
430451908,36.3128,30.9078,35.2103,0.5438,0.4175,0.4046,0.0502646717369248
430451909,35.7779,30.4658,34.0789,0.5855,0.4814,0.4447,0.050670018704328156
430451910,34.7975,29.8969,32.824,0.5347,0.4392,0.3903,0.05129044711249124
430451911,34.8195,29.8746,32.622,0.4542,0.3707,0.3277,0.04947312713553582
430451912,33.7747,29.5267,31.2909,0.4408,0.3704,0.2981,0.05192625725187585
430451913,34.4595,30.6387,32.1053,0.3814,0.3311,0.2747,0.051500646728563054
430451915,39.6792,35.7004,36.4103,0.3719,0.3281,0.2732,0.051500646728563054
430451916,17.1708,16.3511,24.8077,0.3342,0.3214,0.4817,0.08321729873508964
430451917,24.0839,21.715,23.362,0.2104,0.18,0.1412,0.06159836113714365
430451918,43.4652,41.0725,53.7519,0.5279,0.4882,0.6421,0.05686023067241032
430451919,26.5283,24.5395,28.5687,0.2284,0.1977,0.2308,0.07221810771057427
430451920,14.2376,13.1397,13.9639,0.1377,0.1294,0.0992,0.08055030487456037
430451921,40.8679,37.5567,44.0816,0.4375,0.3789,0.424,0.06041383338136221
430451922,28.2766,25.5234,23.3209,0.3175,0.28,0.1671,0.07221810771057427
430451923,26.2961,24.0733,31.9916,0.3093,0.2494,0.335,0.06544805286939072
430451924,43.4871,41.1164,34.9035,0.4742,0.4258,0.2774,0.05635029433027713
430451925,20.0074,18.9939,28.2294,0.3007,0.2884,0.4097,0.06942531913488556
430451926,12.89,11.6172,10.9244,0.1297,0.1157,0.0615,0.10648688664370398
430451928,21.009,18.425,16.2577,0.2486,0.2186,0.1125,0.08055030487456037
430451929,23.1742,20.4708,17.954,0.3089,0.2684,0.1564,0.07348500463068167
430451930,21.5827,19.9476,15.527,0.7872,0.7207,0.3575,0.07263552511680024
430451931,20.7383,18.924,14.6498,1.553,1.405,0.7245,0.07221810771057427
430451932,21.2854,19.244,14.5316,1.4132,1.2843,0.6525,0.06904388481989716
430451933,20.9254,19.7424,13.2773,0.7106,0.6659,0.3224,0.07059533429497317
430451940,10.9482,10.6216,7.7884,0.4469,0.4129,0.2357,0.10133499999681532
430451941,15.6426,15.0502,10.6106,0.3513,0.3287,0.1878,0.08433420746488306
430451942,18.7824,17.9826,13.1392,0.4091,0.3855,0.2165,0.07263552511680024
430451955,38.5317,35.2554,32.5717,0.6872,0.6083,0.4184,0.047962542530693694
430451958,25.2553,22.3606,24.0322,0.3927,0.3391,0.2842,0.06220821570931003
430451959,22.7186,19.7855,21.232,0.2432,0.189,0.1578,0.06981099120988524
430451960,20.8315,18.5501,19.8877,0.2151,0.1734,0.1388,0.07391723900466864
430451961,21.8203,19.3091,20.7965,0.1716,0.1393,0.1153,0.07662132709270902
430451962,19.8755,17.4971,19.776,0.1672,0.141,0.1218,0.07804894248762141
430451963,19.1233,16.9386,19.3115,0.2106,0.1838,0.1584,0.07615699026400004
430451964,15.8359,14.1464,16.4938,0.1292,0.1083,0.098,0.08433420746488306
430451965,15.9698,14.4762,16.8626,0.1647,0.1455,0.1286,0.07756719641593564
