detection_id,B,G,R,nB,nG,nR,Compactness
431276684,10.8187,10.4011,15.5242,0.2976,0.2841,0.3322,0.07305779571290515
431276685,44.173,43.6569,51.9641,1.5949,1.5759,1.6871,0.04688878485347726
431276686,25.3619,25.4249,33.0947,0.1329,0.1431,0.1961,0.047419586082077345
431276688,33.9287,32.723,39.384,0.3293,0.3207,0.3578,0.06648685222060789
431276706,27.4446,27.2485,32.2774,0.1409,0.1396,0.1591,0.07391723900466864
431276715,20.6142,20.1273,26.8807,0.4029,0.3955,0.4404,0.05635029433027713
431276717,23.8186,23.4705,30.0832,0.0952,0.0945,0.1281,0.05370144932732833
431276718,32.036,32.1402,40.7698,0.3087,0.3134,0.3531,0.03902561695436705
431276719,27.5533,27.259,33.4634,2.8991,2.9151,2.9559,0.05686023067241032
431276720,22.1894,22.0086,28.028,0.0802,0.0883,0.118,0.059274001684944774
431276721,33.1739,33.0646,38.4612,0.6747,0.6894,0.721,0.06510896233025722
431276722,47.373,46.574,54.1466,4.2983,4.252,4.3124,0.05108195634991484
431276725,38.0029,37.4849,45.9646,0.978,0.9609,1.0044,0.04889563761385481
431276726,55.3503,53.6255,62.49,0.2995,0.2921,0.3273,0.05347294092237722
431276727,38.468,37.8285,44.805,0.8272,0.8075,0.876,0.057118675464029094
431276729,39.3757,38.0499,45.8216,0.322,0.3125,0.3505,0.054626851241368055
431276730,41.5871,40.5664,47.0163,0.2767,0.2691,0.2998,0.06684048540909966
431276731,28.6561,28.695,33.2466,0.2608,0.2606,0.2729,0.06829345312829196
431276737,54.3067,53.1479,61.5074,0.2589,0.2543,0.2858,0.04947312713553582
431276738,28.2729,28.7718,35.6344,0.0002,0.0092,0.0379,0.05983849013957345
431276747,31.3464,30.4981,37.0945,0.188,0.182,0.2128,0.05983849013957345
431276748,15.8916,16.5312,21.4561,0.2929,0.3166,0.3281,0.06190178642991358
431276751,45.8873,44.8474,53.3956,0.3544,0.3527,0.3923,0.04569528448132631
431276753,25.0661,25.4882,32.2004,0.3587,0.3715,0.3891,0.048146301614186766
431276762,12.2804,12.1947,16.1558,0.0444,0.0437,0.0599,0.09592081711552267
431276763,16.2032,15.894,19.5439,0.3635,0.3568,0.3801,0.09592081711552267
431276764,13.9993,13.5242,17.3786,0.4833,0.4677,0.5015,0.09592081711552267
431276765,13.7908,13.3738,17.1921,0.206,0.1994,0.2196,0.09592081711552267
431276766,45.0389,44.5836,51.6191,0.1849,0.1844,0.2095,0.05129044711249124
431276769,13.5126,13.4232,18.022,0.038,0.0355,0.0655,0.08003728818317192
431276770,14.9138,14.5849,19.1007,0.2862,0.2787,0.2994,0.07615699026400004
431276771,25.4875,25.7699,29.7547,0.1019,0.1019,0.1182,0.07615699026400004
431276772,15.7023,15.6989,21.0077,0.0359,0.0363,0.0603,0.07099415216660818
431276774,6.8875,6.7158,11.7413,0.0789,0.0719,0.0943,0.06477336728387235
431276775,22.0319,20.8659,26.6095,0.4214,0.3992,0.4295,0.06719790044098876
431276776,13.4497,13.4129,18.1277,0.0044,0.0039,0.0247,0.07853670966610296
431276777,13.8712,13.4616,17.84,0.003,0.0014,0.0174,0.08266986501266944
431276778,18.8256,17.8353,22.7755,0.6139,0.5765,0.6064,0.07099415216660818
431276779,18.4737,18.0953,23.487,0.1952,0.1851,0.2051,0.06251769380643689
431276781,19.1262,18.5098,22.9828,0.0875,0.085,0.1026,0.0937735836449438
431276803,22.5812,21.2141,26.3606,0.3021,0.2761,0.3068,0.0752449975094086
431276804,35.5886,34.3108,41.7275,0.2125,0.1976,0.2361,0.05535737701133239
431276807,13.163,13.1014,19.0847,0.0125,0.0125,0.0371,0.06190178642991358
431276812,6.5116,6.3865,12.2442,0.3218,0.3165,0.3418,0.05439884443645084
431276815,10.0354,9.8731,13.3166,0.0686,0.0661,0.0803,0.08321729873508964
431276816,19.0453,18.4049,23.3871,0.0931,0.0891,0.1098,0.08266986501266944
431276817,20.422,20.8359,28.4298,0.0,0.0027,0.0494,0.05511459098459456
431276819,9.3242,9.0076,15.484,0.4573,0.4349,0.461,0.04927912092245134
431276828,44.5023,44.0468,49.8624,0.4577,0.4624,0.4675,0.04120076930564869
431276829,66.6227,64.6338,74.8653,0.4477,0.4297,0.4817,0.04759920052280796
431276830,19.3321,19.0628,25.0723,0.8521,0.8338,0.8474,0.05129044711249124
431276833,25.4459,24.7458,30.9629,0.1076,0.1071,0.128,0.06314598028335774
431276834,16.1764,15.6025,20.9975,0.5832,0.5588,0.5768,0.05790830079919458
431276836,17.5777,17.3774,21.7615,0.1413,0.1403,0.1484,0.06100034753906654
431276837,26.7993,26.4967,32.8591,0.108,0.108,0.1312,0.05370144932732833
431276845,23.8073,23.1673,29.2909,0.1724,0.1685,0.1856,0.04393781784522013
431276846,29.1916,27.9123,36.3923,0.192,0.1804,0.2176,0.04363270157106099
431276852,13.5888,13.1925,19.0651,0.1096,0.1082,0.1301,0.048331474165630606
431276856,16.2462,15.9732,21.0157,0.6626,0.6506,0.7081,0.07903061153879146
