detection_id,B,G,R,nB,nG,nR,Compactness
429346392,21.7988,19.993,26.0968,0.1036,0.1003,0.1217,0.06411244968272661
429346396,11.3012,11.155,14.4657,0.0999,0.0989,0.0833,0.05737948033237819
429346402,10.7383,10.5436,13.8447,0.113,0.1095,0.1097,0.06251769380643689
429346404,28.4562,27.8791,28.8483,0.1133,0.1052,0.0731,0.04671448198421
429346405,30.6272,30.0457,29.7519,0.1816,0.1833,0.1248,0.05192625725187585
429346406,13.7425,13.5428,16.3536,1.3069,1.3074,1.1268,0.06314598028335774
429346408,10.2256,10.8327,14.0032,0.1275,0.1268,0.1252,0.06719790044098876
429346410,27.5551,27.3494,25.5092,0.1613,0.1521,0.0575,0.06719790044098876
429346411,11.0962,11.7186,14.7144,0.2312,0.2275,0.2032,0.06648685222060789
429346422,21.3867,20.9511,21.0463,0.0482,0.0252,0.0202,0.06159836113714365
429346427,8.8518,9.5489,12.989,0.0017,0.0017,0.0208,0.06510896233025722
429346429,29.1311,28.4951,27.1508,0.0333,0.029,0.0191,0.06648685222060789
429346430,8.5994,9.5745,12.7795,0.0045,0.0043,0.0226,0.06684048540909966
429346464,27.0164,26.472,28.1394,0.1046,0.1023,0.1107,0.06981099120988524
429346475,27.2853,26.8304,28.7978,0.1769,0.1745,0.1802,0.06942531913488556
429346513,15.2037,14.9284,16.5378,0.2393,0.2435,0.2272,0.09447856694680049
429346514,19.8959,19.3683,18.3377,0.0009,0.001,0.0136,0.09105580497377844
429346516,17.159,17.1387,18.7661,0.1521,0.1587,0.1544,0.09105580497377844
429346518,15.8673,15.8581,15.4733,0.21,0.2041,0.1513,0.08787235948346774
429346519,17.8793,17.8582,19.6635,0.1542,0.1555,0.1571,0.08787235948346774
429346520,3.1513,4.176,8.1073,0.0,0.0,0.0147,0.08433420746488306
429346535,3.1551,3.9666,7.2677,0.0,0.0,0.0137,0.09040079679516942
429346541,12.4039,12.5886,12.7809,0.3791,0.3864,0.2842,0.08787235948346774
429346542,11.7259,12.1249,15.3745,0.996,1.0208,1.0068,0.08726219508235135
429346544,18.9193,18.7365,18.0003,0.009,0.006,0.0138,0.08975514439115811
429346545,13.1567,13.075,12.984,0.3693,0.3635,0.2584,0.08975514439115811
429346565,11.4893,11.3377,11.8363,0.3304,0.3254,0.2293,0.0937735836449438
429346566,10.0348,10.063,13.2792,0.2171,0.217,0.2304,0.09447856694680049
429346567,2.4224,2.9245,6.135,0.0,0.0,0.0128,0.09665858053229819
429346570,17.6609,17.3909,16.9068,0.0,0.0,0.0135,0.09172037375316221
429346575,12.3275,12.2869,12.8482,0.3109,0.3017,0.2306,0.0937735836449438
