detection_id,B,G,R,nB,nG,nR,Compactness
432913613,3.7576,4.0,5.346,0.0225,0.0237,0.0265,0.16978395275546265
432913615,3.8031,4.2354,5.5549,0.0412,0.0485,0.048,0.16317136358672749
432913616,4.6817,5.2468,6.4641,0.0223,0.0263,0.0265,0.1653175867489029
432913617,4.148,4.5946,5.8784,0.021,0.0232,0.0244,0.1794818739290955
432913618,4.0231,4.4733,5.8164,0.0175,0.0206,0.0224,0.17695501477362918
432913619,4.9926,5.4434,6.6037,0.0217,0.0246,0.0269,0.18475840065665078
432913620,5.1755,5.6098,6.7352,0.0208,0.0226,0.0249,0.18751471302418415
432913621,3.5631,3.8405,5.0219,0.0136,0.0153,0.018,0.18208192715442573
432913639,2.3695,2.3794,3.7768,0.0026,0.0026,0.0121,0.12440706908215582
432913663,17.5215,17.2731,19.8473,0.0231,0.0245,0.0613,0.0404059159192194
432913676,11.0839,10.8942,14.3131,0.0748,0.08,0.0997,0.06510896233025722
432913700,6.1786,6.2187,8.3954,0.0684,0.0742,0.0989,0.1038470904936626
432913753,3.3914,3.5819,4.7493,0.0649,0.0718,0.0634,0.1495779344429456
432913782,2.9741,2.7935,4.0765,0.1056,0.0991,0.0794,0.15904183716398032
432913783,3.2011,3.2056,4.6484,0.1333,0.1329,0.1152,0.15904183716398032
