detection_id,B,G,R,nB,nG,nR,Compactness
427614841,9.9624,8.14,8.9462,0.5596,0.4555,0.3448,0.11022268844923072
427614859,29.1441,29.8342,41.3687,0.4266,0.4506,0.5702,0.05129044711249124
427614860,38.9937,39.919,56.1599,0.9263,0.9546,1.1163,0.026793844861319915
427614866,16.3165,14.3733,19.2331,0.4167,0.3544,0.3715,0.07180546030797123
427614867,19.1667,16.7474,23.0665,0.418,0.3522,0.3895,0.05872006370526449
427614873,20.0862,18.2795,21.5352,0.2195,0.1965,0.2047,0.07180546030797123
427614874,18.3588,16.3973,18.8452,0.7979,0.71,0.6809,0.09172037375316221
427614875,20.4988,18.2208,20.436,0.6935,0.6152,0.582,0.08975514439115811
427614876,22.6601,20.1495,21.8883,0.7978,0.7051,0.6583,0.09172037375316221
427614878,21.6853,18.8442,20.4291,1.0373,0.8885,0.8193,0.09447856694680049
427614879,17.6455,15.4416,16.6694,0.9386,0.8178,0.7457,0.11022268844923072
427614898,9.3027,8.2277,13.8013,0.1455,0.1335,0.1857,0.07804894248762141
427614899,9.3963,8.5891,14.4972,0.1251,0.113,0.1634,0.07263552511680024
427614900,14.488,12.6325,19.5897,0.1156,0.0875,0.1318,0.058176383157876974
427614901,23.3997,19.9875,28.5209,0.2255,0.1728,0.2381,0.05347294092237722
427614902,13.1865,11.496,18.8365,0.1182,0.0901,0.1444,0.058176383157876974
427614903,12.6818,10.9391,18.1731,0.0948,0.069,0.1145,0.056098740702361524
427614905,27.116,23.4815,28.1878,0.2455,0.1752,0.1999,0.07020097205976435
427614906,30.9629,26.8226,31.7999,0.2861,0.2362,0.2566,0.06684048540909966
427614907,30.6553,26.7293,31.4708,0.3253,0.2577,0.2781,0.06190178642991358
427614908,30.2772,26.5547,31.2527,0.3256,0.2565,0.2683,0.06100034753906654
427614909,29.6886,25.4651,29.3897,0.2621,0.2137,0.2189,0.0675591583065621
427614910,27.5614,23.6899,28.1254,0.233,0.1843,0.1961,0.0607056738604871
427614911,28.9053,25.0327,29.4063,0.2406,0.1775,0.1819,0.06477336728387235
427614912,27.2489,23.4352,28.1053,0.2861,0.2342,0.2484,0.06346488289866778
427614913,26.2327,22.7965,26.3329,0.2332,0.188,0.1816,0.06829345312829196
427614914,23.8803,21.0204,24.2434,0.1971,0.1505,0.1463,0.06829345312829196
427614915,25.8811,22.5837,25.8943,0.2046,0.1497,0.1493,0.06942531913488556
427614916,28.3457,24.6068,27.574,0.2799,0.2116,0.2171,0.06942531913488556
427614962,20.3891,16.6476,17.5951,0.617,0.4991,0.3866,0.06159836113714365
427614963,15.0903,12.3584,14.9034,0.4808,0.3887,0.3113,0.05635029433027713
427614964,10.3345,8.3663,9.75,0.2124,0.1763,0.1412,0.08548150399146558
427614965,11.1993,8.9773,10.4123,0.3126,0.2546,0.1971,0.08321729873508964
427614970,22.2855,20.3645,22.1705,0.163,0.1474,0.1527,0.08726219508235135
427614972,39.5934,34.9071,37.9318,0.754,0.6461,0.6199,0.06159836113714365
427614973,50.7455,44.6037,47.1786,0.8751,0.7533,0.7022,0.05324636892277132
427614976,54.0786,47.4746,49.5522,0.7519,0.6381,0.5974,0.05257802831020273
427614977,52.7932,46.3083,48.6237,0.8857,0.7564,0.7117,0.05279893651282317
427614978,44.5968,39.0161,41.4609,0.7699,0.656,0.617,0.05790830079919458
427614979,36.1273,31.7548,34.2274,0.8378,0.7224,0.6906,0.06477336728387235
427614980,32.429,28.3397,30.7914,0.7732,0.6633,0.6312,0.06981099120988524
427614981,27.532,24.0624,26.0897,0.6653,0.5668,0.5416,0.08266986501266944
427614982,27.2405,23.7209,25.8867,0.7254,0.6168,0.5906,0.08212958633865283
427614983,26.8231,23.4044,25.5648,0.6075,0.5201,0.4942,0.08003728818317192
427614984,19.0065,16.3979,19.1849,0.6996,0.5978,0.5729,0.08003728818317192
427614985,16.67,14.2724,16.6834,0.4414,0.3706,0.3576,0.09972671719555438
427614986,32.1587,27.5385,29.9621,0.726,0.6071,0.5755,0.07756719641593564
427614987,33.873,29.0232,31.504,0.9098,0.7677,0.7216,0.07391723900466864
427614988,36.2596,31.2062,33.6238,0.8391,0.7063,0.6717,0.07391723900466864
427614989,36.473,31.4827,33.972,1.0026,0.8469,0.8037,0.07348500463068167
427614990,33.012,28.7227,30.8074,0.8757,0.7536,0.7019,0.0752449975094086
427614991,31.212,27.3564,29.2746,0.7985,0.6909,0.6475,0.07953076456813789
427614992,30.9643,27.0125,28.4895,0.6163,0.5358,0.4956,0.08266986501266944
427614993,45.661,39.396,40.6403,0.914,0.7832,0.7128,0.0675591583065621
427614994,49.1878,42.2669,43.8136,1.1059,0.9454,0.869,0.06220821570931003
427614995,50.4336,43.6872,45.2337,0.8068,0.6842,0.6231,0.0607056738604871
427614996,51.579,45.2014,46.9027,0.3079,0.25,0.2344,0.05790830079919458
427614998,53.8724,47.5308,49.1526,0.2811,0.2114,0.1976,0.05487392523583279
427615000,54.2488,46.824,47.1049,0.5151,0.3707,0.3086,0.05257802831020273
427615003,46.5059,38.3964,38.8689,1.4658,1.1752,1.0027,0.04986575853700407
427615004,40.4209,33.2577,34.313,1.1478,0.9497,0.7861,0.04889563761385481
427615005,37.578,30.9272,31.9971,0.4133,0.3361,0.2936,0.05006442052760694
427615006,35.2428,28.979,30.0102,0.4534,0.3716,0.3142,0.05214171140333059
427615007,32.951,27.3638,27.9686,0.2695,0.2241,0.1987,0.05192625725187585
427615008,29.2297,23.923,24.7625,0.3267,0.2709,0.2314,0.050875153686925724
427615009,41.3715,33.8316,34.202,1.0112,0.8253,0.6782,0.04552972625896745
427615020,18.3288,15.6135,17.1225,0.5909,0.4994,0.4669,0.10648688664370398
427615021,18.8446,16.0986,17.4786,0.3667,0.311,0.2917,0.10559216905199818
427615022,17.6327,15.6432,17.3242,0.2738,0.2408,0.2305,0.10832258979485408
427615023,18.7474,16.143,17.6475,0.6106,0.5213,0.4896,0.10559216905199818
427615024,17.8419,15.8557,17.6686,0.2522,0.2196,0.2141,0.10471236017896915
427615025,17.4764,15.1617,16.7625,0.4244,0.3665,0.3459,0.10926437976474195
427615031,15.3373,13.4694,15.1869,0.1161,0.1019,0.1034,0.11423011752805243
427615032,9.3717,8.8696,13.001,0.1759,0.1604,0.2149,0.11527791973048969
427615033,15.7561,13.8333,15.5095,0.1055,0.0937,0.0967,0.11423011752805243
427615037,13.8815,14.3319,22.504,0.2544,0.2668,0.3713,0.06012478543760053
427615038,18.9031,16.6989,19.6848,0.1228,0.1091,0.1183,0.08321729873508964
427615040,27.8976,26.7028,34.6503,0.2627,0.2599,0.3486,0.06012478543760053
427615042,26.5534,25.9608,36.4915,0.4406,0.4342,0.5475,0.04569528448132631
427615045,28.6846,28.2629,38.6999,0.3451,0.3348,0.4244,0.04688878485347726
427615047,26.4557,25.8748,35.7793,0.3362,0.3181,0.4135,0.04851807655625124
427615051,14.4311,14.1481,22.0084,0.3437,0.3354,0.42,0.05463535211139932
427615055,0.9919,1.7213,7.2091,0.0,0.0,0.0186,0.06684048540909966
427615056,0.4726,1.1872,7.6016,0.0,0.0,0.0221,0.06012478543760053
427615072,7.0881,7.9033,13.0956,0.1446,0.1592,0.2002,0.08911864874469005
427615074,6.797,6.8808,14.1963,0.0132,0.014,0.0397,0.0589957324588329
427615075,6.6007,7.2594,14.4202,0.0388,0.0449,0.081,0.06129789587454133
427615087,18.6013,16.9701,19.5955,0.6793,0.6201,0.6036,0.08606693785815557
427615088,21.3631,19.5058,22.0982,0.7829,0.7159,0.6865,0.08055030487456037
427615089,27.603,25.5747,27.534,1.4933,1.3638,1.2466,0.06346488289866778
427615090,36.7722,34.1284,34.3583,1.8557,1.7058,1.504,0.06579069379816853
427615091,49.7977,46.7386,45.4849,2.0545,1.9198,1.6145,0.048331474165630606
427615101,7.6634,6.9376,8.2252,0.3274,0.2922,0.195,0.07903061153879146
427615106,13.0422,10.8712,14.3122,0.1414,0.1086,0.1171,0.08055030487456037
427615107,10.9801,9.2276,12.6794,0.0974,0.0699,0.0829,0.08321729873508964
427615109,13.5191,11.5968,14.0599,0.1056,0.0851,0.0891,0.09894156757337469
427615111,17.4398,14.7873,16.4319,0.155,0.1222,0.1222,0.09740778003073822
427615118,17.7527,15.4995,16.3156,0.4172,0.3556,0.316,0.11853991327830876
427615119,17.1675,14.9316,15.9325,0.8105,0.7015,0.6334,0.11634512054520679
427615120,17.3611,15.0108,16.1946,0.9807,0.8488,0.7692,0.11423011752805243
427615123,15.6776,13.7781,15.8025,0.1965,0.1647,0.1615,0.11219063124580061
427615125,15.8209,13.9351,16.1844,0.2397,0.2063,0.2006,0.1021587506273488
427615126,15.4324,13.5925,15.3647,0.2929,0.2544,0.2371,0.10926437976474195
427615127,14.6272,12.9287,14.4742,0.3546,0.3101,0.2854,0.11423011752805243
427615128,18.8137,18.6511,23.4481,0.1746,0.1692,0.1923,0.07756719641593564
427615129,20.2808,20.0261,24.6991,0.2027,0.1966,0.2152,0.07391723900466864
427615130,22.3882,21.9712,27.2637,0.2488,0.2343,0.2624,0.06904388481989716
427615131,23.5169,23.3864,28.8137,0.2648,0.2593,0.2874,0.06684048540909966
427615132,23.9332,23.5672,28.7241,0.2599,0.2549,0.2786,0.06719790044098876
427615133,24.2417,23.7538,28.8105,0.3145,0.3014,0.3295,0.06904388481989716
427615134,33.8079,33.0752,38.9441,0.4066,0.3934,0.4252,0.0595549083537657
427615135,35.1458,34.8588,39.5589,0.3937,0.3867,0.4047,0.06251769380643689
427615136,36.8717,36.3581,41.3065,0.5067,0.5014,0.5172,0.06159836113714365
427615137,43.651,42.677,49.2757,0.5438,0.5291,0.5568,0.049086630312145024
427615138,39.2629,37.9324,45.3729,0.6017,0.5849,0.6124,0.04245346694193159
427615146,33.3785,31.881,38.9356,0.5426,0.5144,0.513,0.03519963994522082
427615147,31.2023,29.7163,37.5473,0.5412,0.5109,0.515,0.03368975819406328
427615159,27.3903,27.7365,37.8556,0.5534,0.5631,0.6648,0.04520218287170602
