detection_id,B,G,R,nB,nG,nR,Compactness
432412998,3.6764,3.4115,4.8614,0.0618,0.059,0.0518,0.12440706908215582
432412999,2.7795,2.4366,3.6242,0.0441,0.0408,0.0359,0.1495779344429456
432413001,21.1054,20.8694,25.7857,0.321,0.3144,0.3394,0.06220821570931003
432413009,24.8951,23.9813,31.9341,1.0327,1.0028,1.0388,0.04216855084912327
432413022,1.5571,1.1714,2.8917,0.0029,0.0023,0.009,0.1794818739290955
432413023,1.4037,1.1226,2.5025,0.0006,0.0005,0.0073,0.17695501477362918
432413028,3.7133,3.1883,5.0626,0.0075,0.0076,0.0182,0.1021587506273488
432413029,15.1369,14.9559,18.5915,0.1759,0.1749,0.1877,0.07662132709270902
432413034,4.6916,4.0085,5.6675,0.007,0.0068,0.0177,0.09816868357674101
432413036,4.1121,3.5258,5.5145,0.0084,0.0082,0.019,0.09972671719555438
432413037,3.9663,3.3764,5.3922,0.026,0.0249,0.0331,0.1021587506273488
432413038,4.3349,3.6451,5.5289,0.0284,0.0279,0.0351,0.10133499999681532
432413040,3.7698,3.1747,5.2398,0.0285,0.0272,0.0343,0.10299600257653854
432413056,4.2765,3.7456,5.5384,0.0404,0.0366,0.0383,0.1021587506273488
432413058,4.3632,3.8108,5.6093,0.0884,0.0789,0.0684,0.10299600257653854
432413060,4.024,3.5334,5.3552,0.066,0.0611,0.0569,0.10471236017896915
432413061,6.7361,6.6495,9.5913,0.0874,0.0877,0.1052,0.10471236017896915
432413066,3.584,3.0806,5.0065,0.0324,0.0294,0.0373,0.10648688664370398
432413070,3.9545,3.6024,5.1897,0.0673,0.0625,0.0589,0.1256508846247525
432413084,1.3615,1.1388,2.1427,0.0135,0.0124,0.016,0.224325293611701
432413086,3.4227,3.3005,4.7835,0.0289,0.0276,0.0299,0.15705446369492315
432413099,3.6775,3.3631,5.2232,0.0383,0.0373,0.0379,0.10832258979485408
432413105,3.8797,3.3796,5.231,0.0302,0.0284,0.0333,0.10559216905199818
432413110,3.9703,3.3557,5.3434,0.0221,0.0203,0.0278,0.1021587506273488
432413114,7.8585,7.3636,9.2099,0.1518,0.135,0.1194,0.11219063124580061
432413115,7.5803,6.5531,6.5626,0.1149,0.0952,0.0659,0.15705446369492315
432413118,4.8041,4.0583,4.9016,0.0913,0.0727,0.0565,0.15904183716398032
432413123,4.9793,4.2265,6.2,0.0588,0.0473,0.0473,0.10739689511380088
432413124,4.9085,4.577,6.3177,0.0612,0.0554,0.0524,0.1336693370934263
432413126,3.057,2.623,3.6982,0.0693,0.059,0.0422,0.16317136358672749
432413127,4.8165,4.252,6.1954,0.1204,0.1056,0.0939,0.10739689511380088
432413128,5.4985,4.6149,5.8704,0.0555,0.0455,0.0329,0.12199187159268324
432413130,2.6433,2.2815,3.1407,0.0602,0.0527,0.0385,0.19941430995731257
432413131,3.775,3.2759,4.8011,0.1022,0.0857,0.0681,0.12199187159268324
432413136,1.8835,1.7142,2.9395,0.0387,0.0361,0.03,0.1903544897796419
432413137,3.5417,3.1703,5.0024,0.0309,0.0279,0.0305,0.12081909724428652
432413138,4.3271,3.7837,5.7774,0.0221,0.0207,0.0274,0.10648688664370398
432413142,3.842,3.4344,5.3114,0.0431,0.0395,0.0434,0.12081909724428652
432413143,3.9801,3.5857,5.4135,0.0361,0.0341,0.0373,0.12081909724428652
432413144,4.2111,3.8123,5.6537,0.2655,0.2359,0.1955,0.12318763468639518
432413146,4.0673,3.6618,5.4326,0.1038,0.0888,0.0782,0.12691981982432735
432413155,2.513,2.1254,3.5106,0.0223,0.0206,0.0223,0.15137953892966877
