detection_id,B,G,R,nB,nG,nR,Compactness
29467877,34.3657,40.7602,19.9097,0.0309,0.2022,0.0272,0.04586205110904071
29467878,22.8103,27.5684,12.6735,0.0772,0.1415,0.0158,0.07853670966610296
29467890,24.4182,30.4606,13.5828,0.2536,0.3607,0.0684,0.07756719641593564
29467891,20.2823,25.0777,12.1096,0.2407,0.3553,0.0837,0.08606693785815557
29467896,34.7433,41.4624,17.0951,0.2367,0.2298,0.0236,0.0595549083537657
29467897,56.1465,64.8749,28.1357,0.0,0.0569,0.0202,0.06159836113714365
29467901,54.0691,59.547,25.9166,0.0,0.0484,0.0196,0.06346488289866778
29467904,25.982,27.254,14.2041,0.0898,0.1264,0.0181,0.06866661880204716
29467909,33.0644,38.2815,18.4462,0.001,0.1485,0.0177,0.07020097205976435
29467910,40.7657,44.7442,21.5472,0.0,0.0108,0.0201,0.06190178642991358
29467912,29.6793,32.6126,14.4828,0.1836,0.1836,0.0183,0.06792432131461863
29467923,7.4881,18.0975,11.6606,0.1379,0.3313,0.1485,0.058176383157876974
29467924,23.6932,24.2707,9.1004,0.8879,0.9221,0.0638,0.07435458803139107
29467928,35.6386,40.7633,19.1953,0.0,0.0542,0.018,0.06904388481989716
29467929,38.6157,43.9224,20.7582,0.0,0.0,0.0185,0.06719790044098876
29467930,39.1192,44.6728,21.4075,0.0,0.0013,0.0188,0.0661369411690469
29467934,25.9165,28.8128,13.5611,0.0954,0.1506,0.0161,0.077091360650504
29467935,25.3448,26.6382,13.6763,0.0195,0.0834,0.0182,0.06829345312829196
29467938,23.5656,25.569,12.0187,0.1416,0.1416,0.0179,0.06942531913488556
29467939,25.8042,31.535,16.5365,0.0318,0.0492,0.0327,0.07180546030797123
29467943,29.2916,35.7079,17.9655,0.9435,1.1346,0.4565,0.06719790044098876
29467944,26.7252,34.2504,18.2387,0.2548,0.3395,0.1461,0.06510896233025722
29467958,27.0725,31.7602,13.966,0.1662,0.1679,0.0175,0.07099415216660818
29467959,27.4638,30.7839,13.9767,0.1705,0.1705,0.02,0.06220821570931003
29467962,18.7856,31.643,18.6758,0.3746,0.6665,0.2329,0.04536536335524013
29467965,7.9278,14.6686,6.2246,0.0035,0.0061,0.0201,0.06904388481989716
29467967,20.6449,23.335,9.3689,0.1417,0.157,0.0163,0.07615699026400004
29467968,25.0264,28.1501,11.2993,0.1665,0.1669,0.0168,0.07391723900466864
29467969,31.5609,35.7184,14.1519,0.2105,0.2111,0.0193,0.06444121395927624
29467976,7.0102,23.0962,21.4476,0.1125,0.383,0.2495,0.04027641246938456
29467982,7.0458,16.7739,14.4373,0.1745,0.4744,0.2468,0.05535737701133239
29467983,12.4788,18.7682,10.4567,0.2316,0.3561,0.123,0.07263552511680024
29467988,12.7258,25.7621,19.9709,0.469,0.9485,0.4479,0.03901982094170305
29468005,21.3407,37.1669,24.1687,0.3862,0.714,0.3176,0.03989283543241531
29468006,17.7813,35.2097,24.6962,0.4408,0.8946,0.4114,0.035001332114543524
29468030,3.8791,16.1507,22.5324,0.094,0.3238,0.2855,0.030425418441666765
29468087,70.8985,78.408,27.7503,0.4763,0.5128,0.0236,0.05279893651282317
29468088,73.8324,83.4959,31.4192,0.4729,0.4747,0.0236,0.05302170881884524
29468092,63.1867,70.798,25.1972,0.4421,0.5433,0.0231,0.0539319190680174
29468093,74.0391,83.249,34.8976,0.0,0.2417,0.0231,0.0539319190680174
29468109,57.6089,64.774,25.4514,0.4005,0.4243,0.038,0.05560231145909046
29468110,62.324,69.921,30.2922,0.0,0.1698,0.023,0.0541643755046309
29468111,52.7585,58.2595,24.1142,0.3576,0.3789,0.045,0.0595549083537657
29468113,62.0099,68.8248,27.3479,0.3716,0.3723,0.0218,0.057118675464029094
29468114,62.8542,69.4601,27.768,0.3696,0.3755,0.0219,0.05686023067241032
29468115,61.6591,67.018,26.4638,0.3429,0.3602,0.0211,0.0589957324588329
29468121,37.9613,44.9714,17.2274,0.2477,0.2497,0.0231,0.0541643755046309
29468122,43.4056,51.3247,19.1332,0.2827,0.2831,0.0234,0.05324636892277132
29468123,46.8631,55.1201,19.9918,0.3051,0.3063,0.0225,0.05535737701133239
29468124,51.6191,60.5534,21.5191,0.3487,0.355,0.0277,0.05463535211139932
29468126,49.6357,60.8168,20.5814,0.3643,0.3869,0.0236,0.05983849013957345
29468127,53.6476,64.576,21.5534,0.3665,0.4357,0.0227,0.05487392523583279
29468129,24.0742,29.723,11.9386,0.1574,0.1574,0.0145,0.08548150399146558
29468130,24.5493,29.8254,11.9295,0.1466,0.1546,0.0138,0.08975514439115811
29468135,37.5168,43.9364,14.3736,0.2822,0.3179,0.0187,0.06648685222060789
29468144,4.4457,16.8598,19.0269,0.0967,0.3314,0.265,0.03939144327760391
29468146,6.5358,24.0709,25.0309,0.1505,0.5336,0.4282,0.035596168189245984
29468148,5.9088,19.0376,23.2322,0.0915,0.3433,0.2876,0.034334088223882446
29468149,6.4725,19.935,24.2745,0.096,0.4104,0.3603,0.03866239946356792
29468167,8.0425,22.4576,26.8714,0.1024,0.3485,0.2935,0.03165251499082297
29468175,10.429,30.431,32.9133,0.1405,0.5427,0.4443,0.03519963994522082
29468204,1.7704,6.176,15.9526,0.0193,0.103,0.129,0.02984869210553568
29468219,36.2326,41.8506,20.0465,0.0143,0.2096,0.0227,0.05392374535840324
29468220,33.0386,37.2891,18.5406,0.0,0.0873,0.0213,0.05844695914181379
29468222,32.9692,38.7625,16.1029,0.1901,0.2031,0.0178,0.06981099120988524
