detection_id,B,G,R,nB,nG,nR,Compactness
432509738,4.3848,4.2277,6.4915,0.1231,0.1222,0.1445,0.17449830252036147
432509750,4.1626,4.2911,6.7734,0.1527,0.1579,0.1817,0.15705446369492315
432509751,4.7477,4.2208,5.1513,0.1398,0.1206,0.0995,0.1653175867489029
432509753,3.0435,2.6903,3.7228,0.0747,0.0648,0.0543,0.1903544897796419
432509754,3.3056,3.4403,5.2136,0.0639,0.0679,0.082,0.1903544897796419
432509755,8.0384,7.732,9.1298,0.1953,0.1868,0.1457,0.09447856694680049
432509756,6.3324,6.5409,10.7152,0.1073,0.1134,0.1511,0.09447856694680049
432509766,3.4471,3.145,4.9172,0.043,0.0389,0.0448,0.1721088567938853
432509767,1.6895,1.3819,2.3511,0.0287,0.0257,0.0237,0.224325293611701
432509768,1.8369,1.7098,2.5793,0.0315,0.03,0.0258,0.2059488517353309
432509773,1.7672,1.9408,3.1229,0.0137,0.0147,0.0145,0.1495779344429456
432509775,2.1238,2.1597,3.2854,0.0188,0.0188,0.017,0.1495779344429456
432509778,0.787,0.8425,1.983,0.0002,0.0003,0.0065,0.1963000700655754
432509781,1.1161,1.0746,3.1397,0.0014,0.0013,0.0101,0.1336693370934263
432509782,1.5642,1.451,2.8648,0.0053,0.0055,0.0106,0.15511613727099602
432509785,0.8756,0.8478,2.3175,0.0012,0.0014,0.0078,0.16978395275546265
432509786,0.955,0.9929,2.2432,0.0034,0.0037,0.0088,0.17449830252036147
432509787,0.9418,0.949,2.0783,0.0076,0.0084,0.0103,0.1963000700655754
432509791,1.4548,1.4448,2.3604,0.0306,0.031,0.023,0.20262892686416292
432509793,1.0816,1.0341,1.9167,0.0221,0.0231,0.0181,0.23262772230212783
432509794,1.0925,1.0791,1.9211,0.0194,0.0207,0.0161,0.23262772230212783
432509795,0.9307,0.9219,1.9123,0.005,0.0053,0.008,0.224325293611701
432509796,1.2771,1.2186,2.2834,0.0057,0.0061,0.0094,0.1963000700655754
432509797,1.0866,1.1246,2.2274,0.0164,0.0172,0.0165,0.19328157927359077
432509798,1.1478,1.1978,2.1439,0.0102,0.011,0.0115,0.2059488517353309
432509799,1.452,1.4026,2.3971,0.0136,0.014,0.0134,0.1963000700655754
432509803,2.5241,2.229,3.7572,0.0277,0.0257,0.0238,0.1721088567938853
432509804,2.4816,2.3112,3.8172,0.0229,0.0225,0.0223,0.16752101074657041
432509807,3.8487,3.7498,4.6647,0.0502,0.0497,0.0368,0.13657449043501094
432509814,2.4975,2.3973,3.6092,0.0283,0.029,0.0236,0.13657449043501094
432509816,2.48,2.4344,4.3238,0.0573,0.0603,0.0445,0.10926437976474195
432509817,2.3653,2.3271,3.9732,0.029,0.0301,0.0202,0.12199187159268324
432509818,2.5158,2.4255,3.8174,0.0785,0.0785,0.0531,0.13807493637999585
432509820,3.0446,3.0046,3.834,0.0275,0.028,0.0207,0.15511613727099602
432509821,1.1903,1.268,2.0184,0.0137,0.0154,0.0132,0.224325293611701
432509824,2.5701,2.4238,3.9148,0.0108,0.0104,0.0132,0.1495779344429456
432509825,3.1554,3.044,4.3111,0.0734,0.0743,0.0502,0.1396087127968195
432509832,0.0306,0.2021,2.3395,0.0,0.0001,0.0101,0.16108014280507627
432509836,0.5484,0.7309,3.6824,0.0,0.0,0.0109,0.11743226366213184
432509838,0.1685,0.2358,2.0529,0.0,0.0,0.0067,0.18751471302418415
432509843,3.6527,3.6239,4.7693,0.042,0.0419,0.0356,0.12081909724428652
432509849,4.9917,4.7618,6.4405,0.0584,0.0539,0.0477,0.10559216905199818
432509851,4.1479,3.9886,5.7745,0.0494,0.0461,0.0532,0.10133499999681532
432509852,3.6191,3.4277,5.1114,0.0118,0.011,0.0179,0.11527791973048969
432509855,6.0966,5.6697,7.6428,0.103,0.0929,0.0902,0.11219063124580061
432509859,3.3562,3.199,4.2447,0.0583,0.0569,0.045,0.16108014280507627
432509884,2.6474,2.5499,3.2989,0.0554,0.0554,0.0384,0.1794818739290955
432509886,2.3574,2.2656,3.1501,0.0562,0.0567,0.0355,0.1794818739290955
432509891,3.0287,2.9698,3.6097,0.0165,0.0172,0.0143,0.15705446369492315
432509902,1.3334,1.3511,2.1702,0.0071,0.0079,0.011,0.23262772230212783
432509903,1.593,1.5693,2.6953,0.0097,0.0092,0.0137,0.1963000700655754
432509905,1.9788,2.0092,3.3305,0.0093,0.0103,0.017,0.17449830252036147
432509906,1.5005,1.4431,2.6785,0.0176,0.0165,0.0185,0.21659487670178934
432509907,1.6046,1.5901,2.5014,0.0346,0.0364,0.0235,0.21659487670178934
432509927,14.4327,14.8551,20.8334,0.1657,0.1713,0.209,0.0404059159192194
432509929,1.3742,1.3978,2.0797,0.0103,0.0107,0.0107,0.2059488517353309
432509930,1.7625,1.6771,2.3761,0.0415,0.0405,0.0294,0.21659487670178934
432509931,2.7271,2.5349,3.6089,0.0817,0.0756,0.0573,0.19328157927359077
432509936,2.5674,2.4466,3.8723,0.0314,0.0277,0.0305,0.16978395275546265
432509944,1.3403,1.3591,2.3974,0.014,0.0144,0.014,0.18475840065665078
432509949,3.0619,2.909,3.4178,0.0889,0.0842,0.0659,0.224325293611701
432509961,2.1428,2.2024,2.8721,0.0612,0.0644,0.0449,0.18751471302418415
432509971,3.228,3.4144,4.222,0.0554,0.0566,0.0477,0.14442151192814084
432509974,0.4011,0.4235,1.916,0.0,0.0003,0.0063,0.1963000700655754
432509975,1.0935,1.1551,3.0308,0.0021,0.0025,0.0099,0.1495779344429456
432509977,0.8541,0.9679,3.0834,0.0001,0.0005,0.011,0.1351063003197879
432509981,1.8589,1.8382,2.7207,0.0216,0.0218,0.0181,0.20262892686416292
432509982,2.2653,2.257,3.0473,0.0303,0.0306,0.0197,0.18208192715442573
432509984,2.6655,2.5547,3.4532,0.0318,0.0315,0.0251,0.16108014280507627
432509990,1.7067,1.5535,2.3885,0.0581,0.052,0.0385,0.224325293611701
432509991,8.1915,8.5124,9.6643,0.1036,0.1098,0.1084,0.13657449043501094
432509992,8.8878,9.0238,7.5165,0.129,0.1319,0.0794,0.13226261511265314
432509999,1.8011,1.6728,2.4809,0.0849,0.0769,0.0574,0.224325293611701
432510004,2.4151,2.3567,3.0992,0.049,0.0478,0.0368,0.19941430995731257
432510013,1.9014,1.8049,2.662,0.088,0.0849,0.0601,0.22840111198938143
432510015,3.4601,3.4038,4.0665,0.0984,0.0957,0.0678,0.16752101074657041
432510026,2.5918,2.365,3.5559,0.0562,0.0524,0.041,0.15322506464696445
