detection_id,B,G,R,nB,nG,nR,Compactness
432272772,0.7425,2.9469,2.6616,0.0016,0.0143,0.0091,0.16108014280507627
432272776,1.1306,4.108,3.7656,0.0572,0.1004,0.0706,0.12081909724428652
432272779,3.1163,5.8426,5.8398,0.0294,0.0564,0.0414,0.11966865507387159
432272780,0.9723,4.4215,3.5712,0.0274,0.0526,0.0378,0.12081909724428652
432272784,6.7117,12.0395,11.308,0.1868,0.2697,0.2115,0.07139750161301212
432272788,3.6596,9.7543,8.0931,0.1314,0.1685,0.1459,0.06981099120988524
432272792,2.5729,3.5579,4.1001,0.1364,0.1649,0.1505,0.21659487670178934
432272796,5.5302,6.4113,7.8747,0.1734,0.2039,0.1784,0.12953615542145414
432272799,3.5723,6.2483,6.0158,0.0701,0.0938,0.0784,0.12821464331793822
432272807,2.3789,3.2066,4.4105,0.1124,0.12,0.1222,0.15705446369492315
432272813,2.1994,3.4917,4.2001,0.044,0.0495,0.0509,0.15137953892966877
432272815,1.7387,2.899,3.47,0.0675,0.0777,0.0736,0.18208192715442573
432272823,5.3611,6.2174,7.5144,0.108,0.1203,0.1174,0.1495779344429456
432272852,4.247,3.9558,5.9914,0.0344,0.0312,0.0328,0.1411769425941694
432272853,4.2465,3.9515,6.0006,0.0372,0.0339,0.0356,0.1411769425941694
432272855,2.917,3.0947,4.442,0.034,0.0374,0.0422,0.22840111198938143
432272856,3.0372,3.2255,4.5307,0.051,0.0553,0.0603,0.23262772230212783
432272857,3.0254,3.2336,4.5348,0.0479,0.0526,0.0581,0.23262772230212783
432272858,3.8424,4.0138,5.5002,0.0288,0.0306,0.0374,0.22039234176969208
432272859,10.0272,10.6363,14.3114,0.1264,0.1411,0.1599,0.09665858053229819
432272861,3.4943,3.7211,5.1927,0.0241,0.0267,0.0329,0.224325293611701
432272862,3.4669,3.6924,5.1643,0.0237,0.0258,0.032,0.224325293611701
432272864,4.7151,4.7248,7.9972,0.1751,0.171,0.1764,0.09172037375316221
432272865,4.6633,4.6681,7.9136,0.1748,0.1706,0.1756,0.09239471398211957
432272886,3.3414,3.5068,5.5476,0.026,0.0279,0.0377,0.1653175867489029
432272887,2.8323,2.972,5.0249,0.024,0.026,0.0339,0.16317136358672749
432272889,3.7341,3.8874,8.0528,0.0112,0.0106,0.0264,0.07569824722699373
432272890,4.9413,5.1856,9.7022,0.0179,0.0179,0.0351,0.06981099120988524
432272895,2.5516,2.405,5.256,0.0114,0.0113,0.0227,0.11219063124580061
