detection_id,B,G,R,nB,nG,nR,Compactness
427937266,10.24,10.1879,11.3358,0.0899,0.0898,0.0873,0.10739689511380088
427937278,6.0109,6.1649,7.8423,0.0155,0.0157,0.0223,0.11423011752805243
427937279,8.2167,9.0602,13.9585,0.0803,0.0882,0.1272,0.10299600257653854
427937283,20.3784,24.2163,39.1873,0.2921,0.341,0.5026,0.04986575853700407
427937285,24.2598,25.7519,42.9992,0.437,0.4343,0.707,0.05046653131091824
427937287,25.0415,26.1886,44.2274,0.4687,0.4547,0.775,0.04927912092245134
427937288,22.6843,24.9055,29.201,0.3523,0.4042,0.3795,0.04927912092245134
427937289,19.1556,22.6165,39.9259,0.4136,0.4941,0.8314,0.04759920052280796
427937290,21.4055,23.5105,29.333,0.3483,0.3964,0.3917,0.044403578072467774
427937292,19.7817,21.8089,24.886,0.2605,0.3226,0.2716,0.06012478543760053
427937293,18.7431,21.1076,32.3426,0.2464,0.2781,0.42,0.06792432131461863
427937294,17.1992,18.9343,21.7159,0.1624,0.196,0.1658,0.0752449975094086
427937298,17.0799,19.4707,29.9842,0.3587,0.4297,0.5193,0.042027522098831975
427937299,24.896,26.4407,31.2604,0.165,0.1862,0.182,0.0393926217787257
427937300,21.4548,24.2376,38.482,0.4368,0.496,0.7226,0.04889563761385481
427937301,18.2667,19.792,25.1461,0.2297,0.2534,0.2498,0.044879318492720414
427937302,19.5339,21.3553,33.3668,0.3309,0.3628,0.5309,0.05257802831020273
427937303,13.3179,14.7462,18.6711,0.231,0.2546,0.2557,0.06129789587454133
427937304,17.0511,19.5235,37.9564,0.3196,0.3715,0.7094,0.058176383157876974
427937308,8.5848,9.4258,12.9623,0.1025,0.1092,0.1195,0.06981099120988524
427937313,7.0763,7.8272,10.6545,0.4326,0.463,0.4526,0.09816868357674101
427937366,6.6849,7.5732,10.9079,0.3608,0.3963,0.3874,0.09105580497377844
427937371,18.9988,21.841,35.7584,0.0778,0.139,0.2646,0.05535737701133239
427937376,24.1507,27.6394,42.2348,0.0724,0.1226,0.2782,0.05511459098459456
427937386,10.3042,12.1198,21.9334,0.5216,0.5986,0.8178,0.057118675464029094
427937391,7.7102,9.1086,17.4304,0.2003,0.2306,0.3101,0.05324636892277132
427937395,10.4744,12.6513,23.617,0.3696,0.4463,0.6239,0.05006442052760694
427937396,10.4546,12.7425,23.6848,0.4163,0.5112,0.7039,0.04986575853700407
427937397,10.4005,12.9243,22.783,0.4129,0.5154,0.6848,0.05129044711249124
427937398,10.8479,13.1425,23.0525,0.4117,0.4861,0.6488,0.05108195634991484
427937400,11.2685,13.5047,24.0174,0.4104,0.4779,0.6572,0.05279893651282317
427937413,10.2241,11.585,21.1268,0.1563,0.1883,0.2928,0.05584942297118333
427937466,8.3941,9.9548,18.5173,0.193,0.2257,0.3138,0.0589957324588329
427937468,7.3527,8.695,16.447,0.1442,0.1725,0.255,0.06648685222060789
427937479,13.7417,16.9669,25.1486,0.658,0.7919,0.8455,0.05764267775279962
427937482,8.0,10.1348,16.368,0.3525,0.4493,0.5092,0.07263552511680024
427937483,7.6631,8.8711,14.1886,0.3747,0.435,0.5494,0.08849111644335216
427937486,7.3287,8.5244,14.2605,0.2273,0.257,0.338,0.08377203058083679
427937574,12.2733,13.7715,17.7482,0.2101,0.2363,0.2536,0.08975514439115811
427937579,12.1754,13.732,17.7698,0.2672,0.3045,0.3306,0.08787235948346774
427937582,8.1853,9.8862,15.8876,0.0031,0.0031,0.0189,0.07662132709270902
427937585,11.0218,15.2515,25.6199,0.0384,0.049,0.0803,0.057118675464029094
427937586,11.6134,16.1108,26.7489,0.0223,0.0253,0.0594,0.05535737701133239
427937595,19.0906,22.183,37.3433,0.5038,0.6077,0.8462,0.04120076930564869
427937608,10.1754,12.9901,24.7019,0.512,0.6378,0.9902,0.04778018079289879
427937672,8.8991,11.2575,20.5577,0.0167,0.0213,0.0495,0.04318289069619264
427937673,5.6918,6.7929,13.7702,0.0119,0.0133,0.0381,0.05844695914181379
427937674,5.7628,7.2927,12.963,0.1095,0.1277,0.1793,0.08003728818317192
427937772,25.7041,27.7121,32.3377,0.1276,0.1634,0.1712,0.0539319190680174
427937773,22.6467,25.0047,30.1365,0.1306,0.1765,0.214,0.05983849013957345
427937774,20.7242,22.6623,28.1169,0.1748,0.2047,0.1792,0.05560231145909046
427937776,14.0208,16.91,27.5765,0.6387,0.7873,1.1134,0.0607056738604871
427937778,14.9698,18.4662,29.6977,0.6231,0.7646,1.1345,0.059274001684944774
427937781,12.5062,14.8675,24.6464,0.2556,0.3039,0.4552,0.06378702284985524
427937782,10.8265,13.1103,22.2118,0.1854,0.2343,0.3673,0.06866661880204716
427937785,9.3632,11.1391,19.071,0.33,0.4119,0.638,0.07305779571290515
427937787,7.0609,8.2667,13.3993,0.0708,0.0958,0.1623,0.09665858053229819
427937792,5.942,7.1592,13.0382,0.1265,0.1523,0.2148,0.07263552511680024
427937793,6.4583,7.6124,13.5048,0.1165,0.1392,0.2053,0.07853670966610296
427937794,6.1305,7.3558,12.8442,0.1151,0.1389,0.2089,0.08106994029334431
427937796,5.7591,7.2589,13.5052,0.1328,0.1888,0.3215,0.08548150399146558
427937813,16.4182,20.0317,29.5426,0.261,0.3295,0.4344,0.058176383157876974
427937814,18.4759,21.6553,31.4516,0.5968,0.7165,0.9212,0.058176383157876974
427937815,23.0614,29.3944,44.981,1.0822,1.3435,1.9527,0.04851807655625124
427937868,24.4432,27.2409,36.7916,0.7598,0.9235,1.2231,0.048146301614186766
427937869,34.0833,34.7584,34.9082,0.5445,0.5556,0.4974,0.0541643755046309
427937902,11.423,13.2569,22.3961,0.1271,0.1352,0.1578,0.05686023067241032
427937908,9.0407,10.1637,16.4755,0.181,0.1866,0.2088,0.07953076456813789
427937909,8.5455,9.7439,15.4577,0.1028,0.1128,0.1293,0.08490398027194407
