detection_id,B,G,R,nB,nG,nR,Compactness
32881443,31.7277,43.513,24.7048,0.4437,0.646,0.1925,0.04318289069619264
32881454,9.7306,15.455,9.2089,0.196,0.286,0.1168,0.07615699026400004
32881466,24.0782,26.3129,13.8767,0.1612,0.1612,0.0179,0.06942531913488556
32881468,23.8596,25.1291,13.8132,0.1591,0.1591,0.0188,0.0661369411690469
32881470,20.9745,21.9604,11.6877,0.1414,0.1414,0.0172,0.07221810771057427
32881473,24.3215,26.4554,13.4682,0.1609,0.1609,0.0174,0.07139750161301212
32881514,4.0484,12.7344,9.9683,0.0711,0.1938,0.1071,0.06579069379816853
32881602,4.3617,14.0814,11.5403,0.0546,0.1517,0.0922,0.05235896091135454
32881613,43.0309,48.3351,20.1076,0.4862,0.5578,0.0418,0.05790830079919458
32881615,51.5914,56.319,25.2786,0.356,0.3682,0.0248,0.0502646717369248
32881617,38.9,42.6093,20.4748,0.2534,0.2562,0.0209,0.0595549083537657
32881619,40.8228,43.5223,21.4148,0.2509,0.2514,0.0195,0.06378702284985524
32881621,45.4772,47.8458,23.7797,0.2696,0.2738,0.0207,0.06012478543760053
32881623,44.2834,48.0408,24.357,0.2451,0.2695,0.0229,0.05439884443645084
32881624,44.3647,48.6183,24.5193,0.2276,0.2694,0.0228,0.05463535211139932
32881634,21.1636,22.6741,11.8423,0.1415,0.142,0.0178,0.06981099120988524
32881652,11.4397,17.0526,12.531,0.2163,0.33,0.1323,0.0589957324588329
32881654,18.2521,20.7799,10.8611,0.2438,0.2986,0.0282,0.06904388481989716
32881656,17.347,20.015,9.2336,0.9098,1.0626,0.204,0.06684048540909966
32881664,0.5322,2.1589,9.0062,0.0,0.0,0.0173,0.07180546030797123
32881667,1.8414,4.4667,10.7016,0.0,0.0,0.0177,0.07020097205976435
32881669,1.5973,3.5166,12.2958,0.0,0.0,0.0178,0.06981099120988524
32881675,41.5885,44.8558,23.5437,0.159,0.2165,0.0212,0.05872006370526449
32881677,25.6087,27.2805,14.3303,0.1671,0.1671,0.0176,0.07059533429497317
32881679,20.1317,22.1326,12.2442,0.1396,0.1414,0.0167,0.07435458803139107
32881687,44.8033,49.5132,25.7396,0.1035,0.2414,0.0225,0.05535737701133239
32881693,13.1779,14.5709,5.3965,0.0,0.0,0.0184,0.0675591583065621
32881695,14.094,15.5187,6.5606,0.1994,0.2087,0.063,0.07569824722699373
32881702,25.8415,27.4141,14.329,0.2299,0.2538,0.0282,0.06544805286939072
32881705,25.6846,30.3231,17.07,0.0002,0.0974,0.0178,0.06981099120988524
32881707,33.9746,37.6959,20.579,0.1404,0.2058,0.0223,0.05584942297118333
32881717,5.0047,15.3057,10.759,0.0749,0.194,0.1017,0.0539319190680174
32881719,4.3407,13.259,10.6075,0.0655,0.1549,0.0868,0.0502646717369248
32881722,14.9441,24.81,14.4895,0.4031,0.7098,0.1894,0.07221810771057427
32881724,15.1559,26.85,16.7372,0.2375,0.4947,0.1353,0.06684048540909966
32881727,29.049,26.2925,14.1632,0.1946,0.1923,0.0424,0.0675591583065621
32881730,0.6006,4.6844,6.9323,0.0078,0.1094,0.0374,0.05511459098459456
32881732,0.2365,2.3352,7.1531,0.004,0.0605,0.0266,0.04706439330664793
32881734,1.1363,6.651,6.9844,0.0052,0.0971,0.0288,0.05214171140333059
32881737,2.2373,8.3824,6.7485,0.0159,0.0796,0.0378,0.06346488289866778
32881748,50.5967,54.6352,23.6427,0.3799,0.4187,0.0222,0.056098740702361524
32881750,34.0239,37.0233,10.2261,0.0148,0.0164,0.0265,0.05257802831020273
32881753,40.0678,42.5488,19.6953,0.3208,0.3504,0.0282,0.05635029433027713
32881755,21.8752,23.0684,8.5074,0.3002,0.3073,0.0753,0.05686023067241032
32881757,8.4016,14.8654,10.2178,0.3244,0.5168,0.144,0.0589957324588329
32881761,24.7941,26.2085,9.7464,1.4731,1.5834,0.2645,0.06981099120988524
32881765,27.4759,28.8928,10.9565,1.5937,1.6784,0.25,0.06942531913488556
32881767,33.5704,36.5742,17.671,0.236,0.2508,0.0208,0.06866661880204716
32881770,32.1349,34.3445,16.923,0.2249,0.23,0.0204,0.07059533429497317
32881774,20.5301,21.6845,9.5569,0.3949,0.4095,0.0306,0.08266986501266944
32881775,23.114,23.9837,10.6577,0.3635,0.3846,0.0191,0.07662132709270902
32881777,28.6502,30.9444,13.4321,0.4319,0.4768,0.0271,0.06648685222060789
32881779,30.752,33.283,14.8111,0.4332,0.4913,0.0297,0.0607056738604871
32881781,32.7729,35.6706,15.8848,0.4502,0.5167,0.0419,0.06012478543760053
32881788,42.2028,51.0154,24.0783,0.7743,0.9974,0.1869,0.042027522098831975
32881802,46.7319,49.6891,21.6736,0.3696,0.4111,0.0223,0.05584942297118333
32881806,59.5084,64.5205,28.6786,0.4876,0.5457,0.0353,0.046541470193173916
32881808,30.3674,32.5055,16.5916,0.1939,0.1939,0.0171,0.07263552511680024
32881810,24.9483,26.8285,12.9977,0.2549,0.2935,0.0235,0.07180546030797123
32881812,28.6009,32.9971,17.4721,0.1574,0.1845,0.0182,0.06829345312829196
32881814,21.4232,23.0616,12.5513,0.3409,0.3808,0.0471,0.05535737701133239
32881820,17.594,21.3411,9.8574,0.6185,0.7924,0.1634,0.07804894248762141
32881822,24.0988,27.0518,13.393,0.1567,0.1569,0.0148,0.08377203058083679
32881828,21.3577,26.0397,13.1922,0.2344,0.2996,0.0294,0.059543869636271056
