detection_id,B,G,R,nB,nG,nR,Compactness
429236342,7.333,6.7235,10.4943,0.1587,0.1526,0.1966,0.10133499999681532
429236343,7.6388,6.9901,11.3978,0.0807,0.0802,0.1134,0.09894156757337469
429236344,9.3516,7.8984,12.2242,0.0622,0.0478,0.074,0.08606693785815557
429236345,27.2409,25.0587,18.7731,0.221,0.1803,0.1276,0.08606693785815557
429236349,20.5239,17.3175,14.3648,0.1627,0.0974,0.0465,0.09816868357674101
429236361,19.9042,17.2404,15.0237,0.2413,0.2058,0.0976,0.0752449975094086
429236365,18.1341,16.9772,20.6304,0.2267,0.2062,0.2237,0.08787235948346774
429236376,21.3745,17.4698,18.7528,0.2786,0.2009,0.1818,0.07853670966610296
429236377,20.2561,16.5265,17.9049,0.2608,0.1882,0.1743,0.08055030487456037
429236378,17.9371,14.5005,15.6762,0.2099,0.145,0.1338,0.08787235948346774
429236379,17.1048,13.9144,14.8826,0.1609,0.1087,0.0988,0.09105580497377844
429236380,16.4603,13.236,14.3844,0.1343,0.0809,0.0792,0.09447856694680049
429236381,16.1795,13.0795,14.1933,0.1411,0.0893,0.0816,0.09447856694680049
429236382,15.5279,12.494,14.0166,0.1815,0.1284,0.1149,0.09105580497377844
429236383,15.1072,12.2473,13.6864,0.1259,0.0833,0.0778,0.09307904275505513
429236389,18.8802,15.0404,15.9569,0.3248,0.2429,0.2016,0.10052442674077641
429236398,40.5837,32.6895,31.8987,0.402,0.2941,0.214,0.06220821570931003
429236399,41.9718,33.8627,33.2472,0.3693,0.2717,0.1975,0.0595549083537657
429236400,47.0224,38.6086,37.1878,0.3455,0.2508,0.1477,0.05660411406725943
429236402,49.8462,41.0247,39.0679,0.4081,0.3182,0.1948,0.04947312713553582
429236403,52.3153,43.4275,39.776,0.4802,0.3813,0.2569,0.05257802831020273
429236404,52.0976,43.38,38.1135,0.5199,0.4048,0.2641,0.05487392523583279
429236406,56.8349,48.0812,39.5671,0.753,0.6143,0.3678,0.05257802831020273
429236407,57.3763,48.9107,39.3055,0.9033,0.7621,0.4489,0.05347294092237722
429236408,47.2383,40.6219,32.188,0.6666,0.5678,0.2867,0.05487392523583279
429236410,37.8747,32.6856,26.8368,0.5316,0.4421,0.2287,0.06012478543760053
429236411,22.1207,19.1236,17.7809,0.232,0.1908,0.1062,0.07180546030797123
429236412,16.6257,14.4708,13.7001,0.1147,0.0737,0.064,0.09040079679516942
429236413,16.6785,15.2422,14.0746,0.173,0.1477,0.1106,0.11634512054520679
429236414,15.9265,13.2857,11.8566,0.2007,0.1362,0.095,0.11634512054520679
429236416,15.4035,12.5704,12.1547,0.1128,0.0608,0.0472,0.11853991327830876
429236418,14.854,12.0795,11.7397,0.0876,0.0321,0.0293,0.11853991327830876
429236424,15.2372,12.5344,12.4694,0.109,0.058,0.0506,0.11119795425652645
429236427,13.8023,12.625,17.7275,0.4112,0.3788,0.4477,0.1038470904936626
429236428,16.708,15.3866,21.593,0.4487,0.4138,0.4973,0.09592081711552267
429236429,17.0673,15.7731,22.0502,0.4399,0.4062,0.4912,0.09519422993221213
429236430,13.0531,12.026,19.1955,0.3858,0.3552,0.4456,0.06510896233025722
429236431,14.318,13.1578,21.0265,0.3852,0.3546,0.4416,0.0589957324588329
429236432,13.2291,12.2215,18.6811,0.3503,0.3187,0.3994,0.07662132709270902
429236433,12.5484,11.6109,17.7677,0.3629,0.3317,0.4161,0.08055030487456037
429236434,12.4306,11.6587,17.4002,0.2529,0.2299,0.2913,0.08911864874469005
429236435,13.853,13.0579,18.8391,0.3225,0.303,0.3663,0.08787235948346774
429236436,13.8359,13.1578,18.9912,0.3303,0.3155,0.3872,0.08975514439115811
429236437,13.6926,13.1287,19.4721,0.3617,0.3507,0.4209,0.077091360650504
429236438,13.4126,12.6599,18.4305,0.3324,0.3128,0.3706,0.08606693785815557
429236439,13.9715,13.2963,19.2486,0.3876,0.3697,0.4265,0.08266986501266944
429236440,15.0145,14.4193,21.0254,0.4073,0.3926,0.4649,0.07662132709270902
429236441,16.5028,15.568,22.606,0.3427,0.3283,0.3974,0.07569824722699373
429236442,19.602,18.6914,26.6502,0.415,0.3968,0.4736,0.06220821570931003
429236443,22.5064,21.2392,30.8822,0.4781,0.4532,0.5559,0.05235896091135454
429236444,21.7373,20.2961,29.9509,0.5055,0.4723,0.583,0.0539319190680174
429236446,20.3102,18.8345,27.287,0.3658,0.3334,0.4288,0.06904388481989716
429236447,17.9349,16.7645,24.7875,0.4491,0.4163,0.5295,0.07020097205976435
429236449,20.2907,19.0312,27.4924,0.7421,0.6947,0.8832,0.07569824722699373
429236450,19.955,18.5651,27.966,0.5764,0.5325,0.695,0.06159836113714365
429236452,15.008,14.1398,20.8493,0.4931,0.4619,0.5908,0.09816868357674101
429236454,28.6489,27.5035,39.8924,0.5538,0.5374,0.7174,0.06314598028335774
429236455,29.3647,28.0804,40.8698,0.5726,0.547,0.741,0.06041383338136221
429236456,36.3561,35.0026,49.83,0.6269,0.6014,0.8234,0.05584942297118333
429236458,33.957,32.3357,47.085,0.5174,0.4879,0.6916,0.051500646728563054
429236459,29.1215,27.4844,42.1301,0.2761,0.2482,0.4379,0.04889563761385481
429236460,27.771,26.2824,40.6165,0.1108,0.0981,0.2532,0.04851807655625124
429236461,36.0937,34.179,52.749,0.7576,0.6993,0.9927,0.033510082066658835
429236464,12.4156,11.7582,19.0326,0.0449,0.0363,0.1146,0.08377203058083679
429236465,10.2843,9.6792,16.158,0.1111,0.0934,0.1666,0.08606693785815557
429236497,40.5871,34.1052,26.2796,0.3262,0.2251,0.0933,0.06444121395927624
429236498,39.9743,33.6485,25.6809,0.3755,0.2691,0.1174,0.06477336728387235
429236499,39.2988,33.2916,25.4631,0.3639,0.2679,0.11,0.0589957324588329
429236500,38.8328,32.7825,24.8271,0.3518,0.2674,0.1045,0.06100034753906654
429236501,36.6246,30.4925,23.1214,0.3554,0.2825,0.1061,0.06346488289866778
429236502,34.5505,29.0141,21.9504,0.2928,0.2347,0.0757,0.06411244968272661
