detection_id,B,G,R,nB,nG,nR,Compactness
26705509,1.1917,2.435,5.9262,0.0124,0.0212,0.0365,0.10133499999681532
26705515,7.2242,11.7724,18.3757,0.0889,0.1411,0.1558,0.049668666921834095
26705517,13.8311,14.1226,14.9423,0.0676,0.0711,0.0814,0.07479714303071543
26705519,1.0169,2.5222,6.5695,0.0125,0.0222,0.0406,0.10648688664370398
26705527,5.1919,6.2287,5.7878,0.0645,0.0813,0.0496,0.15904183716398032
26705528,2.8456,3.5359,3.674,0.0628,0.0788,0.0426,0.16317136358672749
26705529,3.6271,4.5424,4.397,0.0885,0.1132,0.0569,0.13807493637999585
26705530,20.0904,24.1064,16.0406,0.7426,0.9169,0.4419,0.08975514439115811
26705531,8.4802,10.5572,8.194,0.314,0.3944,0.1781,0.09665858053229819
26705532,1.0195,2.4462,5.9967,0.0126,0.0232,0.041,0.12081909724428652
26705533,14.6029,17.8365,13.0068,0.2941,0.3604,0.1416,0.06411244968272661
26705535,1.9954,2.5647,3.3577,0.0844,0.1042,0.0595,0.15705446369492315
26705539,0.3595,1.755,6.7207,0.0022,0.0045,0.0244,0.07221810771057427
26705540,0.0179,0.0148,4.2689,0.0051,0.0032,0.026,0.07479714303071543
26705543,0.386,0.6935,8.0265,0.0148,0.0109,0.0708,0.04392951852009268
26705545,1.3054,4.1623,12.0716,0.0115,0.028,0.0598,0.049086630312145024
26705546,1.8071,3.8362,10.5853,0.0337,0.0564,0.1044,0.05983849013957345
26705550,2.0076,4.4085,11.3924,0.0416,0.0625,0.1036,0.05560231145909046
26705551,0.4137,1.364,4.9429,0.0022,0.0033,0.0163,0.10559216905199818
26705552,0.4837,1.2137,4.3682,0.0035,0.0043,0.0173,0.12318763468639518
26705553,0.3977,1.025,3.8548,0.0005,0.0009,0.0112,0.12953615542145414
26705554,3.0834,6.8234,17.3045,0.0835,0.152,0.2134,0.03819530033179143
26705556,2.8552,6.6296,13.7564,0.0445,0.0899,0.1244,0.06579069379816853
26705557,4.3929,9.3033,17.9786,0.0686,0.1234,0.19,0.05983849013957345
26705558,4.1855,9.205,18.2608,0.0835,0.1459,0.2094,0.05045389950954703
26705559,2.664,6.6004,14.1455,0.0242,0.0469,0.0826,0.05870005320993175
26705560,1.0353,2.3663,7.0781,0.0157,0.0256,0.0495,0.07848817937962665
26705563,1.4738,5.234,11.3655,0.0082,0.0174,0.0404,0.06443600599593552
26705565,1.177,2.5103,5.9619,0.0012,0.0037,0.0156,0.08321729873508964
26705566,4.8779,9.8857,13.3249,0.1272,0.178,0.1015,0.045040172094838404
26705568,3.0829,6.0506,11.3317,0.0621,0.0912,0.0744,0.04288813389916635
26705569,1.6425,2.6511,5.3025,0.0453,0.0675,0.0435,0.07853670966610296
26705570,2.1759,3.2426,2.7954,0.0455,0.0637,0.0277,0.17449830252036147
26705572,1.9964,2.963,3.595,0.0501,0.0732,0.0655,0.15705446369492315
26705573,3.1661,4.1349,3.5811,0.0313,0.0421,0.0189,0.15137953892966877
26705574,2.9414,3.8415,3.4242,0.0376,0.0502,0.0221,0.15511613727099602
26705576,4.1638,5.3283,4.6091,0.0499,0.0681,0.0273,0.12081909724428652
26705580,4.1211,5.2242,4.5743,0.0764,0.1047,0.049,0.15322506464696445
26705587,0.4607,1.212,3.2407,0.0006,0.0009,0.0083,0.16752101074657041
26705591,1.0006,2.4424,5.1619,0.0091,0.0176,0.03,0.12821464331793822
26705593,17.7455,23.2841,19.3803,0.2153,0.3722,0.3534,0.06866661880204716
26705604,3.1501,5.6181,7.7829,0.047,0.0737,0.05,0.07569824722699373
26705605,0.7566,2.4826,7.2102,0.0217,0.0394,0.0629,0.07756719641593564
26705607,0.1346,0.9299,4.5333,0.0,0.0011,0.0193,0.09447856694680049
26705609,4.2411,9.9079,18.3461,0.1343,0.2564,0.3407,0.05192625725187585
26705616,1.5557,3.2735,6.5188,0.0133,0.0263,0.0435,0.10471236017896915
26705617,3.4119,5.0539,5.8833,0.0316,0.0417,0.0345,0.09105580497377844
26705619,4.6476,6.2251,5.8828,0.0552,0.0711,0.0423,0.10052442674077641
26705620,1.2546,2.8352,6.0181,0.0252,0.0476,0.0722,0.10133499999681532
26705621,6.2367,8.1901,7.2817,0.0739,0.1,0.0622,0.09665858053229819
26705623,3.1741,4.3695,5.3198,0.0227,0.0314,0.0261,0.09592081711552267
26705624,3.5155,5.2681,6.8627,0.0556,0.0834,0.0897,0.10052442674077641
26705625,5.64,7.2601,6.7991,0.0467,0.0592,0.039,0.08975514439115811
26705626,4.9322,6.3044,5.4216,0.0284,0.0521,0.0339,0.12953615542145414
26705631,12.0411,14.6417,10.658,0.1772,0.2201,0.1187,0.10471236017896915
26705642,2.9758,3.8893,4.1772,0.0475,0.0652,0.04,0.15705446369492315
26705643,3.6102,4.7773,4.7113,0.0827,0.1088,0.0691,0.1351063003197879
26705644,3.5768,4.5925,4.5688,0.0564,0.0741,0.0432,0.14610036423614817
26705645,2.6262,3.4522,3.5882,0.0274,0.0364,0.0236,0.15705446369492315
26705646,4.1899,5.6617,5.0325,0.0539,0.073,0.0416,0.13226261511265314
26705654,4.027,5.5609,5.3531,0.0496,0.0685,0.0379,0.1256508846247525
26705655,4.1026,5.725,5.7147,0.0201,0.0304,0.0218,0.10832258979485408
26705656,3.7191,5.1397,5.2164,0.0367,0.0497,0.0292,0.12318763468639518
26705657,3.8162,5.2698,5.1667,0.0397,0.0565,0.0347,0.12081909724428652
26705658,3.5155,4.9663,4.8004,0.0331,0.0462,0.0272,0.12691981982432735
26705659,4.0702,5.7335,5.4721,0.0254,0.0367,0.0255,0.1256508846247525
26705663,2.3899,3.071,3.5228,0.0279,0.0363,0.0233,0.16317136358672749
26705665,1.5066,2.2375,2.645,0.013,0.0174,0.014,0.1903544897796419
26705670,2.6963,3.4579,3.4629,0.0171,0.0241,0.0145,0.16108014280507627
26705671,2.7223,3.4944,3.3856,0.034,0.0436,0.0223,0.16752101074657041
26705680,3.7644,5.3871,4.9217,0.0496,0.0761,0.0409,0.12199187159268324
26705682,3.8972,5.7389,5.0487,0.0369,0.0522,0.0283,0.12821464331793822
26705694,3.1161,5.5027,5.583,0.0319,0.0455,0.032,0.09972671719555438
26705695,3.219,5.861,6.0907,0.0307,0.0452,0.0305,0.09172037375316221
26705696,2.9498,5.556,7.0766,0.0126,0.0185,0.0217,0.08003728818317192
26705697,2.9489,5.777,7.3473,0.0186,0.0269,0.0265,0.07756719641593564
26705698,2.9085,5.8135,7.4718,0.0171,0.0251,0.0262,0.07615699026400004
26705700,1.8807,4.5609,7.6109,0.0041,0.0052,0.019,0.08106994029334431
26705714,0.5577,1.6645,6.4577,0.0097,0.0149,0.0342,0.07569824722699373
26705715,0.0351,0.4639,3.0618,0.0,0.0,0.0127,0.13226261511265314
26705716,0.5167,1.5385,5.3789,0.0088,0.0128,0.0318,0.09592081711552267
26705717,0.244,0.9008,4.2085,0.0032,0.0045,0.0224,0.11219063124580061
26705718,0.2982,0.9228,4.4179,0.0106,0.0102,0.0353,0.10559216905199818
26705719,0.3378,1.2175,5.3922,0.0021,0.0024,0.0241,0.08666044549832956
26705720,0.247,1.097,5.4139,0.0019,0.0059,0.0249,0.07953076456813789
26705724,0.3535,0.8545,6.3975,0.0042,0.0125,0.0429,0.05981729814545558
26705725,0.045,0.1184,3.6279,0.0024,0.0031,0.0251,0.0937735836449438
26705732,1.6785,2.5855,3.1133,0.0261,0.0356,0.0236,0.16752101074657041
26705734,2.2553,3.1865,3.6065,0.0177,0.0244,0.0185,0.15904183716398032
26705735,2.23,3.0916,3.6902,0.0294,0.0388,0.0272,0.15511613727099602
26705736,2.4553,3.4011,3.7071,0.039,0.0541,0.0338,0.16108014280507627
26705737,2.8426,3.872,4.0012,0.0411,0.056,0.0306,0.15322506464696445
26705738,2.8655,3.9009,4.0432,0.0272,0.0397,0.0207,0.14610036423614817
26705745,2.7947,3.5055,3.1751,0.0514,0.0653,0.0286,0.18208192715442573
26705747,2.629,3.3594,3.2403,0.0449,0.0595,0.0248,0.1653175867489029
26705748,2.8839,3.5881,3.4154,0.0723,0.0893,0.0471,0.17449830252036147
26705749,2.9067,3.616,3.3913,0.0525,0.0671,0.0325,0.1794818739290955
26705750,2.8156,3.5097,3.3147,0.0706,0.0863,0.0474,0.1794818739290955
26705751,2.0881,3.0572,7.5406,0.0123,0.0172,0.0386,0.08321729873508964
26705752,1.9759,2.9365,7.8181,0.019,0.026,0.0586,0.07804894248762141
26705753,1.855,2.5507,5.5712,0.0166,0.0243,0.0438,0.12953615542145414
26705756,3.7147,5.944,11.6668,0.0162,0.0307,0.0618,0.06866661880204716
26705758,1.5841,3.2976,8.4447,0.0091,0.0175,0.0388,0.06829345312829196
26705762,3.2,5.3246,8.3345,0.018,0.029,0.043,0.10926437976474195
26705763,6.9427,9.982,13.1193,0.1214,0.2015,0.2428,0.1132011898318306
26705765,6.0385,8.7478,12.0032,0.1063,0.1726,0.209,0.10559216905199818
26705766,3.3164,5.3309,8.1817,0.0211,0.037,0.0535,0.09894156757337469
26705771,5.3472,7.7714,10.5979,0.1115,0.1882,0.2234,0.12821464331793822
26705772,5.1328,6.9495,8.1613,0.0172,0.0346,0.0378,0.1256508846247525
26705773,7.4054,10.0375,12.7111,0.1002,0.1668,0.212,0.10832258979485408
26705774,9.0662,11.3329,10.5733,0.0488,0.0742,0.0558,0.10832258979485408
26705775,8.8408,11.6028,14.1636,0.3363,0.4584,0.3943,0.10739689511380088
26705777,9.5074,12.7538,15.0292,0.217,0.3181,0.3215,0.1132011898318306
26705778,11.004,13.6558,12.0403,0.1733,0.2246,0.1649,0.09972671719555438
26705779,7.9942,11.0747,14.4169,0.2003,0.2926,0.3068,0.11119795425652645
26705781,10.3319,12.6845,9.5841,0.3187,0.3831,0.2051,0.10739689511380088
26705782,7.7734,10.0284,10.3123,0.0461,0.0752,0.0653,0.10471236017896915
26705785,5.8574,7.5072,7.6812,0.0495,0.0664,0.0452,0.1038470904936626
26705787,3.8594,4.9361,4.4309,0.0127,0.0225,0.0157,0.14781870195462177
26705788,1.6373,2.5722,4.5855,0.009,0.012,0.0152,0.1411769425941694
26705790,0.8918,1.845,3.8336,0.0056,0.0076,0.0117,0.14781870195462177
26705793,1.0792,2.0022,3.9306,0.0135,0.0171,0.023,0.1396087127968195
26705794,0.5655,1.2308,3.7849,0.0,0.0,0.0099,0.12440706908215582
26705801,2.3606,5.8631,14.9242,0.0302,0.0513,0.0926,0.045040172094838404
26705802,4.7594,9.1748,16.6237,0.135,0.2196,0.2743,0.05192625725187585
26705803,3.9497,8.0575,15.3227,0.1074,0.192,0.2553,0.05764267775279962
26705804,2.0869,4.9761,11.7771,0.0309,0.053,0.0844,0.059274001684944774
26705805,3.9739,6.9347,14.0123,0.0813,0.1185,0.147,0.049084341788370504
26705807,1.7245,3.2543,7.0175,0.0135,0.0197,0.0349,0.08377203058083679
26705808,1.615,3.2388,7.5112,0.0149,0.0209,0.0334,0.0815963233535219
26705814,4.7178,7.6707,13.2091,0.0928,0.1684,0.2055,0.06477336728387235
26705815,0.2638,0.8079,2.8703,0.0,0.0,0.0082,0.1495779344429456
26705816,0.7334,1.3659,4.6459,0.0213,0.0311,0.0434,0.09740778003073822
26705819,1.9141,4.3377,8.0576,0.022,0.0313,0.0446,0.07804894248762141
26705820,13.5834,16.6877,12.649,0.3704,0.4667,0.2411,0.08003728818317192
26705821,1.9092,3.9307,7.1177,0.0296,0.0417,0.0502,0.08606693785815557
26705822,7.1854,8.725,7.4521,0.1177,0.1488,0.0864,0.10648688664370398
26705823,1.5455,2.6736,4.9711,0.0328,0.0447,0.0493,0.11743226366213184
26705825,1.608,2.74,4.6341,0.0366,0.0568,0.0673,0.1721088567938853
26705827,1.8081,3.492,6.4492,0.0244,0.0402,0.0534,0.10926437976474195
26705828,6.2432,7.6876,7.2961,0.047,0.0637,0.0521,0.10559216905199818
26705829,0.9686,1.8406,4.1328,0.0423,0.0658,0.0854,0.15322506464696445
26705830,2.1345,2.9837,4.185,0.0511,0.07,0.0544,0.15322506464696445
26705831,2.4864,3.411,4.5508,0.0712,0.0969,0.0705,0.14781870195462177
26705832,3.1536,4.6699,6.823,0.0565,0.0775,0.0683,0.10648688664370398
26705841,0.309,1.9984,9.0716,0.0001,0.0002,0.0316,0.05535737701133239
26705848,0.3937,1.8459,6.3575,0.0002,0.0004,0.0172,0.08377203058083679
26705849,0.4766,1.601,4.9921,0.0161,0.0275,0.039,0.10648688664370398
26705850,0.3715,1.2003,4.9074,0.0099,0.0164,0.029,0.09447856694680049
26705851,2.4119,3.2147,3.2308,0.0459,0.0594,0.0314,0.1903544897796419
26705852,2.6767,3.4484,3.7319,0.0668,0.0892,0.048,0.1653175867489029
26705854,2.5017,3.1528,3.4731,0.0594,0.0713,0.0473,0.18475840065665078
26705861,2.4123,3.1854,4.469,0.038,0.0475,0.0396,0.12821464331793822
26705862,2.6758,3.5722,4.7766,0.0493,0.0615,0.0439,0.12199187159268324
26705867,2.0159,3.0226,4.5001,0.029,0.0368,0.0326,0.13657449043501094
26705870,1.809,2.77,3.6312,0.0126,0.0173,0.0162,0.16978395275546265
26705871,1.9045,2.9327,3.7888,0.0209,0.0277,0.0222,0.16108014280507627
26705872,1.9237,3.0001,3.9151,0.0299,0.0402,0.0275,0.15705446369492315
26705873,4.4207,5.649,5.1769,0.022,0.0452,0.0257,0.1336693370934263
26705874,1.8535,2.919,3.9642,0.0067,0.0101,0.0126,0.1427807996875266
26705876,2.5988,3.7084,4.0525,0.0272,0.0433,0.0285,0.16317136358672749
26705877,4.2522,5.3164,4.8712,0.0105,0.0265,0.0134,0.1396087127968195
26705879,3.0887,3.9074,3.6372,0.0257,0.0355,0.0174,0.16317136358672749
26705881,1.9308,2.7667,4.2509,0.0272,0.0399,0.0406,0.15511613727099602
26705883,0.5675,1.4204,3.4741,0.0,0.0,0.0083,0.14781870195462177
26705885,0.841,2.071,4.8259,0.0,0.0,0.011,0.1132011898318306
26705887,1.1555,2.7347,5.7247,0.003,0.0058,0.0184,0.1038470904936626
26705891,2.3793,4.7254,8.4538,0.038,0.0665,0.0879,0.08849111644335216
26705893,3.0725,6.0288,10.1152,0.0622,0.1131,0.1421,0.08105950543672241
26705907,0.6742,1.5647,3.443,0.0,0.0003,0.0075,0.16317136358672749
26705908,0.5086,1.2885,3.7091,0.0009,0.0012,0.0095,0.15511613727099602
26705911,0.572,1.3109,3.3146,0.0009,0.0015,0.0095,0.15322506464696445
26705914,0.4192,1.1526,3.9109,0.0012,0.0018,0.0119,0.1256508846247525
26705915,1.1385,2.3868,5.3516,0.0316,0.0481,0.0606,0.10559216905199818
26705916,1.352,2.2589,4.6143,0.0171,0.022,0.0266,0.11853991327830876
26705917,0.8893,2.1369,4.895,0.0137,0.0212,0.0339,0.11219063124580061
26705919,1.5261,2.9662,5.616,0.0115,0.0189,0.0297,0.1336693370934263
26705920,1.4343,2.7094,5.3291,0.0295,0.0431,0.0463,0.12953615542145414
26705921,2.4434,4.3816,7.2542,0.0342,0.0533,0.0695,0.12440706908215582
26705922,1.5168,2.7649,5.5442,0.0126,0.0189,0.0294,0.12691981982432735
26705923,1.7825,3.4053,6.4786,0.0335,0.0495,0.0524,0.10471236017896915
26705924,1.8784,3.7154,6.6635,0.0386,0.0549,0.0489,0.10471236017896915
26705925,2.0158,3.7614,6.6985,0.0389,0.0564,0.0525,0.10559216905199818
26705926,2.6693,4.6387,7.7798,0.0497,0.0668,0.0713,0.10133499999681532
26705928,3.0973,5.0211,8.3444,0.0445,0.0625,0.0639,0.08849111644335216
