detection_id,B,G,R,nB,nG,nR,Compactness
559059339,17.7075,17.1644,18.2679,0.0562,0.0539,0.0602,0.07569824722699373
559059343,16.701,16.1876,17.337,0.1184,0.1161,0.0887,0.06829345312829196
559059344,23.2255,22.4921,24.0667,0.1511,0.1433,0.0964,0.04927912092245134
559059345,28.9173,27.778,28.8505,0.1414,0.1259,0.072,0.04889563761385481
559059346,25.2914,24.5412,26.2016,0.1258,0.1107,0.0549,0.047962542530693694
559059351,10.8216,11.4736,15.0061,0.1917,0.201,0.2191,0.08787235948346774
559059353,13.0868,13.609,17.2076,0.2531,0.2671,0.2748,0.08377203058083679
559059355,15.3039,15.9626,19.9938,0.3589,0.3699,0.3797,0.07099415216660818
559059356,16.5013,17.2896,21.3446,0.418,0.4316,0.4371,0.06904388481989716
559059363,12.2625,13.0791,17.9122,0.2064,0.2172,0.2427,0.07804894248762141
559059366,12.6629,13.5243,18.6605,0.2272,0.2488,0.2765,0.07569824722699373
559059369,12.4068,13.003,18.0531,0.217,0.2327,0.2681,0.07662132709270902
559059371,12.0381,12.5631,17.6026,0.1973,0.2113,0.2529,0.07615699026400004
559059377,10.0352,10.6944,14.6975,0.125,0.1382,0.1574,0.08606693785815557
559059378,10.003,10.6905,14.6335,0.1221,0.1366,0.1545,0.08726219508235135
559059381,9.5993,10.1532,14.0306,0.1063,0.1162,0.1336,0.08975514439115811
559059387,8.8268,9.4492,12.9203,0.0986,0.1053,0.1189,0.08975514439115811
559059388,8.2933,8.9171,12.2207,0.0939,0.0997,0.1121,0.09239471398211957
559059390,8.5604,9.2261,12.3408,0.0986,0.1082,0.1153,0.09040079679516942
559059393,50.0671,47.932,53.9926,0.3198,0.3025,0.3286,0.05439884443645084
559059394,53.9099,51.542,58.38,0.3591,0.3441,0.3737,0.04778018079289879
559059409,6.4393,6.8082,11.0106,0.1028,0.1094,0.1406,0.09105580497377844
559059430,30.8862,28.947,29.6223,0.4598,0.4404,0.3721,0.0598272913096985
559059431,9.2749,8.6085,14.5682,0.0,0.0,0.0252,0.04947312713553582
559059459,29.4934,28.3191,28.7035,0.2718,0.2663,0.1894,0.05192625725187585
559059461,68.0894,64.0786,62.0562,3.6313,3.3978,2.969,0.04603003942056844
559059486,26.0936,22.8815,25.6858,0.318,0.2693,0.262,0.05006442052760694
