detection_id,B,G,R,nB,nG,nR,Compactness
428619954,12.7598,11.9311,16.196,0.0591,0.0577,0.0789,0.05511459098459456
428619955,26.3374,25.1053,28.0785,0.1222,0.1193,0.1381,0.05737948033237819
428619962,23.0641,21.8812,28.9838,0.3478,0.3234,0.3969,0.05439884443645084
428619967,14.6403,15.4468,25.4012,0.3165,0.3249,0.4492,0.05214171140333059
428619969,30.9707,29.4853,33.1614,0.2775,0.2552,0.2734,0.05279893651282317
428619974,19.7925,18.9505,20.8289,0.1191,0.1116,0.1212,0.07348500463068167
428619977,20.9381,20.3145,25.4069,0.275,0.2697,0.3076,0.06283026644890574
428619978,24.7192,23.0184,25.4534,0.1617,0.1518,0.1575,0.06684048540909966
428619981,20.4232,19.3514,21.1742,0.1207,0.1106,0.1148,0.08106994029334431
428619983,20.8871,19.7082,22.9484,0.1094,0.1004,0.1184,0.06190178642991358
428619984,10.4615,11.0828,18.1556,0.1766,0.1815,0.2583,0.06904388481989716
428619987,21.2698,19.9897,22.7576,0.1396,0.13,0.1511,0.07435458803139107
428619991,18.4475,17.2472,20.4896,0.1796,0.1628,0.1753,0.07020097205976435
428619998,13.3472,14.5009,21.0686,0.1715,0.1954,0.2509,0.07221810771057427
428619999,13.7613,14.4361,21.0355,0.2006,0.2165,0.2847,0.07099415216660818
428620001,15.3871,15.2859,22.5539,0.1658,0.1673,0.2234,0.07020097205976435
428620002,15.0257,14.8052,21.1799,0.2011,0.2016,0.2606,0.07853670966610296
428620046,7.6331,9.0231,15.3178,0.1595,0.2011,0.2852,0.08548150399146558
428620048,12.6335,14.2091,17.6809,0.0824,0.097,0.1036,0.07305779571290515
428620049,12.191,13.1708,15.6133,0.1008,0.1074,0.1055,0.08666044549832956
428620050,15.7667,17.2971,20.0451,0.0895,0.1082,0.1088,0.08003728818317192
428620052,22.2378,25.7943,31.9842,0.1157,0.1695,0.1942,0.05129044711249124
428620054,22.6362,26.455,31.7552,0.297,0.3643,0.3701,0.05129044711249124
428620055,13.9591,15.4114,18.4619,0.4399,0.4842,0.4861,0.09665858053229819
