detection_id,B,G,R,nB,nG,nR,Compactness
432477150,4.2484,7.1836,6.3441,0.0475,0.1027,0.0362,0.07020097205976435
432477151,8.8344,11.3382,6.7228,0.1705,0.2218,0.0578,0.07391723900466864
432477152,13.0657,15.7313,8.9205,0.2487,0.2898,0.0799,0.05560231145909046
432477162,10.4283,13.7779,6.7339,0.1904,0.2319,0.0382,0.06510896233025722
432477163,11.4587,14.7799,7.3953,0.1432,0.1724,0.0359,0.05764267775279962
432477171,0.3501,0.5596,3.9361,0.0145,0.0207,0.0263,0.08666044549832956
432477172,2.0998,1.8508,3.0253,0.0243,0.0232,0.0172,0.11119795425652645
432477173,2.9967,2.9493,3.4884,0.0438,0.0484,0.0245,0.09972671719555438
432477174,3.8511,3.3093,3.4564,0.0811,0.0786,0.0168,0.1021587506273488
432477175,3.8636,3.3481,3.6128,0.0631,0.0626,0.022,0.10559216905199818
432477180,5.4442,4.9572,3.8374,0.1038,0.0859,0.0281,0.10052442674077641
432477181,4.3752,4.2155,3.7305,0.0859,0.088,0.0269,0.10559216905199818
432477182,5.1612,4.8988,4.2814,0.1212,0.1238,0.0322,0.09105580497377844
432477183,4.8245,4.5445,4.1921,0.1168,0.1253,0.0216,0.08975514439115811
432477185,3.9126,2.9649,4.3949,0.0623,0.0431,0.0224,0.08055030487456037
432477187,4.4869,3.8353,4.5345,0.08,0.0765,0.0276,0.08321729873508964
432477188,4.4822,3.2677,4.1585,0.0588,0.0328,0.0196,0.09040079679516942
432477190,0.562,0.6915,4.17,0.0091,0.0092,0.0258,0.07903061153879146
432477195,0.0709,0.1181,4.1429,0.0043,0.0043,0.0233,0.07853670966610296
432477196,8.3911,11.1208,17.9255,0.1562,0.2107,0.243,0.05737948033237819
432477198,8.038,10.4834,17.6347,0.1669,0.2208,0.2609,0.05439884443645084
432477199,8.2363,9.8565,17.0988,0.1724,0.2201,0.2598,0.05790830079919458
432477200,8.2215,10.427,17.7705,0.1785,0.2487,0.2824,0.05370144932732833
432477209,19.4949,20.776,10.7972,0.523,0.5608,0.1248,0.07221810771057427
432477210,18.9823,21.7099,10.7395,0.5145,0.6238,0.1367,0.07221810771057427
432477211,18.7875,21.1793,11.1913,0.3774,0.4302,0.1112,0.07180546030797123
432477212,17.4312,19.8092,10.3419,0.4278,0.4923,0.1203,0.06829345312829196
432477214,19.557,21.8913,12.7996,0.3294,0.3918,0.1034,0.06866661880204716
432477217,7.3759,5.9916,4.2084,0.0854,0.0689,0.0291,0.09172037375316221
432477219,11.2838,10.8462,5.0808,0.1092,0.1014,0.0216,0.07435458803139107
432477221,13.4662,13.7687,5.5069,0.2347,0.249,0.0383,0.07479714303071543
432477222,15.0469,14.3212,6.2695,0.4558,0.4395,0.0868,0.07615699026400004
432477223,13.6785,12.9795,5.8991,0.2294,0.2156,0.0446,0.08055030487456037
432477226,12.0309,11.1878,5.6367,0.2236,0.2076,0.0477,0.09894156757337469
432477227,11.8312,11.0521,5.4914,0.2707,0.2471,0.0532,0.10133499999681532
432477228,10.9028,10.6233,5.0537,0.1897,0.1867,0.0345,0.10471236017896915
432477229,7.0651,11.5789,11.257,0.1702,0.207,0.1124,0.06411244968272661
432477230,11.2346,15.648,11.421,0.2939,0.3991,0.1876,0.08433420746488306
