detection_id,B,G,R,nB,nG,nR,Compactness
428198931,20.518,18.8476,20.79,0.2661,0.2426,0.234,0.08377203058083679
428198978,16.7358,13.893,17.6853,0.4188,0.3323,0.3466,0.08106994029334431
428198979,18.6076,15.497,19.5293,0.5756,0.4635,0.4894,0.0815963233535219
428198980,16.8027,14.0201,17.5799,0.4728,0.371,0.3971,0.08548150399146558
428198982,20.3651,17.3285,20.7723,0.4338,0.3521,0.3522,0.07903061153879146
428198988,4.7127,5.358,10.653,0.03,0.0366,0.0634,0.08106994029334431
428198989,4.5652,5.052,11.5401,0.0429,0.0494,0.0813,0.06477336728387235
428198990,5.5818,6.0526,12.6211,0.0359,0.0424,0.0732,0.06579069379816853
428198992,3.3586,3.4524,8.6327,0.0088,0.0094,0.0305,0.06981099120988524
428198994,4.5462,4.3306,10.998,0.0038,0.0039,0.0253,0.06100034753906654
428199013,39.0301,40.066,55.6618,0.4959,0.504,0.6676,0.0393926217787257
428199023,47.2866,45.2465,70.5089,0.8828,0.8345,1.2098,0.029021485633084727
428199030,19.2747,18.4058,29.9455,0.3261,0.308,0.463,0.05844695914181379
428199049,9.1998,7.8963,12.7499,0.4304,0.3724,0.4483,0.08666044549832956
428199050,9.6507,8.6984,13.7102,0.1809,0.163,0.209,0.08666044549832956
428199051,9.2613,8.2697,12.8261,0.2319,0.2003,0.2439,0.09447856694680049
428199061,23.4577,21.4786,24.6776,0.1049,0.1023,0.1154,0.07662132709270902
428199062,20.3535,18.8113,22.0166,0.0955,0.0915,0.1066,0.07662132709270902
428199063,20.8942,19.2684,21.8733,0.0964,0.0927,0.1049,0.08490398027194407
428199064,33.817,32.6412,35.9698,0.1501,0.1472,0.1649,0.06129789587454133
428199075,20.5277,20.0752,24.1745,0.0866,0.0857,0.1003,0.09519422993221213
428199077,13.0934,13.6041,18.6767,0.3341,0.3519,0.3858,0.06904388481989716
428199102,15.5664,14.2788,19.0625,0.6702,0.6068,0.6615,0.07903061153879146
428199104,9.8543,10.6336,19.7299,0.3512,0.3855,0.6041,0.0661369411690469
428199118,28.3774,27.2242,35.6676,0.161,0.1595,0.1904,0.051712576293637055
428199122,21.4436,20.0676,30.3581,0.4093,0.393,0.5125,0.03762352482182404
428199126,23.3328,23.2642,30.2803,0.1161,0.1163,0.1635,0.06378702284985524
428199128,21.2541,20.7998,27.7572,0.6278,0.6022,0.6657,0.06684048540909966
428199132,24.5396,23.8612,28.9479,0.1186,0.1186,0.1364,0.08055030487456037
428199135,16.1298,16.4722,22.4786,0.379,0.393,0.4729,0.08433420746488306
428199143,54.1157,54.4837,66.7957,1.5646,1.5575,1.7306,0.04288813389916635
428199156,26.1143,25.5194,35.5796,0.1361,0.1279,0.2215,0.05257802831020273
428199167,18.4942,16.7494,21.4189,0.472,0.4178,0.4656,0.08548150399146558
428199178,32.1701,29.3837,36.6321,0.7066,0.6364,0.6985,0.05257802831020273
428199180,64.0882,63.0711,79.6908,0.569,0.5782,0.7285,0.04133629519476816
428199181,23.9739,22.3388,28.9258,0.4398,0.3987,0.4515,0.0589957324588329
428199210,29.0382,27.2319,37.1755,0.6673,0.606,0.7355,0.05108195634991484
428199225,7.2232,6.1711,10.9291,0.3149,0.2747,0.3192,0.0815963233535219
428199226,46.4644,42.8375,61.8436,0.9793,0.8917,1.1851,0.03695959196015872
428199244,18.5636,17.9206,25.9597,0.9638,0.9425,1.1303,0.06190178642991358
428199245,22.9238,20.8562,27.3665,0.4826,0.432,0.5205,0.0815963233535219
428199251,20.5869,20.2799,33.3113,0.5557,0.555,0.7671,0.040932366155960825
428199252,13.4288,12.9091,19.1145,0.2635,0.252,0.3102,0.07263552511680024
428199253,35.6926,33.6335,42.1419,0.3826,0.3583,0.4285,0.07221810771057427
428199261,8.063,7.9755,15.6905,0.0049,0.0049,0.0258,0.06251769380643689
428199284,5.3403,5.8494,11.4693,0.0797,0.0874,0.1225,0.07479714303071543
428199292,31.3975,29.6549,39.0843,0.602,0.5558,0.6249,0.041887433508339206
428199295,27.5695,27.8096,32.698,0.1705,0.1712,0.2015,0.07662132709270902
428199335,4.2409,5.1449,9.7302,0.0337,0.0421,0.07,0.08787235948346774
428199336,7.1526,7.5406,13.5438,0.041,0.0483,0.0705,0.06251769380643689
428199338,7.9062,7.8024,14.1142,0.0273,0.0317,0.0594,0.06792432131461863
428199339,7.0729,6.8316,12.5787,0.0114,0.014,0.0353,0.0661369411690469
428199340,5.5838,5.3565,9.7205,0.0181,0.0177,0.0335,0.09105580497377844
428199367,4.3355,4.0575,9.6952,0.0387,0.039,0.0639,0.06942531913488556
428199371,9.4343,10.1156,16.1739,0.1703,0.1863,0.2441,0.07020097205976435
428199379,14.9945,15.274,26.2171,0.2293,0.2329,0.3178,0.03878170684840226
428199401,5.4912,5.7927,12.6023,0.0562,0.061,0.1036,0.059274001684944774
428199413,4.9522,5.2329,10.5865,0.0892,0.0949,0.1306,0.0752449975094086
428199414,4.3072,4.6843,9.6959,0.0563,0.0671,0.1031,0.08787235948346774
428199415,4.5739,4.9206,10.1824,0.0991,0.1165,0.1692,0.08606693785815557
428199416,4.8639,5.3858,10.6052,0.0977,0.1162,0.1663,0.08975514439115811
428199417,5.5231,6.3243,11.7058,0.0566,0.0684,0.1066,0.09172037375316221
428199418,5.2698,5.9542,11.4008,0.0559,0.0679,0.1053,0.08433420746488306
428199419,7.1535,8.0289,15.2419,0.0316,0.0396,0.0719,0.06444121395927624
428199420,7.015,8.0513,15.1455,0.0366,0.0453,0.0777,0.06510896233025722
428199421,6.6924,7.6186,14.5735,0.0333,0.0415,0.0742,0.06719790044098876
428199424,5.9115,6.7859,12.6667,0.0622,0.0787,0.1283,0.08377203058083679
428199429,21.2787,19.4703,22.8783,0.1023,0.0957,0.1089,0.07479714303071543
428199431,26.5975,23.852,26.5829,0.2279,0.1941,0.1953,0.07953076456813789
428199435,5.1892,4.6016,8.824,0.0118,0.011,0.0282,0.08787235948346774
428199436,6.6619,5.5764,10.9713,0.0124,0.0097,0.0297,0.07180546030797123
428199437,7.552,5.9167,11.1658,0.1225,0.0994,0.1308,0.08003728818317192
428199438,7.2761,6.0362,11.8147,0.1565,0.1233,0.195,0.08849111644335216
428199440,23.6332,21.0922,31.7964,0.2523,0.2242,0.3294,0.05686023067241032
428199443,25.2654,21.4779,25.4346,0.7976,0.6658,0.629,0.05635029433027713
428199444,10.0241,7.9621,16.1222,0.002,0.0017,0.0281,0.04889563761385481
428199445,5.9101,4.6003,10.9326,0.0093,0.0075,0.0291,0.06100034753906654
428199451,5.0878,4.4478,10.6629,0.0,0.0,0.0213,0.05844695914181379
428199484,26.3414,24.4361,27.5536,0.1892,0.1739,0.1793,0.05737948033237819
428199493,18.0199,16.0768,22.7078,0.3897,0.3417,0.3805,0.056098740702361524
428199495,71.7017,64.5109,75.6443,1.4957,1.3386,1.473,0.03819530033179143
428199513,4.5714,5.1411,10.9101,0.0258,0.0344,0.0656,0.07853670966610296
428199514,5.1527,5.7598,11.9119,0.0567,0.0742,0.1183,0.07479714303071543
428199516,5.1165,5.9182,12.0569,0.0485,0.0615,0.0979,0.0752449975094086
428199517,5.3236,6.0467,12.3527,0.0481,0.0595,0.0963,0.07479714303071543
428199518,5.7818,6.5841,13.6771,0.0497,0.0629,0.1053,0.06579069379816853
428199519,5.3546,5.9957,12.6703,0.0404,0.047,0.08,0.06942531913488556
