detection_id,B,G,R,nB,nG,nR,Compactness
428134562,17.7527,16.7783,23.3651,0.1569,0.1427,0.1845,0.06190178642991358
428134619,56.4953,59.3767,67.7565,0.3822,0.4078,0.4453,0.04851807655625124
428134645,8.4758,8.0306,15.8753,0.0731,0.0533,0.0975,0.05302170881884524
428134647,9.206,8.3134,15.5756,0.3921,0.3491,0.4472,0.05898500492454307
428134684,38.6975,35.5631,45.2963,0.162,0.162,0.1823,0.06190178642991358
428134694,15.9169,14.7026,22.0507,0.436,0.4032,0.4679,0.05660411406725943
428134696,15.7929,14.6733,20.616,0.1234,0.1062,0.1489,0.08266986501266944
428134699,20.2949,18.0314,28.3657,0.4011,0.3562,0.4897,0.05463535211139932
428134720,29.6542,24.1353,26.5168,0.517,0.3693,0.3564,0.0815963233535219
428134721,30.6634,25.531,28.0384,0.4149,0.3094,0.3003,0.07756719641593564
428134722,29.3799,24.5258,27.4359,0.5484,0.4397,0.4402,0.07804894248762141
428134723,29.2383,24.399,27.05,0.5326,0.4325,0.4119,0.07853670966610296
428134725,26.9917,22.6273,25.6721,0.3677,0.2979,0.2979,0.0815963233535219
428134726,26.5713,22.4205,25.4464,0.4274,0.3569,0.353,0.08212958633865283
428134727,26.3691,22.2288,25.264,0.4551,0.3726,0.3682,0.08266986501266944
428134728,26.68,22.4948,25.6522,0.5152,0.4217,0.4136,0.077091360650504
428134729,27.3763,23.0877,26.2472,0.5086,0.4197,0.413,0.07662132709270902
428134730,29.8043,24.8236,28.1047,0.4007,0.3171,0.3164,0.07479714303071543
428134734,28.6492,23.8276,27.3378,0.3605,0.2398,0.239,0.07020097205976435
428134735,29.2393,24.3934,27.448,0.3128,0.217,0.2198,0.07569824722699373
428134736,25.8042,21.5752,24.5307,0.5692,0.4472,0.444,0.08106994029334431
428134737,23.8199,19.8644,22.7964,0.461,0.364,0.3648,0.08433420746488306
428134772,24.0736,19.6961,29.4153,0.5327,0.4494,0.5541,0.04520218287170602
428134775,17.6505,15.6516,24.5458,0.4786,0.4119,0.5175,0.05006442052760694
428134778,16.142,16.3477,23.102,0.1375,0.1389,0.1729,0.05584942297118333
428134779,31.4192,26.7011,30.5517,0.3988,0.3023,0.3179,0.0752449975094086
428134780,32.4853,27.2796,31.4641,0.4689,0.3709,0.3804,0.06544805286939072
428134781,28.9227,24.6431,28.1753,0.856,0.6986,0.6818,0.06648685222060789
428134782,26.419,21.9637,26.132,1.1526,0.9375,0.926,0.06719790044098876
428134783,12.7101,10.3558,16.0926,0.3944,0.3103,0.3525,0.05872006370526449
428134786,11.615,9.1326,13.2773,0.5713,0.4274,0.4387,0.07180546030797123
428134799,9.5849,8.159,12.54,0.2551,0.2107,0.2577,0.09239471398211957
428134817,17.7635,15.6518,23.2312,0.2743,0.2503,0.2957,0.05660411406725943
428134825,9.0208,8.0885,16.2088,0.0597,0.0505,0.1079,0.051712576293637055
428134828,6.9539,7.864,15.1179,0.1296,0.1416,0.1991,0.06041383338136221
428134832,9.5637,7.8486,13.0241,0.3709,0.2917,0.3691,0.08726219508235135
428134837,17.7799,17.277,21.2524,0.1188,0.1038,0.127,0.1021587506273488
428134839,10.3886,8.1157,13.0924,0.101,0.085,0.105,0.06904388481989716
428134842,23.9932,20.1498,22.687,0.2814,0.2175,0.1971,0.07756719641593564
428134843,20.6869,17.0551,20.3209,0.3093,0.2448,0.2474,0.08377203058083679
428134844,17.407,14.2617,18.0475,0.2719,0.2106,0.2209,0.07804894248762141
428134850,17.0777,14.6376,16.5245,1.1294,0.9568,0.9037,0.11119795425652645
428134857,21.884,18.6863,20.4921,1.2729,1.0792,1.0224,0.10471236017896915
428134858,18.9557,16.0933,18.1375,0.8763,0.7421,0.7139,0.10926437976474195
428134859,17.9382,15.2422,17.3565,0.606,0.5129,0.5007,0.11119795425652645
428134860,14.845,12.574,14.6263,0.4629,0.3957,0.3874,0.11743226366213184
428134862,17.0497,14.2665,17.1235,0.2296,0.1701,0.1724,0.09740778003073822
428134863,17.291,14.4305,18.4644,0.4125,0.3242,0.3536,0.08212958633865283
428134864,11.8515,9.7344,13.407,0.5833,0.4684,0.5021,0.09105580497377844
428134865,6.8969,5.7398,9.091,0.0624,0.0514,0.0646,0.08911864874469005
428134866,8.1872,6.6677,9.9935,0.1284,0.1038,0.1193,0.08911864874469005
428134867,12.9815,10.2195,13.3518,0.2832,0.2191,0.2307,0.09105580497377844
428134868,13.3983,10.5563,13.6642,0.239,0.1833,0.197,0.09040079679516942
428134953,28.3536,22.3524,32.7458,0.2143,0.1239,0.2103,0.04552972625896745
428134954,18.343,17.9594,26.4692,0.2972,0.2893,0.3517,0.05559334664197989
428134956,7.4167,5.9996,13.8565,0.0638,0.0246,0.0745,0.04569528448132631
428134957,17.4265,17.2828,22.136,0.0992,0.0936,0.1127,0.09172037375316221
428134991,4.9609,5.4571,11.7535,0.0523,0.0551,0.0904,0.06792432131461863
428135036,27.7029,25.7496,34.6743,0.7239,0.6692,0.8261,0.06444121395927624
428135037,10.5526,10.1189,19.1229,0.0074,0.0068,0.0305,0.05635029433027713
428135061,22.0057,20.7126,25.8299,0.1314,0.1204,0.1464,0.08055030487456037
428135066,64.2988,62.2106,84.09,0.8938,0.864,1.1014,0.0356996267483682
428135067,37.5455,33.1513,55.4411,0.8431,0.6992,1.1269,0.03519963994522082
428135073,9.2366,8.714,16.2339,0.2331,0.2239,0.3407,0.07263552511680024
428135074,12.5233,13.722,29.0371,0.6908,0.7602,1.3685,0.05764267775279962
428135077,8.4036,8.256,17.3998,0.0402,0.0382,0.0743,0.06012478543760053
428135082,12.1077,12.0343,19.6574,0.1789,0.1805,0.2745,0.07435458803139107
428135093,11.8656,11.3502,20.3588,0.0037,0.0036,0.028,0.05302170881884524
428135096,6.3843,6.4514,16.8539,0.0646,0.0647,0.1234,0.04027641246938456
428135097,13.4257,10.9339,12.8877,0.157,0.1207,0.1095,0.10559216905199818
428135098,13.6108,11.031,13.1018,0.1162,0.0871,0.0807,0.1038470904936626
428135099,13.4774,11.0858,13.1396,0.1337,0.1026,0.0976,0.09816868357674101
428135100,13.21,10.7446,12.8115,0.1949,0.1525,0.1361,0.10133499999681532
428135101,12.3174,10.0612,12.0411,0.2083,0.1678,0.1479,0.10471236017896915
428135178,20.7709,20.4459,25.117,0.0824,0.0822,0.099,0.07479714303071543
428135180,20.6865,20.3473,25.0373,0.0896,0.09,0.1096,0.07479714303071543
428135182,21.1548,20.7509,25.6485,0.0861,0.0857,0.1037,0.07221810771057427
428135184,21.165,20.829,25.6777,0.0865,0.0861,0.1046,0.07221810771057427
428135186,20.4794,20.1013,24.7808,0.0813,0.0812,0.0978,0.07569824722699373
428135188,20.6481,20.3765,24.9961,0.0894,0.0897,0.1102,0.07479714303071543
428135190,20.5497,20.2744,24.8274,0.0815,0.0813,0.0979,0.07569824722699373
428135199,19.6096,19.2479,24.0169,0.0786,0.0784,0.0962,0.0752449975094086
428135205,28.4111,27.7255,33.6857,0.1145,0.1139,0.1362,0.06129789587454133
428135207,30.2756,29.2622,35.4206,0.1202,0.1201,0.1405,0.06129789587454133
428135209,29.8466,28.8965,34.9973,0.1178,0.1179,0.1384,0.06129789587454133
428135213,31.6749,30.5816,36.9658,0.127,0.1267,0.149,0.0607056738604871
428135215,31.376,30.4123,36.6861,0.1261,0.1259,0.1479,0.0607056738604871
428135224,32.2436,31.1312,37.3485,0.1294,0.129,0.1496,0.06100034753906654
428135226,30.7101,29.5452,35.9131,0.1535,0.143,0.1734,0.06041383338136221
428135228,31.174,29.7796,36.2946,0.1826,0.1644,0.2033,0.06041383338136221
428135230,31.1186,29.7403,36.2476,0.1645,0.1497,0.1827,0.06041383338136221
428135232,30.7059,29.485,35.941,0.1513,0.1408,0.1705,0.06012478543760053
428135234,30.8512,30.0232,36.0249,0.1251,0.124,0.1455,0.0607056738604871
428135236,31.4875,30.5503,36.7993,0.1393,0.1347,0.16,0.05983849013957345
428135256,11.7068,10.1057,19.7322,0.1881,0.171,0.2676,0.05764267775279962
428135259,13.1937,11.8626,21.9717,0.1307,0.1241,0.1925,0.048331474165630606
428135260,8.3858,6.0811,11.8884,0.0069,0.0063,0.0249,0.07305779571290515
428135282,38.8275,29.8573,40.9985,0.7925,0.5732,0.7153,0.04520218287170602
428135286,14.4502,12.0739,17.0658,0.1358,0.098,0.1279,0.07853670966610296
428135303,19.7161,17.256,24.3876,0.9014,0.7957,0.9212,0.06510896233025722
428135305,14.4242,11.7814,18.3937,0.5499,0.4474,0.5312,0.06544805286939072
428135306,42.342,42.088,52.6367,0.3871,0.3857,0.468,0.03902561695436705
428135309,16.5612,13.9911,21.0775,0.4505,0.3666,0.457,0.06444121395927624
428135313,20.2099,19.1928,27.5447,0.7263,0.6902,0.8477,0.05872006370526449
428135315,25.6134,26.5098,32.9809,0.255,0.2576,0.3066,0.08266986501266944
428135326,20.1069,19.8021,29.2239,1.0228,1.0034,1.1824,0.05347294092237722
428135327,33.0771,33.2117,37.519,0.1424,0.1427,0.1632,0.06129789587454133
428135336,40.5521,37.186,44.8641,0.5608,0.5249,0.5908,0.057118675464029094
428135382,12.1689,12.585,24.2897,0.0269,0.0386,0.1098,0.04174827570770436
428135387,20.3085,20.9634,31.5883,0.4568,0.4669,0.6729,0.06510896233025722
428135390,11.6487,11.8293,18.1719,0.0056,0.0048,0.0326,0.0675591583065621
428135394,31.6547,30.4745,41.8685,2.2995,2.21,2.6501,0.05192625725187585
428135396,23.2977,21.4979,29.4141,1.495,1.3695,1.6356,0.07569824722699373
428135417,20.1894,19.4247,29.8348,1.0878,1.0618,1.3223,0.05257802831020273
428135431,25.4032,23.5364,25.9497,0.3697,0.3398,0.3024,0.056098740702361524
428135432,25.9875,24.0782,25.8842,0.387,0.3559,0.3161,0.06100034753906654
428135433,25.19,23.2836,24.9392,0.4298,0.3941,0.3442,0.06251769380643689
