detection_id,B,G,R,nB,nG,nR,Compactness
69310854,3.9278,4.0825,4.8067,0.0978,0.1004,0.0766,0.14442151192814084
69310860,3.5887,3.722,4.562,0.075,0.0782,0.062,0.14610036423614817
69310866,3.5643,3.6813,4.6117,0.0448,0.0474,0.0397,0.1427807996875266
69310872,7.2681,7.5264,8.6644,0.1787,0.1886,0.1258,0.08106994029334431
69310877,3.8048,3.8624,4.928,0.0736,0.0732,0.0635,0.13807493637999585
69310883,3.133,3.2119,4.0392,0.0805,0.0816,0.0555,0.1427807996875266
69310889,4.5552,4.5554,5.9201,0.0847,0.0838,0.0747,0.12440706908215582
69310895,5.6876,5.7207,6.1012,0.1902,0.1887,0.1202,0.12953615542145414
69310901,5.0507,5.0815,6.1588,0.1166,0.1182,0.0917,0.13226261511265314
69310913,4.0755,4.121,5.4113,0.0833,0.0849,0.0734,0.1351063003197879
69310924,4.1392,4.1798,5.556,0.0703,0.0703,0.0662,0.1336693370934263
69310930,9.8661,9.9185,8.2397,0.0412,0.0416,0.0485,0.13088518977836702
69310936,4.1107,4.1035,5.65,0.0766,0.0759,0.0737,0.13088518977836702
69310942,8.8921,8.94,7.7951,0.038,0.0387,0.0452,0.12440706908215582
69310948,4.2285,4.2521,5.8442,0.0925,0.0911,0.0884,0.12821464331793822
69310954,9.1501,9.2082,8.2304,0.0368,0.0369,0.0466,0.12199187159268324
69310960,4.2437,4.252,6.0984,0.1147,0.1146,0.1069,0.11853991327830876
69310966,8.163,8.2243,7.5456,0.0326,0.0326,0.0419,0.12821464331793822
69310972,4.0503,4.027,5.7384,0.0745,0.0724,0.0753,0.12691981982432735
69310978,6.9041,6.934,6.5427,0.0276,0.0277,0.0362,0.1396087127968195
69310983,3.6201,3.6318,5.1364,0.0778,0.0783,0.0751,0.1427807996875266
69310989,6.689,6.743,6.1976,0.027,0.0274,0.0347,0.15137953892966877
69310995,3.785,3.7179,5.343,0.0674,0.0655,0.0713,0.1411769425941694
69311001,3.469,3.3921,4.6348,0.0529,0.051,0.0509,0.16317136358672749
69311006,8.1123,8.1529,7.1892,0.0322,0.0324,0.0402,0.15322506464696445
69311018,9.8449,9.867,8.5656,0.0407,0.0414,0.0483,0.13226261511265314
69311024,4.6513,4.5781,6.0455,0.0592,0.0578,0.0556,0.13226261511265314
69311036,9.4508,9.4872,8.1115,0.043,0.043,0.0469,0.13088518977836702
69311042,4.4165,4.3903,5.6674,0.0893,0.0906,0.0801,0.13657449043501094
69311059,9.4811,9.4598,8.613,0.0393,0.0385,0.0469,0.12953615542145414
69311077,3.4483,3.4897,4.4058,0.0821,0.0828,0.0751,0.1653175867489029
69311089,3.4158,3.4405,4.2395,0.0511,0.0518,0.0442,0.1721088567938853
69311101,3.9442,3.969,5.3104,0.0828,0.0809,0.0739,0.13807493637999585
69311119,3.7022,3.7689,4.9836,0.1087,0.109,0.0973,0.14442151192814084
69311125,6.2409,6.1941,7.9957,0.0874,0.0871,0.0895,0.1336693370934263
69311131,3.8653,3.8899,5.1441,0.0779,0.0776,0.0732,0.14442151192814084
69311137,6.439,6.4451,8.169,0.0901,0.0906,0.0932,0.13657449043501094
69311161,4.6322,4.611,6.1802,0.0628,0.0617,0.0589,0.13807493637999585
69311179,3.7496,3.8743,5.1078,0.0599,0.0623,0.0591,0.14781870195462177
69311191,3.6517,3.708,4.989,0.0714,0.073,0.0646,0.14610036423614817
69311203,3.4564,3.5637,4.7568,0.0656,0.0674,0.0573,0.15137953892966877
69311215,5.6097,5.3398,6.5397,0.0383,0.0365,0.0396,0.14610036423614817
69311220,3.281,3.3502,4.6144,0.0801,0.0821,0.0715,0.15137953892966877
69311225,4.7045,4.5958,5.5041,0.0506,0.0496,0.0473,0.1721088567938853
69311231,3.1543,3.1964,4.0807,0.0712,0.0728,0.0572,0.17695501477362918
69311243,3.1834,3.1321,4.0481,0.0857,0.0822,0.0692,0.1794818739290955
69311249,3.1029,3.1424,4.0272,0.0465,0.0472,0.0415,0.17695501477362918
69311267,3.0262,3.1069,4.2285,0.063,0.0648,0.0578,0.16752101074657041
69311279,2.6614,2.7451,3.6046,0.044,0.0456,0.0404,0.18475840065665078
69311285,2.7865,2.8648,3.7106,0.039,0.0395,0.0361,0.18751471302418415
69311291,2.8946,2.972,3.8348,0.0525,0.0558,0.0452,0.18475840065665078
69311297,2.9936,3.0527,3.7993,0.0538,0.0541,0.0451,0.1903544897796419
69311303,3.6051,3.6621,4.8426,0.0405,0.0413,0.0428,0.1495779344429456
69311308,3.3079,3.3632,5.2129,0.0645,0.0665,0.0657,0.13226261511265314
69311314,3.1199,3.1059,6.781,0.0505,0.0521,0.0629,0.0815963233535219
69311320,2.7072,2.8102,3.5872,0.0688,0.0725,0.0593,0.18751471302418415
69311326,4.0266,4.0193,5.4031,0.0516,0.0525,0.0488,0.12440706908215582
69311356,6.9415,6.9984,8.3162,0.1137,0.1167,0.1152,0.11423011752805243
