detection_id,B,G,R,nB,nG,nR,Compactness
428125665,16.8351,16.9634,21.3121,0.0781,0.0783,0.0935,0.08377203058083679
428125666,20.1832,20.366,24.8495,0.0813,0.0813,0.0986,0.07180546030797123
428125667,20.0373,20.2883,24.957,0.0812,0.0812,0.0993,0.06866661880204716
428125671,38.843,39.5651,44.8473,0.1606,0.1606,0.1787,0.06866661880204716
428125672,40.0504,40.5286,50.757,0.216,0.2163,0.251,0.03976659483909075
428125674,9.6007,9.8187,11.6163,0.2555,0.2623,0.2315,0.09740778003073822
428125677,10.4181,10.603,12.5182,0.3226,0.3306,0.2796,0.09239471398211957
428125681,10.059,10.2007,12.1096,0.1765,0.1775,0.1601,0.10471236017896915
428125684,11.0917,11.6982,13.937,0.1579,0.1688,0.1572,0.09894156757337469
428125686,26.6096,26.9005,29.4359,0.2991,0.3018,0.2931,0.047419586082077345
428125689,15.5836,15.5829,21.2347,0.2465,0.2474,0.284,0.07020097205976435
428125692,30.2805,30.7242,40.7016,0.268,0.2681,0.3211,0.042310529255340984
428125694,13.4493,13.7191,19.0233,0.2791,0.2855,0.314,0.06283026644890574
428125695,13.7515,13.9902,18.3853,0.3877,0.393,0.4085,0.07020097205976435
428125703,43.1833,43.8602,53.4617,0.1898,0.1906,0.2234,0.03951649547848519
428125727,8.1064,8.485,13.4234,0.2216,0.2365,0.2219,0.05108195634991484
428125728,17.9041,18.5687,21.7788,0.6677,0.6991,0.6098,0.047419586082077345
428125729,21.8524,22.6439,25.718,0.8471,0.8744,0.7618,0.04636973518878762
428125730,9.7274,10.197,11.9568,0.5511,0.5785,0.5212,0.09816868357674101
428125731,11.32,11.6527,13.1814,0.3147,0.3314,0.282,0.09816868357674101
428125732,12.0235,12.3311,13.5642,0.3755,0.4045,0.3125,0.09172037375316221
428125735,23.0664,23.1551,26.8449,0.0952,0.0952,0.1073,0.1021587506273488
428125738,3.9653,4.1689,13.9879,0.0582,0.0546,0.0952,0.03281014229373403
428125740,15.8157,16.1909,22.9432,0.3789,0.3837,0.429,0.0539319190680174
428125744,10.7012,11.3286,18.25,0.2825,0.2971,0.3371,0.04927912092245134
428125748,19.5641,19.6224,24.1602,0.0847,0.0847,0.1006,0.08055030487456037
428125749,15.0471,14.4668,20.8295,0.1421,0.1407,0.1608,0.05347294092237722
428125750,28.762,29.4075,34.3917,0.1259,0.1281,0.1456,0.07263552511680024
428125751,9.1767,9.5731,14.5456,0.1476,0.1498,0.1753,0.06684048540909966
428125752,8.8086,9.2339,14.1081,0.0951,0.0937,0.1143,0.06904388481989716
428125753,8.7472,9.3052,14.3269,0.0545,0.0536,0.0725,0.06684048540909966
428125754,9.7015,9.1576,14.0774,0.1551,0.1427,0.1672,0.07180546030797123
428125755,10.7802,10.1529,15.8312,0.232,0.2173,0.248,0.06346488289866778
