detection_id,B,G,R,nB,nG,nR,Compactness
428927736,19.385,18.8029,23.9312,0.1756,0.1637,0.2002,0.08911864874469005
428927737,19.3887,18.4084,23.8105,0.1814,0.1612,0.2009,0.08911864874469005
428927738,18.0166,17.1806,22.5332,0.1979,0.1783,0.2267,0.09239471398211957
428927739,19.2818,18.0996,23.5458,0.2577,0.2295,0.2854,0.09894156757337469
428927741,18.645,17.1035,22.6058,0.1702,0.1521,0.1877,0.09307904275505513
428927762,28.7535,32.5448,52.3785,0.4359,0.5468,0.8331,0.035101318478072525
428927838,27.5286,23.7789,21.5053,0.0386,0.0049,0.015,0.08266986501266944
428927839,26.3259,22.7417,21.1985,0.0814,0.054,0.0567,0.07903061153879146
428927840,26.5974,22.8796,21.6801,0.1743,0.1394,0.1242,0.07756719641593564
428927851,17.038,14.9212,15.5031,0.0203,0.0047,0.0206,0.07099415216660818
428927854,12.9791,11.5484,11.8895,0.0683,0.0468,0.0187,0.08787235948346774
428927857,21.1835,19.0949,17.2779,0.1336,0.091,0.0222,0.07953076456813789
428927858,21.7871,19.3941,17.6971,0.145,0.1101,0.0229,0.0815963233535219
428927859,21.8944,19.4195,17.458,0.1451,0.1239,0.0235,0.08106994029334431
428927862,18.0488,15.1859,19.6412,0.0293,0.0002,0.0158,0.07903061153879146
428927863,21.5567,18.1175,22.8173,0.0423,0.0041,0.0205,0.07615699026400004
428927864,18.1893,15.5536,19.8818,0.0876,0.0415,0.0588,0.07662132709270902
428927865,16.5576,13.4127,20.4906,0.0767,0.0312,0.0585,0.05347294092237722
428927869,30.3273,28.3605,43.141,0.8959,0.8525,1.1201,0.043784728166320654
428927871,26.8427,25.1916,34.6712,0.2985,0.2809,0.3775,0.059274001684944774
428927872,33.8213,31.2545,41.5139,0.4216,0.3844,0.5142,0.05983849013957345
428927874,22.1606,19.9873,28.1784,0.2252,0.1897,0.2635,0.06942531913488556
428927927,20.5314,19.7109,29.373,0.4658,0.446,0.5975,0.05635029433027713
428927965,25.5952,26.4971,36.3448,0.4051,0.4165,0.4638,0.03442815279715901
428927969,25.4647,26.2395,42.996,0.4339,0.4521,0.661,0.040932366155960825
428927970,22.9866,21.1647,29.253,0.4391,0.4091,0.4918,0.06100034753906654
428927971,14.6337,14.662,18.9574,0.3235,0.3235,0.3543,0.08606693785815557
428927973,19.1575,17.4155,23.2514,0.2626,0.2426,0.2841,0.07569824722699373
428927975,16.5764,15.3514,20.1025,0.328,0.3012,0.3486,0.09105580497377844
