detection_id,B,G,R,nB,nG,nR,Compactness
432392705,5.8983,5.6126,7.554,0.1664,0.1582,0.1565,0.1256508846247525
432392706,4.5303,4.2992,5.8956,0.1236,0.1189,0.1133,0.15137953892966877
432392707,3.4937,3.3452,4.691,0.1098,0.1062,0.1008,0.18208192715442573
432392711,6.3361,6.092,7.8105,0.0981,0.0936,0.095,0.15137953892966877
432392716,7.1687,6.8747,8.6029,0.0868,0.0839,0.0884,0.14610036423614817
432392717,6.6463,6.3949,8.1506,0.0786,0.0734,0.076,0.14442151192814084
432392719,6.9837,6.7321,8.4394,0.0849,0.0798,0.0831,0.14610036423614817
432392728,2.5765,2.5243,3.8781,0.0263,0.0256,0.0296,0.20262892686416292
432392729,2.4844,2.2056,3.0801,0.1104,0.0982,0.0658,0.1794818739290955
432392731,2.9794,2.6235,3.6981,0.3901,0.3467,0.2271,0.15511613727099602
432392732,2.2864,1.9921,3.0485,0.1984,0.1752,0.1176,0.17695501477362918
432392736,2.9716,2.6765,3.721,0.2948,0.2643,0.175,0.15511613727099602
432392737,3.0668,2.7498,3.7739,0.2363,0.2127,0.1427,0.15511613727099602
432392738,3.2406,2.9112,3.9279,0.1979,0.1756,0.1181,0.1495779344429456
432392753,1.9676,1.737,3.3379,0.0553,0.0483,0.0381,0.13807493637999585
432392757,1.9259,1.6857,3.375,0.0331,0.0291,0.0267,0.13657449043501094
432392759,1.9328,1.6914,3.3618,0.0542,0.0471,0.0385,0.13807493637999585
432392763,2.4987,2.383,4.6387,0.0487,0.0472,0.0554,0.13226261511265314
432392770,1.9277,1.7496,2.597,0.0744,0.0692,0.0534,0.21659487670178934
432392777,5.0162,4.7624,6.0659,0.1342,0.1269,0.1175,0.15511613727099602
432392778,4.2291,4.0055,5.2541,0.1204,0.113,0.1006,0.16752101074657041
432392779,6.4871,6.0655,7.6605,0.1374,0.127,0.1188,0.1351063003197879
432392780,4.364,4.0832,5.4924,0.1837,0.1706,0.153,0.16108014280507627
432392781,3.4016,3.2041,4.6909,0.1074,0.099,0.0901,0.16108014280507627
432392782,3.5786,3.3646,4.8558,0.1046,0.0968,0.0881,0.15705446369492315
432392783,1.6452,1.54,3.6024,0.0856,0.0805,0.0928,0.15904183716398032
432392784,3.8387,3.5287,4.9239,0.082,0.0735,0.0688,0.16317136358672749
432392785,4.7598,4.4103,5.8645,0.0633,0.0578,0.0572,0.15511613727099602
432392786,5.3754,5.095,6.6793,0.1593,0.1486,0.136,0.1396087127968195
432392787,5.94,5.6359,7.2081,0.2317,0.2193,0.1992,0.1396087127968195
432392788,3.8376,3.6649,5.006,0.1643,0.1544,0.1455,0.18475840065665078
432392789,4.7124,4.694,6.8775,0.0746,0.0749,0.085,0.15904183716398032
432392795,7.7081,7.586,10.2733,0.103,0.1003,0.1126,0.11853991327830876
432392797,3.3188,3.1653,4.3599,0.1115,0.107,0.099,0.1963000700655754
432392800,3.5251,3.3115,4.6073,0.1113,0.1032,0.0974,0.18475840065665078
432392802,5.5218,5.2762,6.4731,0.1773,0.1688,0.1507,0.16317136358672749
432392803,5.682,5.4691,6.6219,0.1245,0.118,0.107,0.15904183716398032
432392804,4.2925,4.0648,5.035,0.1175,0.1089,0.097,0.1963000700655754
432392810,8.8792,8.8166,10.7322,0.0596,0.0587,0.0577,0.12199187159268324
432392835,2.8453,2.7017,3.8549,0.0672,0.062,0.0589,0.2093793437612272
432392836,3.08,2.8834,4.0381,0.0504,0.0463,0.0454,0.20262892686416292
432392837,3.5538,3.3486,4.5756,0.1073,0.1005,0.0923,0.18751471302418415
432392838,3.0483,2.9661,4.7745,0.1628,0.1573,0.1597,0.1653175867489029
432392841,3.1955,2.9801,4.2727,0.0525,0.0481,0.0487,0.19941430995731257
432392842,2.1768,2.149,3.765,0.1885,0.1833,0.1803,0.18475840065665078
432392852,3.7833,3.7664,5.637,0.1046,0.1042,0.1174,0.1963000700655754
432392854,3.6155,3.577,5.1504,0.0433,0.0423,0.0453,0.17695501477362918
432392858,3.4091,3.4428,5.0752,0.1242,0.1247,0.1414,0.22039234176969208
432392862,4.6026,4.682,7.0504,0.1675,0.1665,0.1938,0.15705446369492315
432392864,4.3692,4.448,6.9806,0.0006,0.0006,0.0123,0.14610036423614817
432392866,4.2689,4.3047,6.6657,0.0,0.0,0.0086,0.16108014280507627
432392868,4.3386,4.3992,6.764,0.001,0.0007,0.0102,0.15904183716398032
432392876,9.5145,9.2727,11.0247,0.0868,0.0828,0.0883,0.12440706908215582
432392877,7.2512,7.1679,8.7815,0.0004,0.0008,0.0093,0.13807493637999585
432392878,4.4273,4.4226,5.9894,0.0005,0.0008,0.0077,0.1653175867489029
432392880,9.0898,8.9257,10.2001,0.2539,0.2449,0.2192,0.1351063003197879
432392881,12.0522,11.8401,12.8994,0.5042,0.4909,0.4233,0.12440706908215582
432392889,32.7395,32.89,40.4042,1.0757,1.1027,1.1804,0.04947312713553582
432392890,15.4105,15.1857,20.2798,0.6321,0.6162,0.6239,0.058176383157876974
