detection_id,B,G,R,nB,nG,nR,Compactness
428750345,20.9654,18.6733,21.7881,0.2088,0.1813,0.1901,0.08911864874469005
428750347,28.7791,26.325,31.1802,0.3613,0.3256,0.342,0.06648685222060789
428750348,27.6333,25.3221,30.1466,0.3417,0.3026,0.3188,0.06477336728387235
428750349,29.2662,26.9139,31.9676,0.4483,0.4048,0.4213,0.06220821570931003
428750350,20.6836,18.9471,23.6219,0.2621,0.2333,0.2482,0.06648685222060789
428750372,27.3862,23.3749,26.1395,1.702,1.4405,1.3685,0.07853670966610296
428750373,24.9058,21.6625,24.3472,1.0359,0.8808,0.8553,0.08975514439115811
428750375,20.1136,17.5852,21.7138,0.8039,0.6843,0.6753,0.06648685222060789
428750379,33.1976,30.9321,34.4878,1.0028,0.8988,0.8971,0.07348500463068167
428750382,15.8804,15.6562,20.0842,0.817,0.7785,0.8095,0.07853670966610296
428750383,14.6774,14.5397,18.8556,0.5938,0.5623,0.5894,0.07953076456813789
428750403,57.7791,58.7466,69.1021,0.3585,0.3703,0.4401,0.03951649547848519
428750404,37.3496,38.5937,47.9232,0.3,0.3195,0.379,0.05192625725187585
428750425,15.9905,15.9653,20.9066,0.5416,0.5609,0.6344,0.09239471398211957
428750440,18.4237,16.4088,19.6617,0.1493,0.128,0.1454,0.10133499999681532
428750441,17.8409,15.7859,18.7653,0.1728,0.1418,0.1516,0.10133499999681532
428750442,18.6723,16.5862,19.3463,0.1234,0.112,0.126,0.10559216905199818
428750443,18.4567,16.3593,19.2063,0.1293,0.1154,0.1294,0.10471236017896915
428750445,19.0753,17.2084,20.2837,0.0943,0.0891,0.1019,0.10559216905199818
428750446,25.0403,22.9934,27.1551,0.107,0.1041,0.1208,0.08212958633865283
428750447,24.6641,23.2378,26.9163,0.1039,0.1029,0.117,0.09447856694680049
428750448,34.5782,33.7027,38.6687,0.1427,0.1417,0.1613,0.06829345312829196
428750449,44.5252,42.9892,49.1673,0.1822,0.1803,0.2039,0.05324636892277132
428750451,20.9442,19.4529,22.7081,0.1228,0.1123,0.1265,0.1021587506273488
428750452,19.3521,17.2756,21.228,0.1023,0.0876,0.1095,0.09239471398211957
428750453,21.8397,19.788,23.7268,0.0962,0.0919,0.107,0.09239471398211957
428750454,23.3996,22.1785,25.992,0.1027,0.0971,0.1124,0.09592081711552267
428750455,22.8636,21.7078,25.4257,0.1012,0.0957,0.1108,0.09740778003073822
428750456,20.7488,19.648,23.2413,0.0996,0.0942,0.1102,0.10471236017896915
428750457,17.7624,16.3438,20.149,0.8994,0.8248,0.8537,0.08975514439115811
428750458,15.8771,14.3556,18.0035,0.7585,0.682,0.7113,0.0937735836449438
428750459,17.0446,15.3887,19.6718,0.6157,0.5532,0.58,0.07853670966610296
428750460,21.2713,19.0717,22.6819,0.8323,0.7373,0.7469,0.08666044549832956
428750461,21.9016,19.4864,22.9833,1.0063,0.8862,0.8872,0.08606693785815557
428750464,26.2843,23.1455,27.0094,1.5108,1.321,1.3085,0.07305779571290515
428750465,28.2505,24.8827,28.9114,1.5388,1.3321,1.3217,0.07221810771057427
428750466,19.6893,17.9362,21.3922,0.0813,0.0813,0.0937,0.09972671719555438
428750468,20.6867,19.6882,22.8975,0.0834,0.0834,0.0948,0.10832258979485408
428750469,21.442,20.4299,24.1344,0.0891,0.0888,0.1017,0.09740778003073822
428750470,21.7452,20.5839,24.3871,0.0909,0.0902,0.1037,0.09592081711552267
428750471,19.1939,16.5326,19.329,0.4817,0.4081,0.4017,0.08726219508235135
428750472,16.8305,14.4504,17.0997,0.415,0.3474,0.3427,0.09307904275505513
428750486,17.182,16.9095,20.5394,0.5547,0.5421,0.5694,0.09519422993221213
428750488,29.3176,28.1173,32.7464,2.1523,2.0307,2.057,0.07615699026400004
428750490,30.0378,28.4317,33.0039,1.5455,1.4635,1.4943,0.07180546030797123
428750492,29.1104,27.0266,30.8404,1.2994,1.2182,1.2374,0.0815963233535219
428750494,29.1375,26.8944,30.5947,1.2571,1.1668,1.1839,0.08377203058083679
428750495,27.0126,24.7097,28.3707,1.5359,1.4604,1.4486,0.07756719641593564
428750496,26.7257,24.3253,27.9442,1.3814,1.2953,1.2912,0.07804894248762141
428750497,22.2438,20.2326,23.5521,1.0969,1.0252,1.0236,0.08490398027194407
428750498,22.5483,20.4388,23.8486,1.228,1.1325,1.1313,0.08377203058083679
428750499,22.441,20.2718,23.6505,1.0924,0.9976,1.0011,0.08490398027194407
428750500,24.6608,21.9714,25.1724,0.8038,0.7292,0.736,0.08911864874469005
428750501,24.9417,21.8237,24.7484,0.8252,0.7301,0.7265,0.09040079679516942
428750502,24.8178,21.6347,24.6586,0.8991,0.7972,0.795,0.08911864874469005
428750508,28.8176,25.0632,28.09,1.5049,1.3154,1.2646,0.07391723900466864
428750509,29.7381,25.8219,28.6098,1.4074,1.2273,1.1816,0.07662132709270902
428750510,30.2584,26.2029,28.9643,1.3913,1.2085,1.1626,0.07804894248762141
428750511,30.0918,26.1133,29.2012,1.5805,1.3814,1.3197,0.07180546030797123
428750512,31.1821,26.8985,29.7494,1.0916,0.9503,0.9212,0.07569824722699373
428750513,38.5928,32.7758,35.4584,1.1383,0.979,0.9486,0.07099415216660818
428750514,38.195,32.3305,35.382,1.0981,0.9395,0.9153,0.06648685222060789
428750515,40.373,34.2662,37.497,1.0837,0.9298,0.9049,0.06159836113714365
428750516,39.5576,33.569,36.5782,0.9882,0.8419,0.8072,0.06314598028335774
428750517,38.7945,32.9318,36.0504,0.8984,0.7676,0.746,0.06346488289866778
428750518,42.5125,35.9995,39.3088,0.7584,0.6341,0.6227,0.0589957324588329
428750519,48.0162,40.7301,43.7665,0.9353,0.7896,0.7687,0.05844695914181379
428750520,48.2133,40.9961,44.8614,0.8978,0.7539,0.7401,0.05214171140333059
428750521,46.1331,39.3061,43.1793,0.8756,0.7418,0.7292,0.05279893651282317
428750522,46.7487,39.7428,43.6813,0.7703,0.6478,0.6405,0.05214171140333059
428750523,45.0131,38.1823,41.7292,0.8224,0.6949,0.6825,0.05487392523583279
