detection_id,B,G,R,nB,nG,nR,Compactness
433074838,9.9226,10.0188,10.4242,0.0642,0.0652,0.0584,0.14610036423614817
433074842,5.663,5.7066,6.4495,0.0381,0.0385,0.0369,0.18751471302418415
433074793,4.0509,3.9666,6.0875,0.1747,0.1633,0.1597,0.11853991327830876
433074794,6.6838,7.0652,8.6056,0.1371,0.1457,0.143,0.13088518977836702
433074791,5.9539,5.9284,8.1067,0.1295,0.1245,0.1255,0.1256508846247525
433074787,6.2439,6.6185,9.1468,0.1376,0.1524,0.1634,0.11219063124580061
433074788,11.2359,12.4288,16.2827,0.2314,0.2607,0.2974,0.09172037375316221
433074789,12.9994,14.2678,17.8623,0.241,0.2667,0.2894,0.0937735836449438
433074786,11.1155,11.2864,13.1927,0.0778,0.0798,0.0964,0.10471236017896915
433074782,2.9118,3.0025,4.5394,0.0607,0.0642,0.0719,0.1963000700655754
433074768,5.4114,5.5529,7.7947,0.1254,0.1281,0.1478,0.17695501477362918
433074772,11.633,11.7294,13.2641,0.2229,0.2253,0.2339,0.12953615542145414
433074773,11.4371,11.4928,13.0145,0.2423,0.2438,0.2517,0.12953615542145414
433074774,8.0567,8.1356,9.7907,0.1962,0.199,0.2036,0.1396087127968195
433074775,5.8987,5.9761,7.6215,0.1203,0.1228,0.1287,0.15511613727099602
433074734,18.9404,19.0205,20.4906,0.4063,0.4101,0.4073,0.09972671719555438
433074735,19.5699,19.801,21.0651,0.3232,0.3251,0.3268,0.09816868357674101
433074757,8.5966,8.8542,13.3024,0.1824,0.1801,0.2425,0.09592081711552267
433074760,29.8677,29.9874,33.3695,0.3244,0.3261,0.3513,0.07953076456813789
433074729,20.0532,20.0148,22.1976,0.1232,0.1226,0.1303,0.09307904275505513
433074730,11.4478,11.5633,15.1405,0.0737,0.0762,0.0903,0.08606693785815557
433074717,11.9816,12.0702,13.9434,0.1371,0.1389,0.1404,0.13226261511265314
433074704,23.9805,24.4001,26.1496,0.1831,0.1902,0.2203,0.09740778003073822
433074714,7.7873,8.3122,14.2218,0.2503,0.2704,0.3555,0.08606693785815557
433074698,39.9463,42.9503,47.612,0.8587,0.9321,0.9672,0.06129789587454133
433074699,36.6503,39.2007,45.0215,0.7864,0.8513,0.9223,0.06251769380643689
433074695,2.9018,2.953,4.8227,0.1023,0.1043,0.1169,0.16978395275546265
433074686,3.9879,4.0672,5.7298,0.061,0.0633,0.0646,0.16978395275546265
433074688,3.6935,3.8422,5.1285,0.0511,0.0548,0.0528,0.17449830252036147
433074679,6.2426,6.4618,7.7337,0.083,0.0858,0.0797,0.15511613727099602
433074673,1.9028,2.5131,6.0696,0.0433,0.0502,0.0864,0.11219063124580061
433074633,9.1914,9.474,10.9139,0.173,0.1811,0.1713,0.13226261511265314
433074634,2.8888,4.2805,10.0061,0.0869,0.1267,0.2193,0.12081909724428652
433074644,15.8719,18.1132,23.363,0.2989,0.3417,0.3814,0.08321729873508964
433074646,4.3787,6.1904,9.3165,0.1544,0.2272,0.2198,0.10133499999681532
433074561,1.3725,1.6716,2.9175,0.0889,0.1137,0.0941,0.21659487670178934
433074565,3.6731,4.7037,6.4469,0.1176,0.1545,0.1413,0.12953615542145414
433074568,4.079,6.1414,8.088,0.1572,0.2356,0.2253,0.12081909724428652
433074582,0.8869,1.4374,3.7239,0.0032,0.004,0.0141,0.1427807996875266
433074533,1.6518,3.0922,6.3706,0.0089,0.0011,0.0217,0.09172037375316221
433074539,2.5349,4.1014,8.0134,0.027,0.0373,0.0685,0.09592081711552267
433074542,15.4524,16.3516,18.9632,0.3282,0.3411,0.3498,0.09172037375316221
433074524,3.9977,4.0501,5.188,0.0666,0.0688,0.067,0.19328157927359077
433074525,3.3843,3.7593,5.0294,0.0282,0.0337,0.0331,0.16978395275546265
433074526,4.976,5.0399,6.2367,0.0334,0.0342,0.0382,0.16978395275546265
433074527,2.5948,2.6653,3.7515,0.0558,0.0562,0.0479,0.19328157927359077
433074528,2.5275,2.4952,4.1604,0.0738,0.0725,0.0784,0.1794818739290955
433074529,4.6207,4.6254,6.039,0.0901,0.0908,0.0907,0.16978395275546265
433074530,3.519,3.6262,4.8784,0.0405,0.0423,0.0443,0.1903544897796419
433074515,4.693,4.8595,8.3007,0.0932,0.0931,0.1149,0.10133499999681532
433074516,7.4801,10.6685,11.2066,0.1693,0.3027,0.2328,0.10559216905199818
433074517,10.9118,11.3497,13.191,0.1452,0.1532,0.1446,0.10299600257653854
433074520,7.5056,7.6115,11.5163,0.1264,0.1149,0.1414,0.10926437976474195
433074521,10.2083,10.4424,12.0912,0.2042,0.2104,0.1973,0.1132011898318306
433074523,5.2211,5.439,8.1626,0.1354,0.1433,0.1767,0.13226261511265314
433074509,2.7743,2.9992,4.5455,0.0215,0.0234,0.0299,0.2093793437612272
433074512,6.2955,6.6965,9.767,0.0996,0.108,0.1318,0.11527791973048969
