detection_id,B,G,R,nB,nG,nR,Compactness
55896453,1.9604,2.0956,3.8349,0.017,0.0194,0.0293,0.1963000700655754
55896575,2.1941,2.9765,5.6158,0.1265,0.1524,0.1974,0.15904183716398032
55896796,1.876,2.0278,4.4046,0.0,0.0,0.0082,0.1495779344429456
55896999,1.6375,1.7563,4.0085,0.0,0.0,0.0079,0.15511613727099602
55897016,1.4582,1.5837,3.818,0.0,0.0,0.008,0.15322506464696445
55897022,1.6115,1.7571,4.0553,0.0,0.0,0.0082,0.1495779344429456
55897174,1.2113,1.404,3.758,0.0,0.0,0.0087,0.1411769425941694
55897552,0.9629,1.0432,2.7749,0.0012,0.0013,0.0079,0.1963000700655754
55897963,2.8181,2.9937,4.2519,0.0562,0.058,0.0628,0.23262772230212783
55897981,4.3551,4.5872,6.141,0.0401,0.0412,0.0453,0.19328157927359077
55897986,4.1923,4.4497,5.9947,0.0345,0.0362,0.0395,0.1903544897796419
55897992,4.3102,4.5149,6.1105,0.0141,0.0149,0.0203,0.18751471302418415
55897998,4.5013,4.7322,6.2897,0.0078,0.0087,0.0142,0.18751471302418415
55898004,4.7142,4.9268,6.5086,0.0332,0.035,0.0392,0.18475840065665078
55898015,4.4071,4.6072,6.3387,0.0099,0.0146,0.0201,0.1794818739290955
55898097,3.8151,3.9979,5.8207,0.0455,0.0493,0.0587,0.19328157927359077
55898148,8.6352,8.8846,11.8325,0.3443,0.3607,0.3873,0.11022268844923072
55898160,10.5791,10.6354,13.216,0.2078,0.2125,0.2138,0.1038470904936626
55898184,6.1679,6.3277,8.9218,0.0535,0.0542,0.0637,0.1336693370934263
55898196,9.574,9.9461,14.1254,0.1088,0.112,0.1323,0.08849111644335216
55898208,8.8436,9.3185,13.0383,0.0405,0.0444,0.0676,0.10648688664370398
55898214,4.2091,4.1714,5.9073,0.0479,0.0466,0.0503,0.16108014280507627
55898219,7.6363,7.5221,9.8246,0.0755,0.0731,0.0783,0.11634512054520679
55898225,8.4916,8.5669,11.2001,0.0881,0.0892,0.0945,0.1021587506273488
55898237,8.5611,8.6298,11.2138,0.0864,0.0868,0.0896,0.10648688664370398
55898249,6.2876,6.1437,8.0601,0.0775,0.0758,0.0739,0.13226261511265314
55898282,2.8419,2.9366,4.5285,0.0385,0.0404,0.0468,0.20262892686416292
55898288,4.1356,4.2706,6.2468,0.0766,0.0806,0.0921,0.17695501477362918
55898300,4.268,4.3898,6.0967,0.063,0.0655,0.0713,0.19328157927359077
55898306,4.2635,4.249,5.6382,0.0449,0.0439,0.0482,0.19941430995731257
55898312,3.7352,3.8287,5.6444,0.0296,0.0309,0.0436,0.19941430995731257
55898317,4.6659,4.8296,6.4741,0.0435,0.0454,0.051,0.18475840065665078
55898323,4.2412,4.435,6.2753,0.0514,0.0528,0.0619,0.18751471302418415
55898329,4.2465,4.4518,6.0216,0.0669,0.0693,0.0697,0.18751471302418415
55898387,5.1048,5.1817,6.9994,0.0867,0.0863,0.09,0.16752101074657041
55898393,3.996,4.1484,5.6393,0.0176,0.0176,0.0226,0.19941430995731257
55898399,2.7056,2.7666,4.0722,0.0146,0.0149,0.0191,0.22840111198938143
55898407,3.4897,3.7125,5.3971,0.0313,0.034,0.0402,0.19328157927359077
55898413,3.4678,3.6479,5.2004,0.0053,0.0062,0.0123,0.19328157927359077
55898419,4.7958,5.0387,6.9954,0.0985,0.1025,0.1125,0.18208192715442573
55898425,4.4462,4.6157,6.2429,0.0109,0.0125,0.0189,0.19328157927359077
55898431,4.208,4.4475,6.1052,0.0951,0.0987,0.1064,0.19941430995731257
55898436,3.578,3.8085,5.4854,0.0141,0.0189,0.0282,0.20262892686416292
55898442,3.4729,3.6929,5.2843,0.0227,0.0235,0.0303,0.2129260181386661
55898448,7.1159,7.4898,9.5666,0.16,0.1669,0.1815,0.15705446369492315
55898454,7.6176,8.006,9.9235,0.0982,0.103,0.1102,0.15322506464696445
55898460,8.0161,8.385,10.1543,0.0691,0.0714,0.0775,0.15322506464696445
55898466,5.4848,5.8398,7.6232,0.0556,0.0575,0.0622,0.16317136358672749
55898479,2.9115,3.1757,5.2506,0.0343,0.0397,0.0519,0.1653175867489029
55898551,1.3679,1.5798,3.0188,0.0607,0.0661,0.0681,0.21659487670178934
55898585,1.0036,1.235,3.3566,0.0,0.0,0.0074,0.1653175867489029
55898590,1.3846,1.6997,4.2537,0.0,0.0,0.0086,0.1427807996875266
55898607,3.5849,4.2937,8.9972,0.0,0.0,0.0144,0.08606693785815557
55898667,2.9059,3.0122,4.7339,0.0145,0.0158,0.0234,0.1963000700655754
55898709,4.2632,4.5732,6.4093,0.0551,0.056,0.0612,0.1794818739290955
55898726,5.2661,5.5146,7.4224,0.0358,0.0391,0.0455,0.16978395275546265
55898732,4.6212,4.8209,6.4419,0.0609,0.0612,0.0677,0.19328157927359077
55898738,2.9736,3.0952,4.5315,0.0371,0.0384,0.0431,0.224325293611701
55898744,2.8899,2.9948,4.3398,0.0452,0.047,0.0516,0.23262772230212783
55898750,3.7184,3.8305,5.3109,0.0917,0.0946,0.1005,0.2093793437612272
55898872,4.4905,4.8624,7.4765,0.0792,0.0818,0.1087,0.19328157927359077
55898878,2.6057,2.8215,4.7126,0.0637,0.0654,0.0825,0.23262772230212783
55898884,3.6678,3.9176,6.001,0.0757,0.0781,0.0953,0.2129260181386661
55898902,2.9751,3.1392,5.1355,0.0325,0.0333,0.0469,0.21659487670178934
55898947,4.3889,4.5225,6.3891,0.0305,0.0321,0.04,0.17695501477362918
55898953,4.7818,4.9801,6.8219,0.0318,0.0343,0.0409,0.16978395275546265
55898959,4.3565,4.4998,6.0713,0.048,0.0503,0.0529,0.1903544897796419
55898965,3.9404,4.0866,5.5782,0.0362,0.0397,0.0446,0.19941430995731257
55898971,2.8819,2.9143,4.1656,0.0428,0.0439,0.0438,0.224325293611701
55898996,4.9856,5.1644,7.0393,0.0449,0.0476,0.053,0.1721088567938853
55899007,3.1127,3.2815,4.6949,0.0726,0.0749,0.0791,0.22039234176969208
55899061,3.3971,3.6094,5.8191,0.1591,0.1677,0.1791,0.15322506464696445
55899090,1.4366,1.549,3.1684,0.0,0.0,0.0063,0.19328157927359077
55899097,5.5954,5.245,6.1693,0.5945,0.5557,0.4924,0.1903544897796419
55899164,4.4264,4.7695,6.1729,0.0651,0.0703,0.0707,0.18751471302418415
55899206,13.4284,16.3158,21.6564,0.2509,0.3377,0.4153,0.09740778003073822
55899238,2.3268,2.9368,5.6181,0.022,0.0307,0.0438,0.14781870195462177
55899244,2.7263,3.1149,5.4801,0.0388,0.0536,0.0687,0.1411769425941694
55899267,3.249,3.4173,5.5169,0.007,0.0092,0.0191,0.14781870195462177
55899308,7.5201,8.5268,11.9999,0.0693,0.0858,0.1037,0.09239471398211957
55899314,3.975,4.7738,7.7723,0.0393,0.0556,0.0751,0.12318763468639518
55899332,2.9508,3.3424,5.202,0.0,0.0,0.0077,0.15904183716398032
55899338,6.6316,7.904,11.4945,0.1454,0.1644,0.1917,0.12821464331793822
55899362,7.3308,9.1195,13.3508,0.1472,0.1729,0.2126,0.11119795425652645
55899368,3.7024,4.3065,7.1344,0.0651,0.075,0.0902,0.13088518977836702
55899555,2.7172,2.724,4.1197,0.0205,0.0203,0.0245,0.21659487670178934
55899619,4.8487,4.7658,6.2871,0.1335,0.1296,0.1286,0.18751471302418415
55899677,3.6349,4.238,6.2926,0.017,0.0243,0.034,0.18208192715442573
55899711,3.4666,4.0818,6.049,0.0222,0.0293,0.0392,0.18208192715442573
55899735,3.9236,3.9805,5.4516,0.0474,0.0475,0.0492,0.1903544897796419
55899741,4.1256,4.5891,6.326,0.118,0.131,0.1373,0.18751471302418415
55899747,2.6366,2.9426,4.6435,0.0125,0.0169,0.0244,0.19941430995731257
55899771,2.422,2.4563,3.7496,0.0126,0.0124,0.0165,0.22039234176969208
55899778,2.8922,3.3306,5.2239,0.0211,0.0232,0.0315,0.17695501477362918
55899790,14.7275,17.4152,23.5097,0.3492,0.4213,0.486,0.07348500463068167
55899796,6.7521,7.1481,10.863,0.0216,0.0241,0.0394,0.08726219508235135
55899809,2.8537,3.0332,4.5936,0.0755,0.0799,0.0838,0.1963000700655754
55899815,3.0676,3.4871,5.4309,0.0232,0.0282,0.0378,0.17695501477362918
55899845,1.875,2.1255,3.8189,0.017,0.021,0.0303,0.2093793437612272
55899959,3.9085,4.4242,7.2227,0.0408,0.0509,0.0749,0.13657449043501094
55899965,4.016,4.2529,6.0808,0.0685,0.0732,0.0801,0.14442151192814084
55899971,2.2549,2.5632,4.4982,0.0108,0.019,0.0279,0.18751471302418415
55899978,1.8299,2.0203,3.5471,0.0234,0.0262,0.0309,0.19941430995731257
55899983,2.8808,3.3199,5.1054,0.0119,0.0175,0.0271,0.2093793437612272
55899989,3.664,4.278,6.2261,0.1102,0.1286,0.1457,0.1903544897796419
55900000,7.0852,7.8195,10.9449,0.3044,0.3338,0.3811,0.12691981982432735
55900026,8.0565,8.5706,11.8605,0.1294,0.1382,0.162,0.11853991327830876
55900032,3.11,3.6773,5.5385,0.0637,0.0813,0.0984,0.21659487670178934
55900038,3.3889,3.7247,5.5259,0.0488,0.0583,0.0732,0.22039234176969208
