detection_id,B,G,R,nB,nG,nR,Compactness
432737040,6.7699,8.4445,5.29,0.0,0.0,0.0206,0.06041383338136221
432737041,7.6018,9.9624,4.7717,0.0,0.0,0.0185,0.06719790044098876
432737043,7.1342,9.2843,4.6627,0.0,0.0,0.0181,0.06866661880204716
432737044,6.9295,9.0987,4.3594,0.0,0.0,0.0169,0.07348500463068167
432737045,6.9635,8.9424,4.3812,0.0,0.0,0.0169,0.07348500463068167
432737046,5.593,8.1578,4.4353,0.0,0.0,0.0171,0.07263552511680024
432737047,5.8422,7.3759,4.7178,0.0,0.0,0.0182,0.06829345312829196
432737051,7.8314,10.2575,5.3615,0.0,0.0,0.0208,0.05983849013957345
432737069,6.4327,8.112,5.4118,0.0262,0.0302,0.0269,0.0675591583065621
432737070,9.7556,10.1637,5.856,0.1307,0.1213,0.0285,0.06283026644890574
432737075,24.8072,25.2996,10.0553,0.2797,0.2892,0.058,0.05192625725187585
432737092,18.241,20.1612,9.6087,0.9576,1.0767,0.167,0.05324636892277132
432737094,11.7759,11.0831,6.0559,0.2006,0.1946,0.0483,0.059274001684944774
432737095,18.6704,15.9358,6.1159,0.2449,0.2289,0.0282,0.07305779571290515
432737098,15.2632,13.8146,5.8326,0.207,0.1985,0.0274,0.06346488289866778
432737099,6.8279,5.1207,5.4726,0.0285,0.0264,0.0279,0.06012478543760053
432737100,4.65,3.652,4.4486,0.0098,0.0105,0.0174,0.07305779571290515
432737112,9.5771,13.7809,7.8464,0.1265,0.1905,0.0797,0.10133499999681532
432737113,8.6191,12.5765,7.2441,0.1136,0.1707,0.0725,0.10559216905199818
432737114,10.9055,16.1741,9.6134,0.1714,0.2395,0.0703,0.06444121395927624
432737124,3.7608,10.1543,7.3582,0.0282,0.0583,0.0392,0.05324636892277132
432737125,5.6647,15.5637,10.413,0.0095,0.0295,0.0368,0.0406674373693737
432737126,5.8548,11.7392,9.2412,0.1624,0.3352,0.1747,0.08666044549832956
432737128,10.568,23.3729,21.2483,0.3458,0.7972,0.5575,0.06378702284985524
432737130,8.314,24.11,18.5069,0.1928,0.4839,0.294,0.048331474165630606
432737136,1.0783,5.6121,14.8684,0.0202,0.0686,0.0633,0.037288603279215585
432737139,8.9797,11.492,7.7175,0.3762,0.4675,0.1586,0.077091360650504
432737140,15.5391,18.5138,10.9442,0.3498,0.4241,0.1264,0.04586205110904071
432737150,7.8283,12.9453,9.3796,0.1557,0.2466,0.1116,0.0589957324588329
432737151,5.4211,11.2932,8.2069,0.1219,0.231,0.0936,0.07348500463068167
432737152,1.8699,7.1055,4.0594,0.0119,0.0423,0.0228,0.08726219508235135
432737153,2.9404,10.3989,4.8761,0.0,0.0019,0.0161,0.077091360650504
432737154,4.7504,14.5865,7.1296,0.0195,0.0393,0.0353,0.06684048540909966
432737155,2.7279,15.001,7.6505,0.0348,0.1393,0.0534,0.058176383157876974
432737159,1.7733,8.3251,6.9441,0.0108,0.0388,0.0325,0.06220821570931003
432737178,26.4402,20.8646,6.6982,0.2541,0.2111,0.0314,0.05370144932732833
432737179,28.1003,22.4835,6.9587,0.3216,0.2613,0.042,0.051712576293637055
432737195,9.9012,8.2782,4.6385,0.1006,0.0894,0.0207,0.08266986501266944
432737201,18.0051,16.4672,6.3896,0.7282,0.6371,0.084,0.07953076456813789
432737202,16.8421,15.5391,6.0771,0.7064,0.6416,0.0665,0.08212958633865283
432737203,14.5407,12.6346,5.5638,0.4207,0.3686,0.0338,0.09307904275505513
432737205,3.0291,8.497,7.1823,0.0166,0.0343,0.0322,0.08490398027194407
432737208,0.4836,4.1383,4.4919,0.0,0.0389,0.0151,0.08212958633865283
432737215,1.6922,3.6344,4.6553,0.0,0.0012,0.0176,0.07059533429497317
432737216,2.1797,5.4864,5.1631,0.0105,0.0273,0.0285,0.06579069379816853
432737217,2.3109,6.2616,5.4182,0.006,0.017,0.0254,0.06378702284985524
432737218,2.7864,7.0577,5.7659,0.0048,0.0094,0.0238,0.0607056738604871
432737220,5.1094,10.2529,7.0351,0.0154,0.0242,0.0333,0.05192625725187585
432737221,5.4602,11.3018,6.3978,0.0067,0.0121,0.028,0.05584942297118333
432737222,5.2446,14.034,7.7181,0.0009,0.0151,0.0281,0.04552972625896745
432737223,5.3157,14.2342,7.0572,0.0,0.0162,0.0254,0.049086630312145024
432737228,7.7617,11.2233,6.7723,0.0,0.015,0.0247,0.05046653131091824
432737232,7.0797,8.4837,6.4983,0.0451,0.0417,0.0295,0.0541643755046309
432737236,4.6698,6.681,6.2875,0.0,0.0179,0.0242,0.051500646728563054
432737247,30.5993,67.5218,41.788,0.5097,1.1726,0.6161,0.043331793643939145
432737257,11.9509,8.7776,3.4003,0.2508,0.1851,0.0142,0.10471236017896915
432737258,13.7342,10.8816,3.8182,0.2356,0.1894,0.0172,0.09665858053229819
432737259,15.5151,11.299,4.24,0.3095,0.2304,0.026,0.08849111644335216
432737260,15.9709,11.3809,4.0421,0.2046,0.1508,0.017,0.08849111644335216
432737272,5.6821,18.3285,9.7669,0.0077,0.0199,0.033,0.05006442052760694
432737273,22.7307,41.8018,28.7264,0.4648,0.8299,0.497,0.05463535211139932
432737275,15.9811,32.624,22.0776,0.1904,0.4344,0.2135,0.05235896091135454
432737276,3.5075,15.5868,9.4997,0.0143,0.077,0.0615,0.06159836113714365
432737278,10.6681,27.5815,14.4625,0.1505,0.3172,0.1637,0.050875153686925724
432737279,27.0676,52.184,33.7133,0.4482,0.9068,0.4939,0.04947312713553582
432737283,23.9964,42.7715,31.381,0.2951,0.5914,0.3397,0.04671448198421
432737286,3.0788,8.1271,7.0336,0.0543,0.1217,0.0731,0.07139750161301212
