detection_id,B,G,R,nB,nG,nR,Compactness
432724032,28.9401,30.7226,40.142,0.1531,0.1571,0.1835,0.06904388481989716
432724033,16.3519,17.3202,23.646,0.0845,0.0858,0.1053,0.09447856694680049
432724034,9.2565,9.8569,13.5078,0.0484,0.0508,0.0645,0.1411769425941694
432724035,13.8287,14.6313,19.9789,0.0738,0.0766,0.0943,0.1021587506273488
432724036,16.1497,16.8925,21.4185,0.0,0.0,0.0147,0.08433420746488306
432724037,11.9218,12.4227,16.6756,0.0561,0.0561,0.0664,0.11966865507387159
432724038,6.6627,6.9867,9.7594,0.0186,0.0196,0.0306,0.12953615542145414
432724039,8.5829,9.0231,12.7745,0.0436,0.044,0.0586,0.1396087127968195
432724040,8.8851,9.3511,12.5653,0.1013,0.1072,0.1244,0.11219063124580061
432724041,6.0522,6.344,8.8956,0.1042,0.1105,0.128,0.1396087127968195
432724042,7.2347,7.5628,10.5037,0.1583,0.1645,0.1854,0.12199187159268324
432724043,9.4248,9.8858,13.8857,0.314,0.3305,0.3599,0.08726219508235135
432724044,5.7985,6.1234,8.6925,0.0839,0.0876,0.1008,0.1336693370934263
432724045,5.9652,6.3093,8.9135,0.0844,0.0874,0.1012,0.13226261511265314
432724046,3.2592,3.4215,5.1042,0.0194,0.0204,0.0275,0.20262892686416292
432724048,3.1762,3.3368,4.9854,0.1132,0.1184,0.1279,0.2059488517353309
432724049,2.8972,3.0372,4.67,0.1364,0.1416,0.1542,0.2093793437612272
432724050,2.7721,2.9067,4.4429,0.0452,0.0464,0.0545,0.22039234176969208
432724051,5.7075,6.0079,8.3729,0.0,0.0,0.0088,0.1396087127968195
432724052,5.0331,5.283,8.1616,0.0083,0.0086,0.0196,0.11423011752805243
432724053,4.2064,4.405,6.7154,0.0082,0.0085,0.0171,0.14781870195462177
432724054,3.6582,3.8247,6.0128,0.0,0.0,0.0079,0.15511613727099602
432724056,3.6276,3.8686,6.1148,0.0,0.0,0.0082,0.1495779344429456
432724057,3.5796,3.8249,6.0289,0.0,0.0,0.0081,0.15137953892966877
432724059,16.2636,16.5674,19.6523,0.1063,0.1071,0.1169,0.09816868357674101
432724060,11.6679,11.8681,14.4764,0.0585,0.0593,0.069,0.1256508846247525
432724070,3.8626,18.6069,21.6167,0.0336,0.5599,0.4689,0.05347294092237722
432724071,3.9239,18.626,21.7312,0.0292,0.4991,0.424,0.05302170881884524
432724074,10.8833,10.9692,12.4875,0.0006,0.0,0.0101,0.12199187159268324
